Frequency	Attack	Chord	Velocity	Displacement	Pressure
800	0	0.3048	71.3	0.0027	126.201
1000	0	0.3048	71.3	0.0027	125.201
1250	0	0.3048	71.3	0.0027	125.951
1600	0	0.3048	71.3	0.0027	127.591
2000	0	0.3048	71.3	0.0027	127.461
2500	0	0.3048	71.3	0.0027	125.571
3150	0	0.3048	71.3	0.0027	125.201
4000	0	0.3048	71.3	0.0027	123.061
5000	0	0.3048	71.3	0.0027	121.301
6300	0	0.3048	71.3	0.0027	119.541
8000	0	0.3048	71.3	0.0027	117.151
10000	0	0.3048	71.3	0.0027	115.391
12500	0	0.3048	71.3	0.0027	112.241
16000	0	0.3048	71.3	0.0027	108.721
500	0	0.3048	55.5	0.0028	126.416
630	0	0.3048	55.5	0.0028	127.696
800	0	0.3048	55.5	0.0028	128.086
1000	0	0.3048	55.5	0.0028	126.966
1250	0	0.3048	55.5	0.0028	126.086
1600	0	0.3048	55.5	0.0028	126.986
2000	0	0.3048	55.5	0.0028	126.616
2500	0	0.3048	55.5	0.0028	124.106
3150	0	0.3048	55.5	0.0028	123.236
4000	0	0.3048	55.5	0.0028	121.106
5000	0	0.3048	55.5	0.0028	119.606
6300	0	0.3048	55.5	0.0028	117.976
8000	0	0.3048	55.5	0.0028	116.476
10000	0	0.3048	55.5	0.0028	113.076
12500	0	0.3048	55.5	0.0028	111.076
200	0	0.3048	39.6	0.0031	118.129
250	0	0.3048	39.6	0.0031	119.319
315	0	0.3048	39.6	0.0031	122.779
400	0	0.3048	39.6	0.0031	124.809
500	0	0.3048	39.6	0.0031	126.959
630	0	0.3048	39.6	0.0031	128.629
800	0	0.3048	39.6	0.0031	129.099
1000	0	0.3048	39.6	0.0031	127.899
1250	0	0.3048	39.6	0.0031	125.499
1600	0	0.3048	39.6	0.0031	124.049
2000	0	0.3048	39.6	0.0031	123.689
2500	0	0.3048	39.6	0.0031	121.399
3150	0	0.3048	39.6	0.0031	120.319
4000	0	0.3048	39.6	0.0031	119.229
5000	0	0.3048	39.6	0.0031	117.789
6300	0	0.3048	39.6	0.0031	116.229
8000	0	0.3048	39.6	0.0031	114.779
10000	0	0.3048	39.6	0.0031	112.139
12500	0	0.3048	39.6	0.0031	109.619
200	0	0.3048	31.7	0.0033	117.195
250	0	0.3048	31.7	0.0033	118.595
315	0	0.3048	31.7	0.0033	122.765
400	0	0.3048	31.7	0.0033	125.045
500	0	0.3048	31.7	0.0033	127.315
630	0	0.3048	31.7	0.0033	129.095
800	0	0.3048	31.7	0.0033	129.235
1000	0	0.3048	31.7	0.0033	127.365
1250	0	0.3048	31.7	0.0033	124.355
1600	0	0.3048	31.7	0.0033	122.365
2000	0	0.3048	31.7	0.0033	122.375
2500	0	0.3048	31.7	0.0033	120.755
3150	0	0.3048	31.7	0.0033	119.135
4000	0	0.3048	31.7	0.0033	118.145
5000	0	0.3048	31.7	0.0033	115.645
6300	0	0.3048	31.7	0.0033	113.775
8000	0	0.3048	31.7	0.0033	110.515
10000	0	0.3048	31.7	0.0033	108.265
800	1.5	0.3048	71.3	0.0034	127.122
1000	1.5	0.3048	71.3	0.0034	125.992
1250	1.5	0.3048	71.3	0.0034	125.872
1600	1.5	0.3048	71.3	0.0034	126.632
2000	1.5	0.3048	71.3	0.0034	126.642
2500	1.5	0.3048	71.3	0.0034	124.512
3150	1.5	0.3048	71.3	0.0034	123.392
4000	1.5	0.3048	71.3	0.0034	121.762
5000	1.5	0.3048	71.3	0.0034	119.632
6300	1.5	0.3048	71.3	0.0034	118.122
8000	1.5	0.3048	71.3	0.0034	115.372
10000	1.5	0.3048	71.3	0.0034	113.492
12500	1.5	0.3048	71.3	0.0034	109.222
16000	1.5	0.3048	71.3	0.0034	106.582
315	1.5	0.3048	39.6	0.0039	121.851
400	1.5	0.3048	39.6	0.0039	124.001
500	1.5	0.3048	39.6	0.0039	126.661
630	1.5	0.3048	39.6	0.0039	128.311
