wife-age	wife-educ	husb-educ	num-child	wife-relig	husb-occ	sol-index	media-exp	contrac-method
24	2	3	3	1	1	2	3	0
45	1	3	10	1	1	3	4	0
43	2	3	7	1	1	3	4	0
42	3	2	9	1	1	3	3	0
36	3	3	8	1	1	3	2	0
19	4	4	0	1	1	3	3	0
38	2	3	6	1	1	3	2	0
21	3	3	1	1	0	3	2	0
27	2	3	3	1	1	3	4	0
45	1	1	8	1	1	2	2	1
38	1	3	2	1	0	3	3	1
42	1	4	4	1	1	1	3	0
44	4	4	1	1	0	1	4	0
42	2	4	1	1	0	3	3	0
38	3	4	2	1	1	2	3	0
26	2	4	0	1	1	4	1	0
48	1	1	7	1	1	2	4	0
39	2	2	6	1	1	2	4	0
37	2	2	8	1	1	2	3	0
39	2	1	5	1	1	2	1	1
26	3	4	1	1	0	4	1	0
24	3	4	0	1	0	3	1	0
46	4	4	1	0	1	1	4	0
39	4	4	1	1	1	1	4	0
48	4	4	5	1	1	1	4	0
40	2	4	8	1	1	3	3	0
38	4	4	1	1	0	1	4	0
29	4	4	0	1	0	1	4	0
24	4	4	0	1	0	2	2	0
43	1	2	8	1	1	2	4	0
31	3	4	2	1	1	1	4	0
31	4	4	2	1	1	3	2	0
26	2	4	0	1	0	1	2	0
33	2	2	2	1	1	3	1	0
24	2	3	1	1	1	3	3	0
42	1	3	9	1	1	3	2	1
43	1	2	8	1	0	3	1	0
25	3	3	4	1	1	3	2	0
42	2	2	3	1	1	3	4	0
28	2	2	1	1	1	2	4	0
28	1	1	3	1	1	3	1	0
47	2	3	0	1	0	1	3	0
48	2	4	2	1	1	1	3	0
40	4	4	2	0	1	1	4	0
28	2	2	1	1	1	3	2	0
25	1	4	1	1	1	2	1	0
32	4	4	2	1	1	2	3	0
45	4	4	0	1	1	2	4	0
26	4	4	1	1	1	1	4	0
26	4	4	0	1	0	1	4	0
31	4	4	0	1	0	1	4	0
49	4	4	7	0	1	2	4	0
40	3	4	8	1	1	3	3	0
34	4	4	1	0	0	2	3	0
36	2	4	5	1	1	2	3	0
20	2	2	2	1	1	2	2	1
43	4	4	5	1	0	1	4	0
37	3	4	7	1	1	2	1	0
21	2	3	0	1	1	3	4	0
49	4	4	6	1	1	1	2	0
42	3	3	10	1	1	3	3	0
20	2	3	1	1	1	2	3	0
47	1	2	2	1	0	1	3	0
22	2	3	1	1	1	2	1	0
27	2	4	1	1	0	1	3	0
24	2	4	1	1	1	3	1	0
44	4	2	8	1	1	3	3	0
30	2	3	3	1	1	3	1	0
23	3	4	2	1	1	3	4	0
25	4	4	1	1	0	3	3	0
47	2	3	4	1	1	2	3	0
48	2	3	8	1	1	1	4	0
29	2	3	1	1	1	1	1	0
29	2	3	1	1	1	1	2	0
21	3	4	0	1	1	2	3	0
21	3	4	1	1	1	2	3	0
29	4	4	0	1	0	2	4	0
45	3	4	3	1	1	1	4	0
33	2	3	2	1	1	3	2	0
38	4	4	1	1	0	1	4	0
24	4	4	0	0	1	1	4	0
49	4	4	6	0	0	1	4	0
24	2	4	1	1	0	4	4	0
28	4	4	0	0	0	1	4	0
30	4	4	2	1	1	1	4	0
33	4	4	2	1	1	1	4	0
25	4	4	1	1	1	1	3	0
35	4	4	3	0	1	1	4	0
27	2	4	4	1	1	1	4	0
24	2	2	3	1	0	2	1	0
25	2	3	0	1	1	2	1	0
46	2	4	6	1	1	1	4	0
26	2	2	3	1	1	2	1	0
38	2	2	1	1	0	3	2	0
47	1	2	3	1	1	1	3	0
41	1	3	10	1	1	2	3	1
41	2	3	1	1	0	2	3	0
28	4	4	5	1	1	2	1	0
17	2	2	3	1	1	3	1	0
27	2	3	5	1	1	2	1	0
27	1	2	4	1	1	3	1	1
19	2	3	0	1	0	2	2	0
27	2	4	3	1	0	3	2	0
26	4	3	4	1	1	2	3	0
23	2	4	2	1	1	3	3	0
40	3	3	3	1	1	3	2	0
22	4	4	0	1	1	1	1	0
44	3	4	4	1	0	1	3	0
29	2	3	2	1	1	3	1	0
26	2	3	3	1	1	3	1	0
45	4	4	1	1	0	3	3	0
32	3	3	7	1	0	2	3	0
21	4	4	1	1	1	1	4	0
31	2	2	4	1	1	3	3	0
21	3	4	0	1	1	1	3	0
37	4	4	1	1	1	1	4	0
34	4	4	3	0	0	3	3	0
44	3	4	1	1	1	1	3	0
49	4	3	5	1	1	2	3	0
26	2	3	2	1	1	3	3	0
38	1	2	1	1	1	2	4	1
36	2	3	5	1	1	2	3	0
26	3	4	2	1	1	3	3	0
20	2	3	1	0	1	3	2	0
44	2	1	3	1	0	3	2	0
31	3	4	2	1	1	1	2	1
45	4	4	1	1	1	1	3	0
36	2	3	2	1	1	3	2	1
43	1	3	2	1	0	2	2	1
25	3	4	0	1	1	1	3	0
48	3	4	3	1	1	3	1	0
30	4	4	0	0	0	1	3	0
48	1	2	8	1	1	3	1	0
28	3	4	1	1	1	3	1	1
26	4	4	1	1	1	1	3	0
26	3	3	3	1	0	2	4	0
24	4	4	2	1	1	3	3	0
21	3	3	2	1	1	2	2	0
30	4	4	2	0	1	3	1	0
20	4	4	1	1	1	1	4	0
33	4	4	2	1	1	1	3	0
30	4	4	0	0	0	3	3	0
47	4	4	1	1	0	1	3	0
35	4	4	2	0	1	3	3	0
