Elevation	Aspect	Slope	Horiz-hydr	Vert-hydr	Horiz-road	Shade9	Shade12	Shade3	Horiz-Fire	Type
3336	16	24	162	66	3828	192	184	120	1824	1
3064	53	14	95	0	4230	227	208	111	2644	2
3146	150	9	342	14	6301	233	240	138	2016	2
3131	164	30	488	150	1981	231	232	109	1414	2
3151	307	11	277	52	4085	188	233	185	1100	2
3068	353	21	930	-47	1040	180	199	154	1510	1
3217	263	6	509	29	5891	205	243	176	1989	2
2829	5	8	210	31	1908	210	225	152	1620	2
2524	261	15	127	29	1140	183	247	202	967	2
3146	160	11	67	8	2338	231	242	141	2812	7
2931	51	13	258	0	726	226	212	118	2026	1
3010	349	22	234	40	443	175	198	158	1343	2
3289	152	19	283	39	1504	240	237	118	2880	1
2773	126	7	350	43	2750	232	236	137	1919	2
3008	209	5	962	99	5796	216	244	165	5695	2
3344	85	14	180	1	3596	240	215	102	2681	7
2924	76	15	323	60	3055	238	210	99	2469	2
3416	357	16	484	68	3987	192	209	152	3437	7
2868	70	26	150	61	1591	237	180	59	1158	2
2801	341	10	319	138	2148	199	225	165	2484	2
3368	281	8	323	46	3860	197	241	184	2067	7
2940	340	9	313	79	3109	201	227	165	2270	2
3174	347	4	30	3	3704	211	232	159	1645	1
2888	109	12	175	42	601	241	226	113	277	2
3080	342	24	540	54	859	164	197	167	1369	1
3064	205	16	42	3	2713	209	253	175	1237	2
3156	56	5	95	-1	1994	224	228	140	553	1
3386	18	23	497	171	2163	195	184	118	1963	1
2643	28	23	270	92	1637	204	183	106	1604	2
3286	328	23	582	131	4112	156	206	185	2335	1
3121	251	10	134	7	5552	198	247	187	3144	2
3046	196	3	0	0	2608	219	242	160	738	1
2628	37	20	268	83	1716	215	192	105	1503	2
3244	9	12	1031	120	2163	206	215	146	2155	7
2546	77	9	162	-17	780	232	224	125	85	2
2791	109	16	150	69	3479	245	221	99	5861	2
2998	47	9	60	1	2242	223	221	132	4178	1
2982	8	7	190	30	4679	212	226	152	5790	2
2994	238	36	295	212	2576	132	242	228	1674	1
3046	90	3	618	79	4468	224	234	146	1485	2
2974	311	5	85	11	2254	207	236	168	1015	2
2636	81	16	330	85	283	240	211	97	1142	2
2978	84	15	424	-47	816	240	214	0	1756	2
2438	108	26	190	-11	677	253	200	58	509	3
3353	27	5	591	129	2101	218	228	147	2521	2
2829	83	10	351	94	1233	235	222	119	2763	2
2921	143	22	437	145	2106	245	229	101	1914	2
2934	16	15	446	132	1245	205	206	135	2697	2
3202	20	8	907	102	3025	215	224	145	2538	2
2948	180	27	162	35	277	218	245	142	805	5
2874	38	19	175	70	190	216	194	106	1434	1
3234	180	7	60	5	1337	223	244	156	847	1
3219	307	14	180	9	335	180	231	190	865	1
2909	116	11	108	19	4488	240	229	118	5805	2
2850	162	12	120	13	4658	231	243	142	4653	2
2549	177	13	192	53	1022	226	247	151	1235	3
3020	264	18	162	23	3485	173	246	210	1756	1
3202	321	18	150	5	4187	172	220	186	424	1
2655	89	12	552	19	883	239	220	109	2671	2
3236	80	14	474	75	1128	238	215	105	1888	1
3146	344	17	90	27	1680	184	212	165	2255	2
2939	41	5	313	59	3181	221	229	144	1825	2
3244	348	6	636	37	1678	209	231	160	2804	1
2566	78	9	270	27	2714	232	223	123	2663	1
2622	62	10	228	32	1087	229	218	121	5419	2
3029	335	10	210	30	2897	198	227	168	1667	2
3356	336	21	67	12	4250	169	207	174	4080	7
2965	45	7	324	48	3645	222	224	137	1567	2
2388	160	7	134	14	644	228	242	147	962	3
3142	144	14	408	29	3544	239	236	123	3211	2
2798	350	20	127	66	3378	180	203	158	6033	1
2769	353	14	90	17	1294	196	215	157	2197	2
3397	298	13	966	212	4652	184	235	191	2848	7
3170	177	16	90	2	3091	226	247	148	3342	1
2832	24	19	67	16	3792	206	196	121	2922	1
3229	201	11	120	26	2737	215	250	168	2580	7
2906	329	15	371	83	2123	184	221	177	1673	1
2950	123	12	30	0	2112	240	231	120	3185	1
2988	17	16	323	-19	3691	205	205	133	5810	1
2167	288	29	212	100	616	128	223	228	841	6
3448	183	9	767	215	2329	223	247	157	1433	7
3130	151	15	170	37	108	238	239	126	2982	1
2858	121	13	30	5	1505	241	229	116	2345	1
3088	45	4	120	3	1316	221	230	145	1567	2
3025	76	8	537	128	2980	230	226	128	658	2
2926	242	13	175	17	5662	195	250	192	2845	2
3348	32	14	240	17	1775	216	208	125	4983	1
3014	225	4	1080	95	5634	215	243	166	5825	2
2518	359	12	573	263	600	202	219	153	601	3
2581	358	20	30	8	895	184	198	148	3222	2
2988	187	12	474	57	4535	221	249	159	570	2
3202	236	20	426	86	5867	181	253	205	3121	2
3242	0	1	497	-31	767	217	236	156	3054	2
2700	26	7	285	22	2295	217	225	144	1800	6
2948	45	4	30	2	1831	221	231	146	2568	1
2939	45	3	658	19	5507	220	232	149	2040	2
2588	26	16	309	83	1323	211	203	124	631	3
2878	333	1	0	0	1376	216	237	158	2554	1
2706	62	14	391	39	960	231	211	109	1744	1
2597	45	7	30	1	2106	222	225	138	2165	6
3156	18	21	30	2	1114	199	192	123	631	1
2770	61	8	42	-13	150	227	223	129	1328	2
2927	154	7	42	1	2420	229	241	145	1789	1
2891	58	15	573	-36	693	229	207	106	2431	2
2405	3	21	466	217	997	187	195	141	1120	3
3193	14	10	0	0	2322	210	218	144	2438	1
2834	4	7	0	0	2888	211	227	153	2901	2
3242	21	11	721	81	2702	213	217	140	3347	1
