Category	Rating	Reviews	Size	Installs	Price	Content_Rating	Genres	Android_Ver
ART_AND_DESIGN	4.1	159.0000	19	10000	0	Everyone	Art__Design	4.0.3_and_up
ART_AND_DESIGN	3.9	967.0000	14	500000	0	Everyone	Art__DesignPretend_Play	4.0.3_and_up
ART_AND_DESIGN	4.7	87510.0000	8.7	5000000	0	Everyone	Art__Design	4.0.3_and_up
ART_AND_DESIGN	4.5	215644.0000	25	50000000	0	Teen	Art__Design	4.2_and_up
ART_AND_DESIGN	4.3	967.0000	2.8	100000	0	Everyone	Art__DesignCreativity	4.4_and_up
ART_AND_DESIGN	4.4	167.0000	5.6	50000	0	Everyone	Art__Design	2.3_and_up
ART_AND_DESIGN	3.8	178.0000	19	50000	0	Everyone	Art__Design	4.0.3_and_up
ART_AND_DESIGN	4.1	36815.0000	29	1000000	0	Everyone	Art__Design	4.2_and_up
ART_AND_DESIGN	4.4	13791.0000	33	1000000	0	Everyone	Art__Design	3.0_and_up
ART_AND_DESIGN	4.7	121.0000	3.1	10000	0	Everyone	Art__DesignCreativity	4.0.3_and_up
ART_AND_DESIGN	4.4	13880.0000	28	1000000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.4	8788.0000	12	1000000	0	Everyone	Art__Design	4.0_and_up
ART_AND_DESIGN	4.2	44829.0000	20	10000000	0	Teen	Art__Design	4.1_and_up
ART_AND_DESIGN	4.6	4326.0000	21	100000	0	Everyone	Art__Design	4.4_and_up
ART_AND_DESIGN	4.4	1518.0000	37	100000	0	Everyone	Art__Design	2.3_and_up
ART_AND_DESIGN	3.2	55.0000	2.7	5000	0	Everyone	Art__Design	4.2_and_up
ART_AND_DESIGN	4.7	3632.0000	5.5	500000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.5	27.0000	17	10000	0	Everyone	Art__Design	2.3_and_up
ART_AND_DESIGN	4.3	194216.0000	39	5000000	0	Everyone	Art__Design	4.0.3_and_up
ART_AND_DESIGN	4.6	224399.0000	31	10000000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4	450.0000	14	100000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.1	654.0000	12	100000	0	Everyone	Art__Design	4.0.3_and_up
ART_AND_DESIGN	4.7	7699.0000	4.2	500000	0	Everyone_10+	Art__Design	4.0.3_and_up
ART_AND_DESIGN	*	61.0000	7	100000	0	Everyone	Art__DesignAction__Adventure	4.1_and_up
ART_AND_DESIGN	4.7	118.0000	23	50000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.8	192.0000	6	10000	0	Everyone	Art__Design	3.0_and_up
ART_AND_DESIGN	4.7	20260.0000	25	500000	0	Everyone	Art__DesignCreativity	4.0.3_and_up
ART_AND_DESIGN	4.1	203.0000	6.1	100000	0	Everyone	Art__Design	4.0.3_and_up
ART_AND_DESIGN	3.9	136.0000	4.6	10000	0	Everyone	Art__Design	2.3_and_up
ART_AND_DESIGN	4.1	223.0000	4.2	100000	0	Everyone	Art__Design	2.3_and_up
ART_AND_DESIGN	4.2	1120.0000	9.2	100000	0	Everyone	Art__Design	4.0.3_and_up
ART_AND_DESIGN	4.1	227.0000	5.2	50000	0	Everyone	Art__Design	2.3_and_up
ART_AND_DESIGN	4.5	5035.0000	11	100000	0	Everyone	Art__Design	4.0_and_up
ART_AND_DESIGN	4.2	1015.0000	11	100000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.7	353.0000	4.2	10000	0	Teen	Art__Design	4.1_and_up
ART_AND_DESIGN	3.8	564.0000	9.2	100000	0	Everyone	Art__Design	4.1_and_up
ART_AND_DESIGN	4.7	8145.0000	24	500000	0	Everyone	Art__DesignCreativity	4.4_and_up
ART_AND_DESIGN	4.1	36639.0000	*	5000000	0	Everyone	Art__Design	2.3.3_and_up
ART_AND_DESIGN	4.7	158.0000	11	10000	0	Everyone	Art__Design	4.0.3_and_up
