ip_mean	ip_sd	ip_kurt	ip_skew	snr_mean	snr_sd	snr_kurt	snr_skew	pulsar
140.5625	55.6838	-0.2346	-0.6996	3.1998	19.1104	7.9755	74.2422	0
102.5078	58.8824	0.4653	-0.5151	1.6773	14.8601	10.5765	127.3936	0
103.0156	39.3416	0.3233	1.0512	3.1212	21.7447	7.7358	63.1719	0
136.75	57.1784	-0.0684	-0.6362	3.643	20.9593	6.8965	53.5937	0
88.7266	40.6722	0.6009	1.1235	1.1789	11.4687	14.2696	252.5673	0
93.5703	46.6981	0.5319	0.4167	1.6363	14.5451	10.6217	131.394	0
119.4844	48.7651	0.0315	-0.1122	0.9992	9.2796	19.2062	479.7566	0
130.3828	39.8441	-0.1583	0.3895	1.2207	14.3789	13.5395	198.2365	0
107.25	52.6271	0.4527	0.1703	2.3319	14.4869	9.001	107.9725	0
107.2578	39.4965	0.4659	1.1629	4.0794	24.9804	7.3971	57.7847	0
142.0781	45.2881	-0.3203	0.284	5.3763	29.0099	6.0763	37.8314	0
133.2578	44.0582	-0.0811	0.1154	1.6321	12.0078	11.9721	195.5434	0
134.9609	49.5543	-0.1353	-0.0805	10.6965	41.342	3.8939	14.1312	0
117.9453	45.5066	0.3254	0.6615	2.8361	23.1183	8.9432	82.4756	0
138.1797	51.5245	-0.0319	0.0468	6.3303	31.5763	5.1559	26.1433	0
114.3672	51.9457	-0.0945	-0.288	2.7383	17.1919	9.0506	96.6119	0
109.6406	49.0177	0.1376	-0.2567	1.5084	12.0729	13.3679	223.4384	0
100.8516	51.7435	0.3938	-0.0112	2.8411	21.6358	8.3022	71.5844	0
136.0938	51.691	-0.0459	-0.2718	9.3428	38.0964	4.3454	18.6736	0
99.3672	41.5722	1.5472	4.1541	27.5552	61.719	2.2088	3.6627	1
100.8906	51.8904	0.6275	-0.0265	3.8838	23.0453	6.9532	52.2794	0
105.4453	41.14	0.1427	0.3204	3.5518	20.755	7.7396	68.5198	0
95.8672	42.0599	0.3264	0.8035	1.8328	12.249	11.2493	177.2308	0
117.3672	53.9086	0.258	-0.405	6.0184	24.7661	4.8078	25.5226	0
106.6484	56.3672	0.3784	-0.2664	2.4365	18.4054	9.3787	96.8602	0
112.7188	50.3013	0.2794	-0.129	8.2818	37.81	4.6918	21.2762	0
130.8516	52.4329	0.1426	0.0189	2.6463	15.6544	9.4642	115.6732	0
119.4375	52.8748	-0.0025	-0.4604	2.3654	16.498	9.0084	94.7557	0
123.2109	51.078	0.1794	-0.1773	2.107	16.9218	10.0803	112.5586	0
102.6172	49.6924	0.2304	0.1933	1.4891	16.0044	12.6465	171.8329	0
110.1094	41.3182	0.0949	0.6831	1.01	13.0263	14.6665	231.2041	0
99.9141	43.9195	0.4757	0.7815	0.6196	9.441	20.1066	475.6802	0
128.3438	52.1721	-0.0493	-0.2083	2.1739	12.9939	9.9658	141.5101	0
142.0547	53.8732	-0.4708	-0.1259	4.4231	27.0835	6.6817	45.944	0
121.1328	47.6326	0.1774	0.0249	2.1513	20.5524	9.9205	99.7471	0
