name_1	name_2	id_1	id_2
BACS	JASZ	0	10
BACS	BACS	0	0
BACS	BARANYA	0	1
BACS	CSONGRAD	0	5
BACS	PEST	0	13
BACS	FEJER	0	6
BACS	TOLNA	0	16
BARANYA	BARANYA	1	1
BARANYA	TOLNA	1	16
BARANYA	SOMOGY	1	14
BARANYA	BACS	1	0
BEKES	HAJDU	2	8
BEKES	BEKES	2	2
BEKES	JASZ	2	10
BEKES	CSONGRAD	2	5
BORSOD	HEVES	3	9
BORSOD	SZABOLCS	3	15
BORSOD	HAJDU	3	8
BORSOD	BORSOD	3	3
BORSOD	NOGRAD	3	12
BORSOD	JASZ	3	10
BUDAPEST	PEST	4	13
BUDAPEST	BUDAPEST	4	4
CSONGRAD	JASZ	5	10
CSONGRAD	BACS	5	0
CSONGRAD	BEKES	5	2
CSONGRAD	CSONGRAD	5	5
FEJER	FEJER	6	6
FEJER	SOMOGY	6	14
FEJER	KOMAROM	6	11
FEJER	TOLNA	6	16
FEJER	BACS	6	0
FEJER	PEST	6	13
FEJER	VESZPREM	6	18
GYOR	VESZPREM	7	18
GYOR	KOMAROM	7	11
GYOR	GYOR	7	7
GYOR	VAS	7	17
HAJDU	JASZ	8	10
HAJDU	HAJDU	8	8
HAJDU	SZABOLCS	8	15
HAJDU	BEKES	8	2
HAJDU	BORSOD	8	3
HEVES	NOGRAD	9	12
HEVES	JASZ	9	10
HEVES	PEST	9	13
HEVES	HEVES	9	9
HEVES	BORSOD	9	3
JASZ	JASZ	10	10
JASZ	CSONGRAD	10	5
JASZ	HEVES	10	9
JASZ	BORSOD	10	3
JASZ	PEST	10	13
JASZ	BEKES	10	2
JASZ	BACS	10	0
JASZ	HAJDU	10	8
KOMAROM	GYOR	11	7
KOMAROM	FEJER	11	6
KOMAROM	KOMAROM	11	11
KOMAROM	VESZPREM	11	18
KOMAROM	PEST	11	13
NOGRAD	PEST	12	13
NOGRAD	BORSOD	12	3
NOGRAD	HEVES	12	9
NOGRAD	NOGRAD	12	12
PEST	NOGRAD	13	12
PEST	FEJER	13	6
PEST	BUDAPEST	13	4
PEST	HEVES	13	9
PEST	BACS	13	0
PEST	JASZ	13	10
PEST	PEST	13	13
PEST	KOMAROM	13	11
SOMOGY	TOLNA	14	16
SOMOGY	VESZPREM	14	18
SOMOGY	BARANYA	14	1
SOMOGY	ZALA	14	19
SOMOGY	SOMOGY	14	14
SOMOGY	FEJER	14	6
SZABOLCS	HAJDU	15	8
SZABOLCS	BORSOD	15	3
SZABOLCS	SZABOLCS	15	15
TOLNA	SOMOGY	16	14
TOLNA	BACS	16	0
TOLNA	BARANYA	16	1
TOLNA	TOLNA	16	16
TOLNA	FEJER	16	6
VAS	VAS	17	17
VAS	ZALA	17	19
VAS	GYOR	17	7
VAS	VESZPREM	17	18
VESZPREM	KOMAROM	18	11
VESZPREM	ZALA	18	19
VESZPREM	VESZPREM	18	18
VESZPREM	GYOR	18	7
VESZPREM	FEJER	18	6
VESZPREM	VAS	18	17
VESZPREM	SOMOGY	18	14
ZALA	VAS	19	17
ZALA	ZALA	19	19
ZALA	SOMOGY	19	14
ZALA	VESZPREM	19	18
