C1	C2	C3
-7.5000	1640.0000	*
0.4000	1240.0000	*
0.5000	1480.0000	*
-6.3000	420.0000	*
-2.6000	1740.0000	*
-3.3000	370.0000	*
-5.9000	1260.0000	*
-3.5000	980.0000	*
-2.1000	640.0000	*
-1.9000	1380.0000	*
-0.1000	480.0000	*
-2.8000	430.0000	*
-0.1000	410.0000	*
1.0000	420.0000	*
-2.4000	520.0000	*
-3.9000	460.0000	*
-5.6000	530.0000	*
-1.9000	460.0000	*
3.5000	480.0000	*
-1.8000	510.0000	*
-2.3000	2180.0000	*
-1.5000	540.0000	*
1.8000	590.0000	*
-4.9000	570.0000	*
-6.1000	640.0000	*
-8.1000	630.0000	*
-11.5000	2590.0000	*
-6.8000	1710.0000	*
-4.6000	1760.0000	*
-4.5000	2420.0000	*
-2.1000	2410.0000	*
-5.1000	700.0000	*
-3.8000	2400.0000	*
-4.4000	2880.0000	*
-5.5000	1940.0000	*
-6.8000	820.0000	*
-6.5000	880.0000	*
-9.1000	940.0000	*
-15.0000	1860.0000	*
-16.4000	970.0000	*
-16.8000	1130.0000	*
-10.0000	800.0000	*
-9.9000	1280.0000	*
-10.5000	2020.0000	*
-7.9000	3120.0000	*
-3.4000	3070.0000	*
-2.6000	2860.0000	*
-6.5000	1220.0000	*
-6.6000	700.0000	*
-7.8000	2760.0000	*
-9.4000	3140.0000	*
-9.3000	3520.0000	*
-8.4000	3800.0000	*
-8.3000	580.0000	*
-8.6000	2920.0000	*
-13.1000	3580.0000	*
-13.5000	3740.0000	*
-10.6000	3760.0000	*
-7.1000	1400.0000	*
-2.5000	2740.0000	*
-2.8000	3400.0000	*
-5.3000	1660.0000	*
-2.8000	2920.0000	*
3.1000	1780.0000	*
2.5000	2680.0000	*
-1.9000	1840.0000	*
-3.0000	600.0000	*
-3.3000	1420.0000	*
-2.5000	3900.0000	*
-0.6000	4140.0000	*
-2.5000	780.0000	*
-1.3000	3720.0000	*
-2.1000	3180.0000	*
-1.1000	3840.0000	*
0.1000	3900.0000	*
1.3000	3060.0000	*
1.1000	3240.0000	*
2.8000	3230.0000	*
1.8000	1920.0000	*
-3.0000	1210.0000	*
-1.1000	4260.0000	*
1.3000	550.0000	*
4.6000	1200.0000	*
-2.4000	2220.0000	*
-2.0000	1980.0000	*
2.8000	530.0000	*
2.6000	960.0000	*
0.3000	1560.0000	*
-1.0000	2340.0000	*
3.0000	550.0000	*
1.6000	4910.0000	*
1.8000	3760.0000	*
0.0000	870.0000	*
-2.4000	3230.0000	*
-2.4000	1870.0000	*
-1.4000	1810.0000	*
4.6000	5140.0000	*
7.9000	4850.0000	*
3.1000	2370.0000	*
-2.8000	780.0000	*
-7.4000	2270.0000	*
-7.5000	4120.0000	*
-6.8000	5380.0000	*
-0.5000	3560.0000	*
3.6000	5440.0000	*
3.1000	3520.0000	*
1.1000	2298.0000	*
-0.8000	2941.0000	*
-1.1000	2610.0000	*
0.1000	2555.0000	*
6.6000	2883.0000	*
0.0000	1235.0000	*
3.1000	2662.0000	*
3.9000	1812.0000	*
7.6000	3791.0000	*
5.5000	3622.0000	*
4.1000	2856.0000	*
5.1000	813.0000	*
6.9000	1449.0000	*
6.5000	987.0000	*
10.0000	4121.0000	*
7.9000	3607.0000	*
10.5000	4345.0000	*
10.9000	4610.0000	*
9.3000	2695.0000	*
10.3000	3803.0000	*
8.3000	2941.0000	*
5.0000	4377.0000	*
6.8000	3924.0000	*
9.4000	3481.0000	*
9.9000	2083.0000	*
