C1	C2
11.7000	0.0181
13.2500	0.0103
11.4000	-0.0296
10.5500	0.1080
12.7500	0.0964
18.0000	0.0058
13.2000	0.1070
12.9500	0.1945
9.7000	0.0314
16.2000	0.0178
13.1000	0.0190
16.2000	0.0365
12.6000	0.1756
16.0000	0.0377
14.5000	0.0180
11.7000	-0.0061
21.4000	-0.0316
18.8000	0.0108
15.0500	0.0342
12.6500	0.0899
15.3000	0.0593
10.9500	0.0290
13.3000	0.1374
12.3000	0.0671
20.2000	0.0040
24.3000	-0.0170
23.9000	0.0207
16.1000	0.0378
11.8500	0.0334
11.1500	0.0401
10.2500	0.0019
11.4000	0.0453
11.0500	-0.0397
24.9000	-0.0044
19.1500	0.0266
15.7000	0.0417
25.0000	0.0556
24.9000	0.0065
10.6500	0.1220
15.1000	0.0296
14.3500	0.0683
17.6500	0.0574
10.6000	0.0148
14.0000	0.0485
10.1500	0.0598
14.9000	0.1029
17.2000	0.0019
10.6500	0.0254
16.0000	0.0542
13.9000	-0.0248
11.7000	0.0177
23.3000	-0.0005
13.1000	0.0429
9.8000	0.0655
11.0500	0.1041
14.2500	0.0615
16.4000	-0.0028
20.6500	0.0217
10.0000	0.0645
15.1500	0.0654
13.1500	0.0459
15.1000	0.0100
13.0500	0.1029
11.1500	0.0472
11.9500	0.1712
19.8000	-0.0184
23.4500	-0.0104
15.8000	-0.0034
18.6500	0.0111
22.2500	0.0194
13.1500	0.0720
19.2000	0.0266
12.5500	0.1438
23.4500	0.0102
19.6000	-0.0051
18.0500	0.0155
24.0000	0.0052
12.0500	0.1345
15.7500	-0.0072
17.9000	0.0146
18.7500	-0.0176
15.2000	0.0836
13.7500	0.0641
11.5000	0.0639
12.1500	0.0271
9.6500	0.1000
10.2500	0.0769
16.5000	0.0220
14.3500	0.0739
18.7000	0.0000
12.2500	0.0727
10.1500	0.0093
22.0000	0.0347
17.9500	0.0171
9.9500	0.0158
16.0500	0.0673
22.9000	-0.0032
10.1000	0.0496
13.0000	0.1005
9.8000	0.0038
15.8500	0.0430
17.1500	0.0036
16.7000	-0.0197
19.4000	-0.0040
10.1500	0.0404
10.1500	0.0582
18.7500	-0.0175
10.6500	-0.0428
11.5500	0.0445
18.3500	-0.0036
18.6000	0.0166
17.1500	0.0483
16.9500	0.0140
21.5000	-0.0047
16.9000	0.0049
19.9000	0.0126
21.7000	-0.0239
12.8000	0.0805
18.9500	-0.0120
19.3500	0.0065
15.6000	0.0178
24.0000	0.0265
20.2000	0.0015
20.6500	-0.0035
19.1500	-0.0222
20.5000	0.0078
18.7500	0.0313
23.0500	-0.0104
20.1500	-0.0078
21.8500	0.0050
23.3500	0.0000
20.9000	-0.0050
20.4000	0.0063
13.4000	0.0476
20.9500	0.0120
13.9000	0.0436
15.5000	0.0375
24.7000	0.0312
19.1500	0.0265
23.7000	-0.0153
19.0000	-0.0109
19.8000	0.0203
13.7500	0.1357
23.8000	0.0370
23.2500	-0.0051
21.3000	-0.0019
21.9000	-0.0202
13.9500	0.0211
21.8000	0.0175
15.6500	0.1330
10.7500	0.0427
13.0500	-0.0269
15.3500	0.0979
22.9500	-0.0098
11.1000	0.1204
18.1000	-0.0060
12.7500	0.0634
16.6500	0.0000
24.1500	-0.0357
22.5500	-0.0021
17.9500	0.0077
16.0500	-0.0215
19.2500	-0.0121
15.2000	0.0776
11.1000	0.0878
13.2000	0.1136
25.1500	0.0259
16.1500	0.0870
16.1500	0.0352
14.0000	0.0100
11.6500	0.0013
12.6500	0.1207
12.0500	0.0436
13.7500	0.1066
11.1000	0.0953
15.2000	0.0282
10.4500	0.1670
18.1000	0.0218
20.4000	0.0073
22.0500	-0.0056
13.4500	0.0869
10.3500	0.0288
15.0000	0.0253
10.6500	0.0481
10.0500	0.1128
9.8000	0.0975
14.5500	-0.0086
23.9500	0.0074
11.9500	0.0544
13.8500	0.0340
15.0000	0.0257
16.5000	0.0021
13.6000	0.0649
13.3500	0.0412
14.7000	0.0588
13.8000	0.0537
9.9500	0.0161
12.3000	0.0222
11.1000	0.0217
10.6000	0.0920
14.0000	0.0277
10.7500	0.0442
16.2500	0.0267
18.8500	0.0093
12.7500	0.1475
10.5000	0.0118
23.3000	0.0173
12.5000	0.1613
21.6000	0.0073
20.7500	-0.0364
14.7500	0.0317
11.6500	0.0433
14.9500	0.1237
12.2000	0.1380
17.2500	0.0014
13.0000	0.1117
20.6000	0.0275
20.4000	-0.0313
19.9000	0.0353
19.0500	0.0154
17.6000	0.0743
17.7000	-0.0008
19.2500	0.0283
15.3500	0.0708
16.5500	0.1060
15.4000	-0.0111
16.3000	0.0358
10.6500	0.1417
14.8500	0.0474
11.2000	0.0935
10.2000	0.0700
17.8000	-0.0116
23.9000	-0.0093
19.9000	0.0119
18.6500	0.0484
20.4000	0.0203
19.8500	0.0217
14.9500	0.1497
19.3000	0.0251
15.6000	0.0245
12.7500	0.0190
16.3500	0.0095
11.4000	0.1257
16.5000	0.0632
16.1500	0.0460
25.0000	0.0088
9.4000	0.0071
15.4000	0.0363
9.7500	0.0217
14.6500	0.0497
12.2000	0.1161
23.2500	-0.0227
15.1500	0.0135
16.2000	0.0121
9.6000	0.0170
13.6000	0.0500
11.6000	0.1164
9.8000	0.0979
11.9000	0.0290
11.2000	-0.0641
9.8000	0.0499
