C1	C2
75.0000	190.0000
56.0000	165.0000
54.0000	172.0000
55.0000	175.0000
75.0000	190.0000
13.0000	169.0000
40.0000	160.0000
49.0000	162.0000
44.0000	168.0000
50.0000	167.0000
62.0000	170.0000
45.0000	165.0000
54.0000	172.0000
30.0000	170.0000
44.0000	160.0000
47.0000	150.0000
47.0000	171.0000
46.0000	158.0000
73.0000	165.0000
57.0000	166.0000
28.0000	160.0000
45.0000	169.0000
36.0000	153.0000
57.0000	165.0000
40.0000	153.0000
44.0000	169.0000
34.0000	170.0000
31.0000	160.0000
56.0000	164.0000
51.0000	160.0000
53.0000	175.0000
58.0000	163.0000
50.0000	160.0000
52.0000	155.0000
69.0000	176.0000
44.0000	160.0000
50.0000	172.0000
35.0000	164.0000
62.0000	163.0000
45.0000	175.0000
43.0000	157.0000
40.0000	160.0000
30.0000	160.0000
34.0000	165.0000
40.0000	160.0000
75.0000	156.0000
69.0000	160.0000
30.0000	158.0000
41.0000	159.0000
34.0000	159.0000
75.0000	156.0000
28.0000	156.0000
39.0000	172.0000
24.0000	163.0000
52.0000	165.0000
72.0000	160.0000
38.0000	160.0000
42.0000	168.0000
46.0000	165.0000
32.0000	160.0000
1.0000	110.0000
35.0000	160.0000
36.0000	158.0000
27.0000	162.0000
48.0000	155.0000
44.0000	155.0000
54.0000	160.0000
26.0000	160.0000
45.0000	150.0000
64.0000	156.0000
37.0000	155.0000
37.0000	182.0000
31.0000	161.0000
46.0000	163.0000
35.0000	158.0000
34.0000	165.0000
45.0000	177.0000
37.0000	171.0000
56.0000	165.0000
71.0000	156.0000
37.0000	156.0000
57.0000	177.0000
79.0000	150.0000
51.0000	165.0000
63.0000	160.0000
75.0000	159.0000
19.0000	165.0000
40.0000	162.0000
68.0000	161.0000
73.0000	158.0000
52.0000	155.0000
64.0000	155.0000
63.0000	163.0000
62.0000	165.0000
25.0000	168.0000
55.0000	185.0000
33.0000	150.0000
37.0000	157.0000
52.0000	155.0000
36.0000	160.0000
51.0000	156.0000
39.0000	155.0000
19.0000	157.0000
27.0000	170.0000
36.0000	160.0000
63.0000	175.0000
46.0000	165.0000
57.0000	153.0000
17.0000	170.0000
50.0000	184.0000
71.0000	162.0000
43.0000	176.0000
33.0000	163.0000
9.0000	132.0000
29.0000	172.0000
39.0000	160.0000
74.0000	172.0000
28.0000	159.0000
24.0000	162.0000
58.0000	170.0000
69.0000	154.0000
50.0000	164.0000
72.0000	170.0000
71.0000	170.0000
37.0000	159.0000
25.0000	162.0000
58.0000	186.0000
61.0000	185.0000
53.0000	155.0000
46.0000	163.0000
56.0000	165.0000
48.0000	165.0000
39.0000	157.0000
46.0000	177.0000
41.0000	155.0000
40.0000	172.0000
47.0000	168.0000
47.0000	162.0000
35.0000	162.0000
51.0000	160.0000
35.0000	170.0000
49.0000	166.0000
31.0000	150.0000
34.0000	175.0000
36.0000	168.0000
18.0000	175.0000
34.0000	155.0000
39.0000	160.0000
17.0000	160.0000
48.0000	156.0000
32.0000	173.0000
36.0000	172.0000
34.0000	167.0000
27.0000	161.0000
45.0000	169.0000
45.0000	162.0000
60.0000	160.0000
59.0000	161.0000
46.0000	153.0000
42.0000	170.0000
42.0000	160.0000
54.0000	170.0000
24.0000	176.0000
40.0000	165.0000
25.0000	162.0000
68.0000	168.0000
19.0000	156.0000
73.0000	160.0000
40.0000	160.0000
44.0000	178.0000
50.0000	168.0000
32.0000	163.0000
56.0000	168.0000
55.0000	156.0000
54.0000	160.0000
64.0000	160.0000
27.0000	155.0000
66.0000	167.0000
56.0000	162.0000
63.0000	156.0000
18.0000	175.0000
44.0000	179.0000
57.0000	175.0000
65.0000	155.0000
61.0000	170.0000
47.0000	163.0000
62.0000	170.0000
22.0000	165.0000
66.0000	156.0000
49.0000	166.0000
60.0000	160.0000
65.0000	180.0000
36.0000	172.0000
44.0000	173.0000
27.0000	155.0000
21.0000	166.0000
46.0000	168.0000
13.0000	133.0000
58.0000	155.0000
70.0000	160.0000
64.0000	160.0000
50.0000	159.0000
35.0000	160.0000
33.0000	168.0000
46.0000	162.0000
53.0000	178.0000
62.0000	176.0000
42.0000	157.0000
47.0000	176.0000
11.0000	124.0000
18.0000	180.0000
63.0000	174.0000
53.0000	169.0000
49.0000	160.0000
30.0000	160.0000
17.0000	156.0000
66.0000	160.0000
50.0000	170.0000
77.0000	165.0000
47.0000	165.0000
42.0000	178.0000
56.0000	173.0000
83.0000	160.0000
42.0000	165.0000
67.0000	171.0000
37.0000	168.0000
43.0000	172.0000
36.0000	170.0000
49.0000	170.0000
72.0000	171.0000
80.0000	173.0000
22.0000	163.0000
57.0000	164.0000
46.0000	165.0000
45.0000	173.0000
43.0000	176.0000
36.0000	149.0000
56.0000	170.0000
38.0000	165.0000
43.0000	160.0000
62.0000	155.0000
46.0000	177.0000
49.0000	166.0000
72.0000	165.0000
60.0000	155.0000
48.0000	157.0000
52.0000	153.0000
44.0000	160.0000
46.0000	165.0000
15.0000	170.0000
58.0000	175.0000
46.0000	170.0000
59.0000	160.0000
66.0000	160.0000
68.0000	164.0000
53.0000	165.0000
45.0000	170.0000
48.0000	178.0000
44.0000	170.0000
33.0000	165.0000
35.0000	160.0000
39.0000	160.0000
38.0000	170.0000
34.0000	150.0000
35.0000	155.0000
58.0000	160.0000
50.0000	174.0000
43.0000	163.0000
50.0000	160.0000
72.0000	160.0000
48.0000	158.0000
61.0000	171.0000
63.0000	160.0000
61.0000	154.0000
64.0000	156.0000
32.0000	157.0000
58.0000	150.0000
48.0000	160.0000
31.0000	168.0000
41.0000	175.0000
49.0000	170.0000
57.0000	175.0000
35.0000	165.0000
73.0000	165.0000
65.0000	175.0000
33.0000	160.0000
35.0000	155.0000
57.0000	175.0000
50.0000	163.0000
60.0000	158.0000
45.0000	170.0000
40.0000	178.0000
55.0000	173.0000
44.0000	160.0000
33.0000	160.0000
59.0000	160.0000
7.0000	130.0000
12.0000	165.0000
51.0000	170.0000
59.0000	165.0000
63.0000	164.0000
74.0000	170.0000
67.0000	176.0000
31.0000	160.0000
14.0000	175.0000
37.0000	175.0000
53.0000	171.0000
62.0000	170.0000
40.0000	176.0000
41.0000	180.0000
80.0000	160.0000
69.0000	160.0000
70.0000	165.0000
64.0000	167.0000
57.0000	170.0000
52.0000	174.0000
55.0000	170.0000
37.0000	170.0000
3.0000	105.0000
26.0000	180.0000
59.0000	161.0000
54.0000	164.0000
38.0000	170.0000
48.0000	170.0000
58.0000	166.0000
67.0000	168.0000
64.0000	156.0000
59.0000	155.0000
59.0000	165.0000
65.0000	171.0000
42.0000	188.0000
37.0000	175.0000
19.0000	165.0000
47.0000	160.0000
31.0000	165.0000
33.0000	165.0000
39.0000	160.0000
42.0000	172.0000
54.0000	170.0000
44.0000	157.0000
48.0000	162.0000
72.0000	165.0000
36.0000	171.0000
32.0000	158.0000
20.0000	186.0000
81.0000	165.0000
34.0000	165.0000
62.0000	178.0000
64.0000	173.0000
53.0000	156.0000
48.0000	160.0000
26.0000	170.0000
45.0000	169.0000
47.0000	175.0000
47.0000	175.0000
56.0000	170.0000
40.0000	150.0000
54.0000	160.0000
62.0000	157.0000
40.0000	170.0000
47.0000	163.0000
57.0000	170.0000
38.0000	172.0000
46.0000	178.0000
43.0000	165.0000
59.0000	160.0000
64.0000	170.0000
30.0000	181.0000
68.0000	146.0000
46.0000	165.0000
48.0000	182.0000
72.0000	154.0000
15.0000	163.0000
70.0000	160.0000
67.0000	163.0000
54.0000	160.0000
67.0000	160.0000
8.0000	120.0000
66.0000	168.0000
57.0000	165.0000
36.0000	185.0000
47.0000	169.0000
35.0000	165.0000
75.0000	162.0000
78.0000	152.0000
53.0000	156.0000
44.0000	170.0000
70.0000	178.0000
66.0000	160.0000
36.0000	176.0000
51.0000	165.0000
16.0000	160.0000
59.0000	174.0000
61.0000	156.0000
45.0000	158.0000
30.0000	160.0000
47.0000	175.0000
71.0000	165.0000
55.0000	160.0000
9.0000	120.0000
66.0000	155.0000
7.0000	127.0000
62.0000	165.0000
21.0000	156.0000
76.0000	150.0000
25.0000	160.0000
58.0000	148.0000
66.0000	160.0000
57.0000	172.0000
64.0000	160.0000
41.0000	170.0000
53.0000	160.0000
67.0000	165.0000
30.0000	167.0000
27.0000	167.0000
65.0000	172.0000
50.0000	163.0000
27.0000	160.0000
58.0000	160.0000
63.0000	167.0000
29.0000	162.0000
51.0000	186.0000
7.0000	119.0000
36.0000	171.0000
35.0000	160.0000
58.0000	160.0000
