C1	C2	C3	C4	C5	C6	C7	C8
-26796.0000	-27344.0000	-27328.0000	-27314.0000	-27296.0000	-27277.0000	-27253.0000	-27234.0000
-27209.0000	-27184.0000	-27156.0000	-27128.0000	-27102.0000	-27069.0000	-27044.0000	-27014.0000
-26984.0000	-26959.0000	-26928.0000	-26903.0000	-26881.0000	-26856.0000	-26831.0000	-26809.0000
-26794.0000	-26777.0000	-26761.0000	-26744.0000	-26734.0000	-26724.0000	-26716.0000	-26706.0000
-26699.0000	-26694.0000	-26691.0000	-26689.0000	-26684.0000	-26678.0000	-26678.0000	-26678.0000
-26678.0000	-26678.0000	-26677.0000	-26677.0000	-26674.0000	-26674.0000	-26669.0000	-26669.0000
-26664.0000	-26666.0000	-26662.0000	-26656.0000	-26653.0000	-26646.0000	-26644.0000	-26641.0000
-26636.0000	-26631.0000	-26627.0000	-26619.0000	-26616.0000	-26606.0000	-26601.0000	-26594.0000
-26586.0000	-26581.0000	-26578.0000	-26569.0000	-26564.0000	-26559.0000	-26556.0000	-26552.0000
-26546.0000	-26544.0000	-26544.0000	-26544.0000	-26544.0000	-26546.0000	-26549.0000	-26553.0000
-26564.0000	-26569.0000	-26581.0000	-26591.0000	-26606.0000	-26624.0000	-26639.0000	-26656.0000
-26678.0000	-26702.0000	-26721.0000	-26746.0000	-26766.0000	-26791.0000	-26814.0000	-26841.0000
-26866.0000	-26889.0000	-26916.0000	-26936.0000	-26959.0000	-26981.0000	-27001.0000	-27019.0000
-27039.0000	-27053.0000	-27071.0000	-27084.0000	-27099.0000	-27111.0000	-27121.0000	-27131.0000
-27139.0000	-27149.0000	-27159.0000	-27164.0000	-27171.0000	-27181.0000	-27191.0000	-27203.0000
-27211.0000	-27219.0000	-27231.0000	-27244.0000	-27252.0000	-27264.0000	-27277.0000	-27289.0000
-27299.0000	-27314.0000	-27326.0000	-27336.0000	-27346.0000	-27356.0000	-27361.0000	-27371.0000
-27374.0000	-27382.0000	-27384.0000	-27384.0000	-27381.0000	-27377.0000	-27371.0000	-27361.0000
-27353.0000	-27466.0000	-27414.0000	-27356.0000	-27296.0000	-27234.0000	-27161.0000	-27089.0000
-27009.0000	-26919.0000	-26831.0000	-26736.0000	-26636.0000	-26531.0000	-26428.0000	-26328.0000
-26228.0000	-26131.0000	-26044.0000	-25964.0000	-25896.0000	-25841.0000	-25801.0000	-25777.0000
-25766.0000	-25772.0000	-25791.0000	-25824.0000	-25866.0000	-25921.0000	-25978.0000	-26044.0000
-26109.0000	-26176.0000	-26239.0000	-26299.0000	-26356.0000	-26403.0000	-26449.0000	-26489.0000
-26526.0000	-26553.0000	-26578.0000	-26603.0000	-26621.0000	-26641.0000	-26656.0000	-26671.0000
-26681.0000	-26694.0000	-26701.0000	-26709.0000	-26714.0000	-26716.0000	-26716.0000	-26714.0000
-26711.0000	-26706.0000	-26699.0000	-26691.0000	-26684.0000	-26674.0000	-26664.0000	-26656.0000
-26644.0000	-26636.0000	-26626.0000	-26616.0000	-26609.0000	-26599.0000	-26596.0000	-26584.0000
-26581.0000	-26576.0000	-26569.0000	-26569.0000	-26571.0000	-26574.0000	-26584.0000	-26591.0000
-26609.0000	-26628.0000	-26653.0000	-26687.0000	-26726.0000	-26766.0000	-26814.0000	-26866.0000
-26919.0000	-26974.0000	-27034.0000	-27091.0000	-27149.0000	-27206.0000	-27259.0000	-27306.0000
-27356.0000	-27399.0000	-27434.0000	-27459.0000	-27481.0000	-27496.0000	-27503.0000	-27503.0000
-27501.0000	-27484.0000	-27464.0000	-27439.0000	-27409.0000	-27369.0000	-27331.0000	-27291.0000
-27249.0000	-27211.0000	-27171.0000	-27139.0000	-27114.0000	-27091.0000	-27078.0000	-27069.0000
-27078.0000	-27091.0000	-27109.0000	-27139.0000	-27171.0000	-27214.0000	-27261.0000	-27306.0000
-27356.0000	-27409.0000	-27453.0000	-27503.0000	-27541.0000	-27578.0000	-27609.0000	-27634.0000
-27649.0000	-27656.0000	-27656.0000	-27651.0000	-27636.0000	-27614.0000	-27586.0000	-27551.0000
-27509.0000	-26869.0000	-26811.0000	-26761.0000	-26719.0000	-26678.0000	-26641.0000	-26599.0000
-26551.0000	-26484.0000	-26403.0000	-26299.0000	-26169.0000	-26016.0000	-25844.0000	-25657.0000
-25466.0000	-25274.0000	-25096.0000	-24944.0000	-24821.0000	-24734.0000	-24696.0000	-24704.0000
-24756.0000	-24851.0000	-24981.0000	-25149.0000	-25332.0000	-25524.0000	-25719.0000	-25903.0000
-26071.0000	-26209.0000	-26319.0000	-26394.0000	-26441.0000	-26453.0000	-26449.0000	-26424.0000
-26391.0000	-26353.0000	-26321.0000	-26296.0000	-26286.0000	-26286.0000	-26303.0000	-26339.0000
-26381.0000	-26428.0000	-26476.0000	-26521.0000	-26559.0000	-26591.0000	-26611.0000	-26624.0000
-26628.0000	-26624.0000	-26614.0000	-26603.0000	-26596.0000	-26587.0000	-26578.0000	-26577.0000
-26584.0000	-26589.0000	-26601.0000	-26619.0000	-26637.0000	-26653.0000	-26674.0000	-26694.0000
-26706.0000	-26728.0000	-26746.0000	-26771.0000	-26796.0000	-26824.0000	-26864.0000	-26906.0000
-26959.0000	-27021.0000	-27091.0000	-27169.0000	-27256.0000	-27346.0000	-27446.0000	-27541.0000
-27641.0000	-27734.0000	-27824.0000	-27902.0000	-27966.0000	-28016.0000	-28053.0000	-28066.0000
-28069.0000	-28053.0000	-28021.0000	-27971.0000	-27914.0000	-27846.0000	-27771.0000	-27686.0000
-27599.0000	-27509.0000	-27414.0000	-27319.0000	-27221.0000	-27121.0000	-27021.0000	-26916.0000
-26819.0000	-26724.0000	-26636.0000	-26561.0000	-26502.0000	-26456.0000	-26434.0000	-26432.0000
-26449.0000	-26478.0000	-26528.0000	-26594.0000	-26661.0000	-26736.0000	-26814.0000	-26889.0000
-26959.0000	-27024.0000	-27084.0000	-27134.0000	-27177.0000	-27214.0000	-27239.0000	-27256.0000
-27261.0000	-27256.0000	-27239.0000	-27206.0000	-27164.0000	-27111.0000	-27056.0000	-26994.0000
-26928.0000	-25751.0000	-25659.0000	-25596.0000	-25576.0000	-25596.0000	-25646.0000	-25722.0000
-25799.0000	-25861.0000	-25891.0000	-25876.0000	-25807.0000	-25686.0000	-25519.0000	-25319.0000
-25104.0000	-24896.0000	-24711.0000	-24576.0000	-24494.0000	-24476.0000	-24524.0000	-24631.0000
-24799.0000	-25011.0000	-25257.0000	-25519.0000	-25791.0000	-26049.0000	-26291.0000	-26491.0000
-26649.0000	-26749.0000	-26786.0000	-26766.0000	-26689.0000	-26569.0000	-26419.0000	-26256.0000
-26094.0000	-25956.0000	-25851.0000	-25789.0000	-25774.0000	-25803.0000	-25871.0000	-25971.0000
-26086.0000	-26201.0000	-26314.0000	-26406.0000	-26477.0000	-26521.0000	-26539.0000	-26534.0000
-26509.0000	-26481.0000	-26452.0000	-26421.0000	-26406.0000	-26401.0000	-26411.0000	-26434.0000
-26461.0000	-26494.0000	-26527.0000	-26553.0000	-26577.0000	-26589.0000	-26596.0000	-26603.0000
-26609.0000	-26614.0000	-26628.0000	-26651.0000	-26681.0000	-26726.0000	-26778.0000	-26846.0000
-26926.0000	-27014.0000	-27114.0000	-27224.0000	-27339.0000	-27459.0000	-27584.0000	-27706.0000
-27824.0000	-27934.0000	-28036.0000	-28119.0000	-28181.0000	-28221.0000	-28236.0000	-28224.0000
-28177.0000	-28109.0000	-28011.0000	-27891.0000	-27759.0000	-27624.0000	-27486.0000	-27361.0000
-27246.0000	-27153.0000	-27077.0000	-27016.0000	-26959.0000	-26906.0000	-26846.0000	-26782.0000
-26696.0000	-26596.0000	-26499.0000	-26401.0000	-26316.0000	-26253.0000	-26224.0000	-26231.0000
-26274.0000	-26346.0000	-26434.0000	-26534.0000	-26621.0000	-26694.0000	-26739.0000	-26761.0000
-26753.0000	-26728.0000	-26696.0000	-26659.0000	-26631.0000	-26609.0000	-26596.0000	-26589.0000
-26576.0000	-26553.0000	-26519.0000	-26462.0000	-26374.0000	-26266.0000	-26141.0000	-26003.0000
-25871.0000	-24899.0000	-24692.0000	-24546.0000	-24466.0000	-24459.0000	-24521.0000	-24634.0000
-24771.0000	-24906.0000	-25009.0000	-25056.0000	-25044.0000	-24971.0000	-24851.0000	-24711.0000
-24579.0000	-24476.0000	-24429.0000	-24444.0000	-24529.0000	-24671.0000	-24854.0000	-25067.0000
-25279.0000	-25494.0000	-25684.0000	-25856.0000	-26011.0000	-26153.0000	-26281.0000	-26391.0000
-26486.0000	-26553.0000	-26591.0000	-26591.0000	-26553.0000	-26486.0000	-26403.0000	-26311.0000
-26234.0000	-26178.0000	-26159.0000	-26176.0000	-26224.0000	-26302.0000	-26391.0000	-26478.0000
-26549.0000	-26589.0000	-26599.0000	-26561.0000	-26486.0000	-26371.0000	-26231.0000	-26074.0000
-25924.0000	-25799.0000	-25711.0000	-25674.0000	-25687.0000	-25756.0000	-25866.0000	-26001.0000
-26149.0000	-26289.0000	-26403.0000	-26489.0000	-26536.0000	-26544.0000	-26516.0000	-26478.0000
-26434.0000	-26399.0000	-26384.0000	-26389.0000	-26419.0000	-26471.0000	-26534.0000	-26606.0000
-26689.0000	-26774.0000	-26864.0000	-26964.0000	-27066.0000	-27169.0000	-27269.0000	-27356.0000
-27431.0000	-27491.0000	-27536.0000	-27566.0000	-27574.0000	-27566.0000	-27536.0000	-27486.0000
-27406.0000	-27302.0000	-27174.0000	-27027.0000	-26871.0000	-26721.0000	-26586.0000	-26478.0000
