C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32
51.6000	42.9000	47.7000	67.0000	59.5000	62.1000	53.5000	54.0000	60.2000	74.9000	55.2000	81.7000	51.4000	66.8000	53.5000	73.5000	75.3000	122.0000	72.9000	74.0000	122.0000	46.0000	35.7000	38.9000	74.1000	66.2000	39.8000	36.2000	62.4000	53.3000	56.0000	90.2000
70.5000	59.9000	64.6000	82.4000	73.1000	73.4000	70.1000	70.7000	76.5000	78.3000	72.7000	76.6000	57.6000	74.4000	72.7000	80.6000	116.6000	126.7000	120.6000	122.4000	154.0000	99.7000	108.3000	106.4000	95.7000	107.4000	106.3000	85.4000	97.3000	122.5000	138.8000	160.4000
70.4000	77.5000	66.7000	72.6000	77.4000	73.8000	71.9000	60.3000	65.4000	72.0000	72.9000	73.4000	64.9000	69.0000	73.1000	59.0000	84.1000	149.9000	89.2000	84.2000	165.8000	85.2000	106.0000	96.5000	72.2000	92.0000	73.7000	29.4000	81.2000	60.4000	87.1000	47.0000
53.3000	87.6000	63.6000	74.0000	79.4000	68.6000	63.6000	59.0000	63.4000	73.9000	65.1000	68.9000	66.7000	67.2000	68.6000	77.5000	141.2000	166.1000	156.6000	148.5000	171.0000	112.9000	102.4000	116.5000	134.2000	129.1000	103.3000	83.2000	123.2000	80.9000	167.0000	182.9000
40.6000	81.1000	64.3000	65.2000	77.2000	58.8000	57.4000	50.4000	49.4000	68.3000	61.1000	63.9000	61.3000	66.6000	66.5000	78.8000	130.3000	165.5000	154.1000	145.0000	171.1000	99.7000	118.5000	112.4000	84.2000	121.7000	115.4000	65.5000	98.1000	93.2000	163.3000	188.5000
37.3000	73.4000	47.5000	61.0000	67.0000	54.6000	41.6000	51.6000	63.0000	71.9000	48.2000	70.6000	32.4000	76.6000	65.4000	77.8000	87.5000	133.4000	109.8000	118.6000	143.0000	67.5000	67.4000	70.5000	70.6000	121.1000	69.5000	65.9000	80.0000	80.8000	131.4000	114.3000
40.4000	64.1000	54.0000	62.4000	70.8000	55.4000	40.2000	52.7000	58.4000	62.8000	49.7000	68.9000	59.0000	56.2000	58.0000	65.9000	60.9000	74.4000	69.5000	66.1000	101.2000	32.5000	30.4000	44.7000	59.7000	63.2000	34.3000	17.7000	53.5000	64.0000	89.2000	98.1000
43.6000	69.5000	59.7000	60.5000	68.1000	41.1000	34.1000	40.5000	46.2000	62.7000	35.5000	64.9000	34.8000	56.9000	65.2000	80.0000	104.9000	155.3000	147.2000	125.0000	159.4000	62.3000	53.6000	47.4000	72.6000	76.6000	52.4000	57.7000	43.3000	84.8000	157.0000	174.6000
21.3000	26.7000	20.4000	42.5000	37.8000	33.4000	25.8000	38.9000	43.5000	86.1000	35.7000	95.7000	45.7000	92.2000	47.0000	71.2000	122.0000	33.2000	118.6000	122.4000	51.0000	106.9000	106.0000	127.8000	116.8000	132.6000	115.2000	124.1000	88.8000	146.1000	124.8000	154.4000
6.7000	24.9000	21.9000	15.8000	17.5000	24.3000	14.2000	47.8000	34.4000	75.6000	17.4000	92.7000	20.6000	77.9000	67.7000	69.8000	53.5000	20.9000	62.5000	55.2000	24.0000	97.7000	79.6000	80.7000	67.4000	58.7000	81.8000	92.8000	67.3000	100.3000	81.1000	100.0000
33.4000	35.2000	34.7000	59.0000	27.4000	24.0000	8.7000	61.4000	26.2000	84.0000	20.8000	78.1000	31.3000	74.1000	61.2000	74.7000	112.8000	37.5000	99.3000	96.5000	58.5000	52.7000	55.5000	58.8000	77.2000	115.6000	63.1000	66.3000	80.5000	62.1000	111.8000	88.7000
23.6000	72.2000	48.4000	54.7000	50.9000	58.4000	36.0000	40.2000	61.7000	76.6000	30.8000	73.7000	12.4000	72.1000	48.5000	69.3000	25.6000	55.1000	62.7000	35.6000	62.5000	26.8000	19.5000	17.7000	33.5000	26.0000	22.4000	12.4000	32.7000	57.8000	64.8000	90.1000
34.6000	62.4000	34.3000	54.6000	67.7000	53.4000	32.5000	40.5000	39.9000	85.0000	50.3000	71.7000	16.3000	68.0000	61.6000	70.8000	90.8000	128.6000	113.0000	85.7000	133.0000	97.5000	99.3000	88.5000	106.8000	124.8000	108.5000	116.7000	36.4000	107.1000	132.5000	144.2000
21.0000	68.7000	29.9000	46.2000	73.5000	42.6000	27.4000	46.9000	50.4000	65.2000	24.2000	70.8000	17.1000	61.6000	57.2000	83.9000	45.3000	127.0000	50.3000	53.0000	131.4000	41.7000	29.9000	28.3000	30.2000	38.9000	34.1000	56.3000	44.2000	74.6000	132.7000	151.6000
31.7000	63.7000	42.9000	50.0000	67.2000	59.7000	52.9000	58.4000	70.1000	78.9000	61.3000	56.0000	57.8000	80.0000	51.2000	85.0000	130.4000	126.4000	120.7000	126.6000	124.0000	123.6000	114.1000	125.0000	112.9000	141.0000	118.6000	115.6000	117.7000	130.0000	130.3000	146.0000
14.4000	76.3000	20.3000	24.1000	67.8000	29.3000	25.0000	33.4000	29.8000	74.5000	24.8000	62.4000	23.2000	85.3000	49.6000	81.7000	38.2000	105.8000	91.8000	22.8000	110.1000	18.4000	14.8000	19.0000	28.6000	67.4000	18.2000	27.9000	20.1000	125.3000	120.2000	142.0000
