C1	C2	C3
-1.5286	0.3163	1.0000
5.1286	0.5595	1.0000
-10.8250	0.4100	1.0000
-8.5174	0.2975	*
-9.0661	0.2438	*
-3.0357	0.2644	1.0000
-4.6071	0.5539	1.0000
-4.8050	0.1109	1.0000
-19.9636	0.1806	1.0000
-22.1687	0.2915	*
-14.5682	0.0540	1.0000
-24.3000	0.6987	1.0000
-20.0167	0.1431	1.0000
-12.1658	0.2821	*
-11.1631	0.2416	*
-5.5222	0.4624	1.0000
-9.6207	0.1897	*
-5.9100	0.2660	1.0000
-8.8955	0.0678	1.0000
-7.9786	0.2849	1.0000
-6.9591	0.3681	1.0000
-6.9214	0.4314	1.0000
-6.2875	0.2521	1.0000
-7.1851	0.3894	*
-8.0778	0.1171	1.0000
-5.2111	0.3666	1.0000
-3.1182	0.3746	1.0000
-3.7250	0.2934	1.0000
-4.2312	0.3371	1.0000
-4.4944	0.6988	1.0000
0.9857	0.5683	1.0000
-3.2500	0.3912	1.0000
-8.9062	0.3334	1.0000
-10.4273	0.7142	1.0000
-5.1268	0.5405	*
-3.1937	0.5491	1.0000
-0.4900	0.5327	1.0000
-3.0173	0.5031	*
-2.2666	0.4975	*
0.5200	0.5923	1.0000
-0.4273	0.5000	*
-4.7000	0.2284	1.0000
-5.2083	0.5594	1.0000
-6.2281	0.3587	1.0000
0.1000	0.6145	1.0000
3.0000	0.8128	1.0000
3.2684	0.9671	1.0000
0.8531	0.8988	1.0000
-0.7773	0.3517	1.0000
-2.5500	0.3572	1.0000
-3.0906	0.5021	1.0000
2.9889	0.7022	*
0.7682	0.7355	1.0000
2.2785	0.7594	*
1.3559	0.7595	*
2.7833	0.8240	1.0000
3.8235	0.7735	1.0000
0.2455	0.8435	1.0000
1.0133	0.8101	1.0000
0.1625	0.4776	1.0000
-4.5192	0.3403	1.0000
-5.8812	0.4202	1.0000
-4.9889	0.3846	1.0000
-3.8024	0.6332	1.0000
-4.6550	0.6328	1.0000
-2.2833	0.9120	1.0000
-5.2065	0.4880	1.0000
-9.1930	0.3570	*
-15.8200	0.4299	1.0000
-12.1406	0.5647	1.0000
-10.2318	0.4091	1.0000
-9.6522	0.2922	1.0000
-10.7000	0.2318	1.0000
-10.7000	0.2510	1.0000
-5.4654	0.5656	*
-0.8455	0.9183	1.0000
-3.9371	0.7289	*
-7.3188	0.0022	1.0000
-4.3500	0.2993	1.0000
-3.0668	0.7753	*
-2.6000	0.1811	1.0000
-1.3444	0.2782	1.0000
2.0889	0.4405	1.0000
7.8222	1.3713	1.0000
12.3944	1.0769	1.0000
4.7911	0.8047	*
8.0773	0.6371	1.0000
6.0458	0.8915	*
0.2812	1.1109	1.0000
5.0308	0.8712	*
0.9900	0.6747	1.0000
0.3100	0.5372	1.0000
-0.8917	0.3328	1.0000
2.2909	1.4079	1.0000
4.7273	1.3695	1.0000
3.1701	0.3840	*
2.8636	1.4254	1.0000
2.2409	0.9053	1.0000
0.0500	0.1986	1.0000
6.0700	0.7815	1.0000
10.8273	2.3160	1.0000
3.1305	1.7448	*
2.2259	1.7847	*
2.2045	0.9090	1.0000
1.4191	1.6214	*
1.8565	1.5321	*
2.8595	1.5229	*
4.2563	1.6355	*
5.7816	1.8724	*
7.1497	2.1920	*
8.1217	2.5168	*
8.5690	2.7552	*
8.5189	2.8307	*
8.1332	2.7080	*
7.6663	2.4062	*
7.4008	1.9991	*
6.1850	0.9110	1.0000
10.7071	1.1797	1.0000
11.2556	0.9458	1.0000
10.8980	1.4410	*
14.3389	1.8329	1.0000
10.6500	1.4935	1.0000
14.2841	2.8112	*
14.3890	3.1565	*
11.7458	2.9191	1.0000
14.3438	2.5206	1.0000
11.4088	2.9394	1.0000
8.2393	2.1096	1.0000
11.4000	2.1609	1.0000
11.6100	1.3367	1.0000
15.1309	4.4923	1.0000
12.9333	4.1792	1.0000
14.4618	4.2493	1.0000
22.3781	7.1329	1.0000
17.1021	4.8562	*
13.5958	5.2480	1.0000
20.2179	5.3316	1.0000
20.7687	5.8451	1.0000
14.1036	2.7886	1.0000
11.5822	3.3191	1.0000
6.2091	2.2475	1.0000
10.0313	2.3872	1.0000
11.1038	2.2967	1.0000
10.0417	3.3986	1.0000
16.4700	0.9962	1.0000
14.0188	4.0248	1.0000
17.7214	4.9434	1.0000
18.0000	5.5339	1.0000
6.9650	3.9750	1.0000
11.2429	3.4978	*
4.7125	3.1064	1.0000
7.0812	2.8901	*
4.0650	2.4317	1.0000
5.0654	2.0402	1.0000
7.3476	3.9402	*
8.2229	4.6303	*
9.0617	5.2456	*
9.6147	5.6491	*
10.2864	4.5167	1.0000
9.4167	5.1036	1.0000
11.7167	5.6323	1.0000
8.0387	4.8588	*
7.4785	4.5050	*
7.3202	4.3149	*
7.6832	4.3296	*
8.5592	4.5233	*
9.8018	4.8150	*
11.1802	5.0994	*
12.4363	5.2826	*
13.3576	5.3080	*
13.8241	5.1721	*
13.8397	4.9217	*
13.5326	4.6391	*
13.1105	4.4125	*
12.7995	4.3113	*
12.7791	4.3688	*
13.1398	4.5768	*
13.8621	4.8923	*
14.8234	5.2527	*
15.8366	5.5957	*
16.7017	5.8716	*
17.2597	6.0533	*
17.7227	6.8586	1.0000
14.0700	5.5393	1.0000
16.7966	6.0631	*
17.6500	8.9043	1.0000
15.8279	5.8363	*
15.6238	5.7210	*
15.7217	5.6265	*
15.4955	6.7875	1.0000
16.0864	3.2945	1.0000
18.8050	5.1937	1.0000
20.6100	8.5514	1.0000
18.0506	5.4709	*
18.0208	5.4103	*
15.8450	4.2516	1.0000
15.8444	1.6512	1.0000
15.1000	4.9614	*
17.8000	5.7946	1.0000
19.3750	6.4096	1.0000
19.9889	5.8644	1.0000
15.7922	4.4508	*
13.2500	4.2923	1.0000
11.8833	3.1122	1.0000
16.7725	5.0925	*
14.0056	6.4064	1.0000
18.6600	6.1794	1.0000
16.8627	5.7440	*
15.5033	3.9306	1.0000
13.8133	4.3320	1.0000
15.8791	5.2455	*
15.9786	4.7339	1.0000
16.3500	2.8436	1.0000
19.4200	3.9999	1.0000
17.5667	4.8007	1.0000
19.0765	5.2330	1.0000
17.0458	3.9753	1.0000
17.6633	4.7593	1.0000
19.3737	6.2918	1.0000
18.3923	6.2645	1.0000
18.5933	6.2051	1.0000
17.3891	4.5481	*
15.0643	4.2671	1.0000
16.7455	3.8991	*
17.5400	3.3466	1.0000
15.3068	3.1959	1.0000
13.9000	4.6174	1.0000
17.0764	4.5386	*
11.1269	2.8068	1.0000
15.2875	7.3715	1.0000
21.0929	6.7346	1.0000
17.3217	5.3292	*
16.2611	3.5500	1.0000
19.5542	7.4199	1.0000
15.6355	4.7258	*
16.8885	4.7014	1.0000
14.7167	3.6617	1.0000
17.1334	6.9872	1.0000
18.0542	6.8313	1.0000
14.5662	5.0213	*
14.7676	5.1085	*
14.9258	5.0787	*
15.3000	4.9124	1.0000
11.5250	2.8075	1.0000
12.2214	3.6522	1.0000
14.0824	3.9711	*
17.2333	3.0952	1.0000
13.4332	3.5171	*
10.6500	4.6991	1.0000
9.3400	3.4189	1.0000
8.7417	2.0754	1.0000
13.0467	2.8234	1.0000
19.1238	4.2888	1.0000
19.0575	3.5030	1.0000
16.2203	4.1699	*
21.0417	4.7393	1.0000
16.2818	5.7412	1.0000
10.5875	2.2315	1.0000
16.4100	2.5990	1.0000
15.5464	2.5010	1.0000
18.2406	4.3279	1.0000
21.1000	6.3725	1.0000
9.4333	2.8897	1.0000
14.0363	4.0420	*
5.2400	2.1273	1.0000
13.6623	4.1981	*
13.0409	5.7170	1.0000
15.0636	3.9500	1.0000
10.9650	3.6929	*
9.7144	3.3753	*
13.9417	4.1205	1.0000
7.4214	2.9439	1.0000
2.7750	2.1614	1.0000
1.7100	2.4303	1.0000
4.1136	2.3174	1.0000
3.6625	2.0051	1.0000
8.9682	3.3200	1.0000
13.2400	4.6635	1.0000
8.8818	3.7560	1.0000
6.2960	3.2389	*
5.2591	2.2879	1.0000
5.1179	2.8187	*
4.7991	2.6463	*
11.3364	4.6613	1.0000
2.5909	2.1314	1.0000
3.1318	2.0315	1.0000
4.1786	2.5664	1.0000
11.5393	3.6709	1.0000
16.8194	6.0445	1.0000
8.9643	3.3033	*
3.2700	3.0426	1.0000
3.1846	1.8670	1.0000
2.4342	1.2925	1.0000
-0.1083	1.8186	1.0000
8.1071	2.5637	1.0000
10.8794	2.3801	1.0000
12.3050	1.3481	1.0000
9.3353	2.4433	1.0000
9.9313	1.8341	1.0000
9.7882	2.1658	1.0000
5.7688	2.3746	1.0000
7.4750	2.5733	1.0000
4.7462	1.8816	*
4.2944	1.5836	1.0000
0.2738	1.3325	1.0000
-3.5500	1.5932	1.0000
-3.6296	1.0455	1.0000
-3.4552	0.8047	1.0000
-5.3200	1.0594	1.0000
-0.8455	1.2780	1.0000
-1.9341	1.6749	*
-0.8375	0.6992	1.0000
0.2524	1.1376	1.0000
-2.1516	1.5090	*
-3.4636	1.4088	1.0000
-5.3088	1.0192	1.0000
0.8932	1.1739	1.0000
-2.4875	1.0162	1.0000
-2.8667	0.6755	1.0000
-2.6167	0.9012	1.0000
0.3000	0.7320	1.0000
-0.7662	1.0842	*
-4.6773	0.2499	1.0000
-6.4500	0.6671	1.0000
1.4231	0.7074	1.0000
5.4929	0.9666	1.0000
1.9778	0.6990	1.0000
5.0542	1.3990	1.0000
2.6296	0.6888	1.0000
1.4267	0.2128	1.0000
10.8000	0.9287	1.0000
8.8025	1.6265	1.0000
13.3250	2.3577	1.0000
1.4273	0.9043	1.0000
9.3173	0.6835	1.0000
8.2975	0.3874	1.0000
6.9647	1.0640	1.0000
4.9143	0.8354	1.0000
5.0605	0.4721	*
-3.2000	0.3504	1.0000
-2.7000	0.4139	1.0000
-1.5833	0.2570	1.0000
-1.1357	0.4279	1.0000
-1.7531	0.3726	1.0000
1.4154	0.4909	1.0000
