age	workclass	fnlwgt	educ	educ-num	mar-stat	occup	relat	race	sex	cap-gain	cap-loss	hrs-wk	nat-count	Income
39	6	77516	9	13	4	0	1	4	1	2174	0	40	38	0
50	5	83311	9	13	2	3	0	4	1	0	0	13	38	0
38	3	215646	11	9	0	5	1	4	1	0	0	40	38	0
53	3	234721	1	7	2	5	0	2	1	0	0	40	38	0
28	3	338409	9	13	2	9	5	2	0	0	0	40	4	0
37	3	284582	12	14	2	3	5	4	0	0	0	40	38	0
49	3	160187	6	5	3	7	1	2	0	0	0	16	22	0
52	5	209642	11	9	2	3	0	4	1	0	0	45	38	1
31	3	45781	12	14	4	9	1	4	0	14084	0	50	38	1
42	3	159449	9	13	2	3	0	4	1	5178	0	40	38	1
37	3	280464	15	10	2	3	0	2	1	0	0	80	38	1
30	6	141297	9	13	2	9	0	1	1	0	0	40	18	1
23	3	122272	9	13	4	0	3	4	0	0	0	30	38	0
32	3	205019	7	12	4	11	1	2	1	0	0	50	38	0
40	3	121772	8	11	2	2	0	1	1	0	0	40	*	1
34	3	245487	5	4	2	13	0	0	1	0	0	45	25	0
25	5	176756	11	9	4	4	3	4	1	0	0	35	38	0
32	3	186824	11	9	4	6	4	4	1	0	0	40	38	0
38	3	28887	1	7	2	11	0	4	1	0	0	50	38	0
43	5	292175	12	14	0	3	4	4	0	0	0	45	38	1
40	3	193524	10	16	2	9	0	4	1	0	0	60	38	1
54	3	302146	11	9	5	7	4	2	0	0	0	20	38	0
35	0	76845	6	5	2	4	0	2	1	0	0	40	38	0
43	3	117037	1	7	2	13	0	4	1	0	2042	40	38	0
59	3	109015	11	9	0	12	4	4	0	0	0	40	38	0
56	1	216851	9	13	2	12	0	4	1	0	0	40	38	1
19	3	168294	11	9	4	2	3	4	1	0	0	40	38	0
54	*	180211	15	10	2	*	0	1	1	0	0	60	34	1
39	3	367260	11	9	0	3	1	4	1	0	0	80	38	0
49	3	193366	11	9	2	2	0	4	1	0	0	40	38	0
23	1	190709	7	12	4	10	1	4	1	0	0	52	38	0
20	3	266015	15	10	4	11	3	2	1	0	0	44	38	0
45	3	386940	9	13	0	3	3	4	1	0	1408	40	38	0
30	0	59951	15	10	2	0	3	4	1	0	0	40	38	0
22	6	311512	15	10	2	7	0	2	1	0	0	15	38	0
48	3	242406	1	7	4	6	4	4	1	0	0	40	32	0
21	3	197200	15	10	4	6	3	4	1	0	0	40	38	0
19	3	544091	11	9	1	0	5	4	0	0	0	25	38	0
31	3	84154	15	10	2	11	0	4	1	0	0	38	*	1
48	5	265477	7	12	2	9	0	4	1	0	0	40	38	0
31	3	507875	6	5	2	6	0	4	1	0	0	43	38	0
53	5	88506	9	13	2	9	0	4	1	0	0	40	38	0
24	3	172987	9	13	2	12	0	4	1	0	0	50	38	0
49	3	94638	11	9	5	0	4	4	0	0	0	40	38	0
25	3	289980	11	9	4	5	1	4	1	0	0	35	38	0
57	0	337895	9	13	2	9	0	2	1	0	0	40	38	1
53	3	144361	11	9	2	6	0	4	1	0	0	38	38	0
44	3	128354	12	14	0	3	4	4	0	0	0	40	38	0
41	6	101603	8	11	2	2	0	4	1	0	0	40	38	0
29	3	271466	8	11	4	9	1	4	1	0	0	43	38	0
25	3	32275	15	10	2	3	5	3	0	0	0	40	38	0
18	3	226956	11	9	4	7	3	4	0	0	0	30	*	0
47	3	51835	14	15	2	9	5	4	0	0	1902	60	15	1
50	0	251585	9	13	0	3	1	4	1	0	0	55	38	1
47	4	109832	11	9	0	3	1	4	1	0	0	60	38	0
43	3	237993	15	10	2	12	0	4	1	0	0	40	38	1
46	3	216666	4	3	2	6	0	4	1	0	0	40	25	0
35	3	56352	8	11	2	7	0	4	1	0	0	40	32	0
41	3	147372	11	9	2	0	0	4	1	0	0	48	38	0
30	3	188146	11	9	2	6	0	4	1	5013	0	40	38	0
30	3	59496	9	13	2	11	0	4	1	2407	0	40	38	0
32	*	293936	5	4	3	*	1	4	1	0	0	40	*	0
