Area	Perimeter	MajorAxisLength	MinorAxisLength	AspectRation	Eccentricity	ConvexArea	EquivDiameter	Extent	Solidity	roundness	Compactness	ShapeFactor1	ShapeFactor2	ShapeFactor3	ShapeFactor4	Class
28395	610.291	208.1781	173.8887	1.1972	0.5498	28715	190.1411	0.7639	0.9889	0.958	0.9134	0.0073	0.0031	0.8342	0.9987	5
28734	638.018	200.5248	182.7344	1.0974	0.4118	29172	191.2728	0.784	0.985	0.887	0.9539	0.007	0.0036	0.9099	0.9984	5
29380	624.11	212.8261	175.9311	1.2097	0.5627	29690	193.4109	0.7781	0.9896	0.9478	0.9088	0.0072	0.003	0.8259	0.9991	5
30008	645.884	210.558	182.5165	1.1536	0.4986	30724	195.4671	0.7827	0.9767	0.9039	0.9283	0.007	0.0032	0.8618	0.9942	5
30140	620.134	201.8479	190.2793	1.0608	0.3337	30417	195.8965	0.7731	0.9909	0.9849	0.9705	0.0067	0.0037	0.9419	0.9992	5
30279	634.927	212.5606	181.5102	1.1711	0.5204	30600	196.3477	0.7757	0.9895	0.9439	0.9237	0.007	0.0032	0.8533	0.9992	5
30477	670.033	211.0502	184.0391	1.1468	0.4895	30970	196.9886	0.7624	0.9841	0.8531	0.9334	0.0069	0.0032	0.8712	0.999	5
30519	629.727	212.9968	182.7372	1.1656	0.5138	30847	197.1243	0.7707	0.9894	0.9671	0.9255	0.007	0.0032	0.8565	0.9983	5
30685	635.681	213.5341	183.1571	1.1659	0.5141	31044	197.6597	0.7716	0.9884	0.9542	0.9257	0.007	0.0032	0.8568	0.999	5
30834	631.934	217.2278	180.8975	1.2008	0.5536	31120	198.139	0.7837	0.9908	0.9703	0.9121	0.007	0.003	0.832	0.9991	5
30917	640.765	213.5601	184.4399	1.1579	0.5041	31280	198.4055	0.7708	0.9884	0.9463	0.929	0.0069	0.0032	0.8631	0.9994	5
31091	638.558	210.4863	188.3268	1.1177	0.4466	31458	198.963	0.7864	0.9883	0.9582	0.9453	0.0068	0.0033	0.8935	0.9986	5
31107	640.594	214.6485	184.9693	1.1605	0.5074	31423	199.0142	0.761	0.9899	0.9526	0.9272	0.0069	0.0031	0.8596	0.9976	5
31158	642.626	216.4848	183.6443	1.1788	0.5295	31492	199.1773	0.7988	0.9894	0.9481	0.9201	0.0069	0.0031	0.8465	0.9979	5
31158	641.105	212.067	187.193	1.1329	0.4699	31474	199.1773	0.7813	0.99	0.9526	0.9392	0.0068	0.0033	0.8821	0.9993	5
31178	636.888	212.9759	186.5621	1.1416	0.4824	31520	199.2412	0.7641	0.9891	0.9659	0.9355	0.0068	0.0032	0.8752	0.9991	5
31202	644.454	215.6407	184.4717	1.169	0.5179	31573	199.3179	0.7792	0.9882	0.9441	0.9243	0.0069	0.0031	0.8543	0.9987	5
31203	639.782	215.0677	184.8749	1.1633	0.5109	31558	199.3211	0.763	0.9888	0.9579	0.9268	0.0069	0.0031	0.8589	0.9992	5
31272	638.666	212.4503	187.5359	1.1329	0.4699	31593	199.5413	0.7703	0.9898	0.9634	0.9392	0.0068	0.0033	0.8822	0.9994	5
31335	635.011	216.7901	184.1634	1.1772	0.5276	31599	199.7422	0.7743	0.9916	0.9765	0.9214	0.0069	0.0031	0.8489	0.9993	5
31374	636.401	219.8654	182.0089	1.208	0.561	31604	199.8665	0.7692	0.9927	0.9735	0.909	0.007	0.003	0.8264	0.9982	5
31530	638.857	213.7857	188.0665	1.1368	0.4755	31791	200.3628	0.7689	0.9918	0.9708	0.9372	0.0068	0.0032	0.8784	0.9985	5
31573	674.103	217.307	185.4483	1.1718	0.5213	32197	200.4994	0.757	0.9806	0.8731	0.9227	0.0069	0.0031	0.8513	0.9975	5
31637	656.711	229.7193	175.5104	1.3089	0.6452	32045	200.7025	0.7618	0.9873	0.9218	0.8737	0.0073	0.0026	0.7633	0.9991	5
31675	657.431	236.7526	171.2106	1.3828	0.6907	32009	200.823	0.7409	0.9896	0.9209	0.8482	0.0075	0.0024	0.7195	0.995	5
31682	646.721	210.0457	192.2484	1.0926	0.4028	32026	200.8452	0.7732	0.9893	0.9519	0.9562	0.0066	0.0034	0.9143	0.999	5
