family	father	mother	Gender	Height
1	78.5	67	0	73.2
1	78.5	67	1	69.2
1	78.5	67	1	69
1	78.5	67	1	69
2	75.5	66.5	0	73.5
2	75.5	66.5	0	72.5
2	75.5	66.5	1	65.5
2	75.5	66.5	1	65.5
3	75	64	0	71
3	75	64	1	68
4	75	64	0	70.5
4	75	64	0	68.5
4	75	64	1	67
4	75	64	1	64.5
4	75	64	1	63
5	75	58.5	0	72
5	75	58.5	0	69
5	75	58.5	0	68
5	75	58.5	1	66.5
5	75	58.5	1	62.5
5	75	58.5	1	62.5
6	74	68	1	69.5
7	74	68	0	76.5
7	74	68	0	74
7	74	68	0	73
7	74	68	0	73
7	74	68	1	70.5
7	74	68	1	64
8	74	66.5	1	70.5
8	74	66.5	1	68
8	74	66.5	1	66
9	74.5	66	1	66
10	74	65.5	1	65.5
11	74	62	0	74
11	74	62	0	70
11	74	62	1	68
11	74	62	1	67
11	74	62	1	67
11	74	62	1	66
11	74	62	1	63.5
11	74	62	1	63
12	74	61	1	65
14	73	67	0	68
14	73	67	0	67
15	73	66.5	0	71
15	73	66.5	0	70.5
15	73	66.5	1	66.7
16	73	65	0	72
16	73	65	0	70.5
16	73	65	0	70.2
16	73	65	0	70.2
16	73	65	0	69.2
16	73	65	1	68.7
16	73	65	1	66.5
16	73	65	1	64.5
16	73	65	1	63.5
17	73	64.5	0	74
17	73	64.5	0	73
17	73	64.5	0	71.5
17	73	64.5	0	62.5
17	73	64.5	1	66.5
17	73	64.5	1	62.3
18	73	64	1	66
18	73	64	1	64.5
18	73	64	1	64
19	73.2	63	1	62.7
20	72.7	69	0	73.2
20	72.7	69	0	73
20	72.7	69	0	72.7
20	72.7	69	1	70
20	72.7	69	1	69
20	72.7	69	1	68.5
20	72.7	69	1	68
20	72.7	69	1	66
21	72	68	0	73
21	72	68	1	68.5
21	72	68	1	68
22	72	67	0	73
22	72	67	0	71
22	72	67	1	67
23	72	65	0	74.2
23	72	65	0	70.5
23	72	65	0	69.5
23	72	65	1	66
23	72	65	1	65.5
23	72	65	1	65
23	72	65	1	65
24	72	65.5	1	65.5
25	72	64	1	66
25	72	64	1	63
26	72	63	0	70.5
26	72	63	0	70.5
26	72	63	0	69
26	72	63	1	65
26	72	63	1	63
27	72	63	0	69
27	72	63	0	67
27	72	63	1	63
28	72	63	0	73
28	72	63	0	67
28	72	63	1	70.5
28	72	63	1	70
28	72	63	1	66.5
28	72	63	1	63
29	72.5	63.5	1	67.5
29	72.5	63.5	1	67.2
29	72.5	63.5	1	66.7
30	72	62	1	64
31	72.5	62	0	71
31	72.5	62	0	70
31	72.5	62	0	70
31	72.5	62	1	66
31	72.5	62	1	65
31	72.5	62	1	65
32	72	62	0	74
32	72	62	0	72
32	72	62	0	69
32	72	62	1	67.5
32	72	62	1	63.5
33	72	62	0	72
33	72	62	0	71.5
33	72	62	0	71.5
33	72	62	0	70
33	72	62	1	68
34	72	61	1	65.7
35	71	69	0	78
35	71	69	0	74
35	71	69	0	73
35	71	69	0	72
35	71	69	1	67
36	71	67	0	73.2
36	71	67	0	73
36	71	67	0	69
36	71	67	1	67
37	71	66	0	70
37	71	66	1	67
37	71	66	1	67
37	71	66	1	66.5
38	71	66	0	70
38	71	66	0	69
38	71	66	0	68.5
38	71	66	1	66
38	71	66	1	64.5
38	71	66	1	63
39	71	66	0	71
39	71	66	1	67
40	71	66	0	76
40	71	66	0	72
40	71	66	0	71
40	71	66	0	66
40	71	66	1	66
41	71.7	65.5	0	70.5
42	71	65.5	0	72
42	71	65.5	0	72
42	71	65.5	0	71
42	71	65.5	0	69
42	71	65.5	1	66
42	71	65.5	1	65
43	71.5	65.5	0	73
43	71.5	65.5	1	65.2
44	71.5	65	0	68.5
44	71.5	65	0	67.7
45	71	65	0	68
45	71	65	0	68
45	71	65	1	62
46	71	64	1	68
46	71	64	1	68
46	71	64	1	67.5
46	71	64	1	66.5
46	71	64	1	66.5
46	71	64	1	66
46	71	64	1	65.5
46	71	64	1	65
47	71.7	64.5	0	72
47	71.7	64.5	0	71
47	71.7	64.5	0	70.5
47	71.7	64.5	1	67
48	71	64	0	68
48	71	64	0	68
48	71	64	0	68
49	71.5	64.5	0	72
49	71.5	64.5	0	71
49	71.5	64.5	0	70
49	71.5	64.5	1	66
49	71.5	64.5	1	64.5
49	71.5	64.5	1	64.5
49	71.5	64.5	1	62
51	71.2	63	1	67.5
51	71.2	63	1	64.5
52	71	63.5	0	71
52	71	63.5	0	67
52	71	63.5	1	66
52	71	63.5	1	65
52	71	63.5	1	63.5
53	71	63	0	71
53	71	63	0	70
53	71	63	0	70
53	71	63	0	64
53	71	63	1	65
53	71	63	1	65
53	71	63	1	64
53	71	63	1	63
53	71	63	1	63
54	71	63	0	71
54	71	63	0	71
54	71	63	0	70
54	71	63	1	63.5
55	71	62	0	71
55	71	62	0	70
55	71	62	1	64.5
55	71	62	1	62.5
55	71	62	1	61.5
56	71	62	0	72
56	71	62	0	70.5
56	71	62	0	70.5
56	71	62	1	64.5
56	71	62	1	60
57	71	62.5	0	70
57	71	62.5	1	64
57	71	62.5	1	64
57	71	62.5	1	64
57	71	62.5	1	62.5
58	71	62	0	70.5
58	71	62	0	70
58	71	62	0	69
58	71	62	0	69
58	71	62	0	66
58	71	62	1	64.5
58	71	62	1	64
59	71	61	1	62
60	71	58	0	71.5
60	71	58	0	69
61	70	69	0	71
61	70	69	0	70
61	70	69	0	69
61	70	69	1	69
62	70	69	0	70
62	70	69	0	68.7
62	70	69	1	68
62	70	69	1	66
62	70	69	1	64
62	70	69	1	62
63	70	68	0	75
64	70	67	0	70
64	70	67	0	69
64	70	67	1	66
64	70	67	1	64
64	70	67	1	60
65	70	67	1	67.5
66	70	66.5	0	73
66	70	66.5	0	72
66	70	66.5	0	72
66	70	66.5	0	66.5
66	70	66.5	1	69.2
66	70	66.5	1	67.2
66	70	66.5	1	66.5
66	70	66.5	1	66
66	70	66.5	1	66
66	70	66.5	1	64.2
66	70	66.5	1	63.7
67	70.5	65	0	72
67	70.5	65	0	70.2
67	70.5	65	0	69
67	70.5	65	0	68.5
68	70.5	65	1	68
68	70.5	65	1	65
68	70.5	65	1	61.5
68	70.5	65	1	61
68	70.5	65	1	61
69	70	65	0	73
69	70	65	0	72
69	70	65	0	70.5
69	70	65	0	65
69	70	65	0	65
69	70	65	1	64.5
69	70	65	1	63
69	70	65	1	62
70	70	65	0	67
70	70	65	0	65
70	70	65	1	64.5
70	70	65	1	62.5
70	70	65	1	62.5
71	70	65	0	70
71	70	65	0	70
71	70	65	1	67
71	70	65	1	65
71	70	65	1	65
71	70	65	1	63
72	70	65	0	79
72	70	65	0	75
72	70	65	0	71
72	70	65	1	69
72	70	65	1	67
72	70	65	1	65.7
72	70	65	1	62
73	70	65	0	73
73	70	65	0	72.5
73	70	65	1	65
74	70	65	0	69
74	70	65	0	69
75	70	64.7	0	72
75	70	64.7	0	70
75	70	64.7	0	68.7
75	70	64.7	1	66.5
75	70	64.7	1	65.5
75	70	64.7	1	64.7
75	70	64.7	1	64.5
76	70	64	0	70.7
76	70	64	0	70
76	70	64	0	68
76	70	64	0	67
