Years	League	Division	PutOuts	Assists	Errors	PAtBat	PAvg	PHRrate	PBBrate	PRBIrate	PRunsRate	AtBat	Avg	HRrate	BBrate	RBIrate	RunsRate	LogSalary	NewLeague
1	A	E	446	33	20	0	*	*	*	*	*	293	0.2253	0.0034	0.0478	0.0990	0.1024	*	A
14	N	W	632	43	10	3134	0.2406	0.0198	0.1072	0.1200	0.0948	315	0.2571	0.0222	0.1238	0.1206	0.0762	6.1633	N
3	A	W	880	82	14	1145	0.2856	0.0393	0.1633	0.1694	0.1380	479	0.2714	0.0376	0.1587	0.1503	0.1378	6.1738	A
11	N	E	200	11	3	5132	0.2794	0.0399	0.0618	0.1481	0.1487	496	0.2843	0.0403	0.0746	0.1573	0.1310	6.2146	N
2	N	E	805	40	4	75	0.1867	0.0267	0.0400	0.0533	0.1200	321	0.2710	0.0312	0.0935	0.1308	0.1215	4.5163	N
11	A	W	282	421	25	3814	0.2528	0.0039	0.0417	0.0747	0.1120	594	0.2845	0.0067	0.0589	0.0859	0.1246	6.6201	A
2	N	E	76	127	7	29	0.1724	0.0000	0.1034	0.0345	0.2414	185	0.2000	0.0054	0.1135	0.0432	0.1243	4.2485	A
3	A	W	121	283	9	211	0.1659	0.0000	0.0237	0.0616	0.0806	298	0.2450	0.0000	0.0235	0.0805	0.0805	4.6052	A
2	N	W	143	290	19	18	0.2778	0.0000	0.0000	0.1111	0.3333	323	0.2508	0.0186	0.0248	0.0991	0.0805	4.3175	N
13	A	E	0	0	0	4805	0.2581	0.0491	0.1667	0.1715	0.1530	401	0.2294	0.0424	0.1621	0.1646	0.1222	7.0031	A
10	A	E	238	445	22	4057	0.2812	0.0170	0.1057	0.1057	0.1467	574	0.2770	0.0366	0.1028	0.1307	0.1864	6.2483	A
9	N	W	304	45	11	1674	0.2473	0.0066	0.0800	0.0956	0.0962	202	0.2624	0.0198	0.1337	0.1287	0.1535	6.2393	N
4	N	E	211	11	7	1094	0.2550	0.0256	0.1426	0.1307	0.1435	418	0.2703	0.0311	0.1124	0.1459	0.1148	6.3099	N
6	A	E	121	151	6	1702	0.2644	0.0024	0.1087	0.0541	0.1639	239	0.2510	0.0000	0.0921	0.0460	0.1255	6.5511	A
13	N	E	80	45	8	3035	0.2577	0.0096	0.0685	0.0867	0.1143	196	0.2194	0.0357	0.1531	0.1378	0.1480	5.4806	N
3	A	W	118	0	0	18	0.1667	0.0000	0.0000	0.0556	0.0000	183	0.2131	0.0164	0.0601	0.0820	0.1093	*	A
15	N	W	105	290	10	7500	0.2820	0.0209	0.0879	0.1224	0.1275	568	0.2782	0.0352	0.1285	0.1320	0.1567	6.6529	N
5	A	W	102	177	16	289	0.1938	0.0104	0.0830	0.0519	0.1419	190	0.2421	0.0105	0.0789	0.0421	0.1263	5.1648	A
12	A	W	912	88	9	4826	0.2847	0.0195	0.1218	0.1274	0.1214	407	0.2555	0.0147	0.1597	0.1057	0.1400	*	A
8	N	W	202	22	2	600	0.2467	0.0267	0.0700	0.1000	0.0850	127	0.2520	0.0630	0.1102	0.1732	0.1260	4.9053	N
1	N	E	280	9	5	0	*	*	*	*	*	413	0.2228	0.0387	0.1574	0.1162	0.1743	4.6052	N
1	A	W	361	22	2	0	*	*	*	*	*	426	0.2559	0.0070	0.1455	0.1009	0.1291	4.7449	N
6	A	W	812	84	11	62	0.2581	0.0161	0.0323	0.1129	0.0806	22	0.4545	0.0455	0.0455	0.0909	0.1818	*	A
6	N	W	518	55	3	1452	0.2569	0.0351	0.1143	0.1302	0.1253	472	0.2458	0.0339	0.1568	0.1314	0.1271	6.3969	N
18	A	E	1067	157	14	7795	0.2945	0.0187	0.0464	0.1244	0.1199	629	0.2671	0.0286	0.0636	0.1622	0.1161	6.6550	A
6	A	E	434	9	3	2108	0.2770	0.0062	0.1172	0.0697	0.1660	587	0.2777	0.0068	0.1193	0.0869	0.1567	6.6399	A
7	N	E	222	3	3	1607	0.2601	0.0056	0.0983	0.0560	0.1612	324	0.2253	0.0123	0.0679	0.0556	0.0988	6.5629	N
10	N	W	732	83	13	1857	0.2558	0.0275	0.0679	0.1459	0.1055	474	0.2722	0.0211	0.0844	0.1181	0.1055	6.6201	N
5	N	W	262	329	16	1758	0.2736	0.0148	0.1291	0.0825	0.1462	550	0.2764	0.0109	0.1473	0.0673	0.1673	6.4378	N
14	A	W	267	5	3	4688	0.2656	0.0311	0.1480	0.1363	0.1436	513	0.2671	0.0390	0.1754	0.1852	0.1754	6.8024	A
17	A	W	127	221	7	6577	0.2659	0.0327	0.1593	0.1268	0.1507	313	0.2684	0.0288	0.1246	0.0958	0.1342	*	A
3	N	W	226	7	4	172	0.2384	0.0116	0.0523	0.0581	0.1453	419	0.2578	0.0143	0.0525	0.0859	0.1313	4.7005	N
9	N	W	1378	102	8	3054	0.2793	0.0616	0.0933	0.1850	0.1555	517	0.2727	0.0522	0.1006	0.1683	0.1354	*	N
5	A	E	109	292	25	1063	0.2672	0.0254	0.0753	0.1204	0.1279	583	0.2882	0.0292	0.0961	0.1372	0.1424	6.4175	A
7	A	W	419	46	5	1105	0.2344	0.0190	0.0489	0.0968	0.0932	204	0.2402	0.0294	0.0588	0.1225	0.1127	5.7038	A
14	N	W	72	170	24	5828	0.3089	0.0233	0.0928	0.1275	0.1409	379	0.2797	0.0264	0.0792	0.1583	0.1003	6.7452	N
4	A	E	70	149	12	892	0.2332	0.0034	0.1009	0.0852	0.1536	161	0.2236	0.0000	0.1056	0.0621	0.1180	*	A
2	N	W	442	59	6	82	0.2195	0.0000	0.0366	0.0488	0.1220	268	0.2239	0.0187	0.0560	0.0933	0.0896	4.4998	N
16	A	E	0	0	0	5567	0.2725	0.0413	0.0952	0.1523	0.1353	346	0.2832	0.0145	0.0867	0.1532	0.0896	*	A
1	N	W	166	172	10	0	*	*	*	*	*	241	0.2531	0.0041	0.0581	0.0498	0.1411	*	N
2	A	E	326	29	5	51	0.1765	0.0588	0.2353	0.1569	0.0980	181	0.2265	0.0055	0.1823	0.1160	0.0829	4.2121	A
18	N	W	103	84	5	7102	0.2636	0.0065	0.0659	0.0858	0.1091	216	0.2500	0.0000	0.0694	0.0833	0.0972	*	N
9	N	W	69	1	1	2316	0.2707	0.0173	0.0782	0.0933	0.1503	200	0.2850	0.0300	0.0700	0.0700	0.1150	*	N
4	A	E	307	25	1	477	0.2390	0.0524	0.0482	0.1195	0.1132	217	0.2120	0.0323	0.0415	0.0876	0.1475	5.1930	A
11	A	E	325	22	2	3989	0.2580	0.0143	0.1449	0.1163	0.1171	194	0.2062	0.0361	0.1546	0.1495	0.0979	*	A
6	A	E	359	30	4	745	0.2255	0.0255	0.1289	0.1221	0.1074	254	0.2677	0.0079	0.0866	0.1024	0.1102	5.7203	A
3	N	W	73	177	18	516	0.2733	0.0329	0.0911	0.1395	0.1085	416	0.3173	0.0168	0.0793	0.1178	0.1370	5.3706	N
5	A	E	58	4	4	551	0.2450	0.0436	0.0762	0.1361	0.1506	205	0.2780	0.0390	0.0439	0.1561	0.1659	5.5114	A
16	A	E	697	61	9	6557	0.3035	0.0340	0.0595	0.1546	0.1435	542	0.2583	0.0221	0.0756	0.1384	0.0849	*	A
6	N	W	303	9	9	2122	0.2681	0.0302	0.0966	0.1282	0.1324	526	0.2776	0.0247	0.1597	0.1331	0.1350	6.7032	N
17	A	W	389	39	4	6064	0.2747	0.0440	0.0984	0.1507	0.1585	457	0.2210	0.0306	0.0481	0.1379	0.0919	6.7742	A
2	N	E	109	7	3	12	0.5000	0.0000	0.3333	0.2500	0.1667	214	0.2477	0.0093	0.1075	0.1355	0.1402	4.2485	N
4	A	E	0	0	0	22	0.2727	0.0455	0.1364	0.0909	0.0909	19	0.3684	0.0000	0.0526	0.1053	0.0526	*	A
9	A	W	67	147	4	3887	0.2930	0.0242	0.0720	0.1263	0.1425	591	0.2843	0.0321	0.0660	0.1218	0.1354	7.0901	A
12	A	E	316	6	5	4747	0.2798	0.0324	0.1026	0.1291	0.1479	403	0.2506	0.0298	0.0968	0.1315	0.1117	6.5147	A
6	N	W	161	10	3	545	0.2367	0.0202	0.0807	0.0972	0.0917	405	0.2519	0.0444	0.0494	0.2099	0.1210	6.0283	N
4	N	W	142	14	2	1091	0.2521	0.0367	0.1457	0.1412	0.1247	244	0.2377	0.0369	0.1434	0.1025	0.1148	5.8289	N
14	A	E	425	43	4	3691	0.2623	0.0087	0.0845	0.0981	0.1130	235	0.2596	0.0128	0.0894	0.1660	0.1021	*	A
12	N	W	106	206	7	3429	0.2596	0.0085	0.0461	0.0817	0.1099	313	0.2492	0.0192	0.0383	0.1310	0.1022	6.0323	N
6	A	E	240	482	13	2583	0.2904	0.0418	0.0941	0.1514	0.1669	627	0.2823	0.0399	0.1116	0.1292	0.1563	7.2079	A
1	A	E	203	70	10	0	*	*	*	*	*	416	0.2716	0.0577	0.0385	0.1659	0.1394	4.4998	A
