BUDAPEST	BARANYA	BACS	BEKES	BORSOD	CSONGRAD	FEJER	GYOR	HAJDU	HEVES	JASZ	KOMAROM	NOGRAD	PEST	SOMOGY	SZABOLCS	TOLNA	VAS	VESZPREM	ZALA
168	79	30	173	169	42	136	120	162	36	130	57	2	178	66	64	11	29	87	68
157	60	30	92	200	53	51	70	84	28	80	50	29	141	48	29	58	53	68	26
96	44	31	86	93	30	93	84	191	51	64	46	4	157	33	33	24	18	62	44
163	49	43	126	46	39	52	114	107	42	63	54	14	107	66	50	25	21	43	31
122	78	53	87	103	34	95	131	172	40	61	49	11	124	63	56	7	47	85	60
174	76	77	152	189	26	74	181	157	44	95	97	26	146	59	54	27	54	48	60
153	103	54	192	148	65	100	118	129	40	88	56	10	119	104	85	20	32	153	70
115	74	64	174	140	56	111	175	138	60	112	70	21	178	70	75	5	66	149	54
119	86	57	171	90	65	118	105	194	60	67	46	12	112	116	76	22	45	102	42
114	81	129	217	167	64	93	154	119	34	118	73	6	130	68	59	31	85	96	54
127	59	81	243	99	81	72	107	117	57	72	91	9	113	62	22	26	19	118	43
135	74	51	271	215	48	115	148	171	21	114	82	10	141	55	45	23	83	127	36
116	63	98	119	51	48	51	92	76	41	82	72	25	162	49	203	40	47	63	36
132	83	59	130	152	54	78	128	207	42	138	66	6	121	41	92	8	52	108	38
129	53	84	111	103	41	58	91	123	35	91	51	26	144	50	41	25	64	59	30
113	74	62	101	84	66	83	111	134	70	124	63	7	125	55	49	13	46	87	22
114	50	120	126	111	48	77	119	157	50	141	59	26	138	57	41	6	98	64	23
98	66	81	86	48	40	59	131	111	51	97	64	27	83	42	29	2	42	39	32
140	81	103	116	129	51	89	146	65	104	224	124	22	159	66	57	15	111	76	47
120	46	86	94	135	25	93	123	99	96	97	83	52	153	42	36	28	56	44	21
173	99	125	139	84	37	84	122	252	104	174	105	44	137	54	93	28	40	141	43
135	62	145	85	93	27	75	123	135	103	99	74	55	165	42	19	33	49	98	34
143	98	129	100	104	48	73	128	95	62	163	146	39	145	23	84	46	39	87	37
139	30	94	54	61	30	56	79	161	83	99	82	29	66	13	14	23	29	69	47
155	56	94	56	147	24	77	93	150	47	123	83	30	117	36	73	21	53	66	70
98	40	153	32	85	13	31	62	40	42	82	81	10	89	12	60	22	25	49	18
87	18	38	26	69	32	33	66	106	40	84	72	10	91	11	86	12	54	51	34
110	15	67	13	36	20	24	41	49	18	58	43	12	31	11	35	8	18	39	14
70	12	11	12	29	8	13	35	28	25	25	33	7	25	6	8	11	29	24	7
43	12	7	10	17	6	13	16	18	12	26	20	2	23	11	18	8	9	8	9
37	4	21	1	6	6	9	9	18	5	18	17	2	19	5	11	4	6	17	2
30	4	6	8	1	6	1	1	5	5	9	4	5	20	5	7	3	3	4	4
21	1	1	1	4	3	2	12	8	5	2	4	2	7	2	6	2	3	4	1
22	0	0	6	5	0	4	8	3	5	6	3	0	22	4	1	2	24	1	2
15	1	2	1	2	3	1	7	6	2	5	5	0	13	2	4	1	0	0	2
11	3	9	2	19	3	1	6	1	2	4	1	3	9	2	2	2	1	1	0
7	1	1	0	1	1	2	2	5	5	7	4	6	8	3	3	2	2	2	0
12	3	6	5	19	3	0	1	5	1	5	4	4	18	3	6	6	4	4	3
5	2	3	1	28	1	4	2	3	3	9	7	0	15	6	6	5	4	5	16
17	4	6	10	34	1	10	1	21	7	8	21	4	27	6	3	1	17	20	13
11	3	5	7	60	0	16	5	5	7	12	9	8	51	5	12	3	16	25	17
27	8	15	7	46	8	25	6	32	27	30	22	15	79	1	14	5	35	14	8
23	9	26	19	60	18	25	8	36	11	20	43	15	77	17	6	10	42	50	16
30	15	33	4	12	12	30	18	20	21	15	48	13	70	9	7	7	70	13	18
48	12	35	11	100	19	13	20	25	23	23	51	26	67	17	33	25	41	35	40
37	21	58	5	51	9	18	19	14	20	37	52	10	48	10	24	16	35	14	34
32	9	36	14	45	24	15	27	12	21	25	17	21	31	5	19	22	48	22	44
49	13	65	13	81	16	28	27	27	33	37	49	39	81	20	24	10	54	42	65
67	28	40	4	40	28	22	34	27	15	45	50	17	44	38	28	32	70	72	38
106	32	77	6	91	37	30	38	11	25	51	31	28	133	23	38	35	89	97	47
83	24	44	17	75	9	17	25	36	35	49	37	7	85	51	18	77	66	80	40
114	33	21	8	50	3	18	35	55	25	78	20	44	163	29	28	57	56	84	31
129	42	60	20	89	48	36	47	58	32	45	72	51	173	79	35	71	79	109	107
189	56	46	15	92	100	27	31	51	28	65	55	48	102	49	30	53	72	110	67
79	8	29	7	50	26	27	28	39	13	30	39	23	114	61	19	37	59	111	43
163	34	41	15	103	44	15	22	64	33	64	46	53	121	99	24	53	76	120	60
110	35	31	9	68	48	29	35	43	19	30	24	39	105	97	41	51	55	136	45
158	23	42	23	119	40	15	42	81	21	57	38	33	104	82	40	48	56	157	48
182	25	70	16	108	121	22	59	40	10	47	28	23	119	145	54	93	53	155	85
136	50	48	38	119	102	42	60	69	34	81	23	24	170	120	21	66	75	221	60
207	51	52	16	112	85	44	82	95	19	74	53	45	140	120	64	55	82	180	76
251	58	53	32	89	118	38	78	44	24	74	29	39	181	123	58	66	102	161	37
141	62	59	40	61	85	42	33	50	30	102	34	47	149	101	38	47	71	221	58
193	78	109	35	82	91	44	87	48	50	137	34	52	160	70	31	96	110	210	39
169	48	69	26	68	131	58	49	56	12	82	36	49	161	47	8	85	81	230	81
141	66	97	41	68	91	56	59	35	18	80	61	53	168	155	81	73	40	130	36
193	30	55	41	62	152	64	52	35	28	104	45	37	153	43	81	86	34	192	42
359	57	75	75	23	108	29	71	18	16	113	59	40	157	46	71	58	53	97	45
268	139	97	44	97	165	103	76	34	23	104	54	37	221	81	95	82	71	190	22
168	56	86	52	44	107	26	65	25	37	108	44	32	165	22	67	58	24	79	74
338	68	59	31	44	82	57	68	32	25	89	30	50	121	42	83	85	21	133	62
