C1	C2
21.0000	94.0000
33.0000	168.0000
26.0000	88.0000
53.0000	543.0000
59.0000	846.0000
51.0000	175.0000
31.0000	230.0000
33.0000	83.0000
32.0000	96.0000
27.0000	235.0000
51.0000	146.0000
41.0000	115.0000
22.0000	140.0000
57.0000	110.0000
28.0000	245.0000
22.0000	54.0000
33.0000	192.0000
56.0000	207.0000
26.0000	70.0000
54.0000	240.0000
22.0000	82.0000
26.0000	36.0000
30.0000	23.0000
58.0000	300.0000
42.0000	342.0000
41.0000	304.0000
31.0000	110.0000
22.0000	142.0000
24.0000	128.0000
25.0000	38.0000
27.0000	100.0000
28.0000	90.0000
26.0000	140.0000
23.0000	270.0000
36.0000	71.0000
27.0000	125.0000
26.0000	71.0000
43.0000	110.0000
34.0000	176.0000
42.0000	48.0000
21.0000	64.0000
40.0000	228.0000
22.0000	76.0000
23.0000	64.0000
31.0000	220.0000
24.0000	40.0000
21.0000	152.0000
37.0000	140.0000
25.0000	18.0000
24.0000	36.0000
24.0000	135.0000
46.0000	495.0000
23.0000	37.0000
39.0000	175.0000
21.0000	51.0000
25.0000	100.0000
23.0000	100.0000
26.0000	99.0000
30.0000	135.0000
23.0000	94.0000
40.0000	145.0000
33.0000	168.0000
30.0000	225.0000
26.0000	49.0000
31.0000	140.0000
21.0000	50.0000
22.0000	92.0000
28.0000	325.0000
22.0000	63.0000
23.0000	284.0000
34.0000	119.0000
24.0000	204.0000
42.0000	155.0000
23.0000	485.0000
21.0000	94.0000
23.0000	135.0000
22.0000	53.0000
47.0000	114.0000
45.0000	105.0000
27.0000	285.0000
41.0000	156.0000
29.0000	78.0000
29.0000	130.0000
23.0000	48.0000
33.0000	55.0000
36.0000	130.0000
26.0000	130.0000
23.0000	92.0000
21.0000	23.0000
60.0000	495.0000
33.0000	58.0000
31.0000	114.0000
25.0000	160.0000
40.0000	94.0000
29.0000	210.0000
23.0000	48.0000
26.0000	99.0000
29.0000	318.0000
27.0000	44.0000
55.0000	190.0000
57.0000	280.0000
21.0000	87.0000
24.0000	130.0000
36.0000	175.0000
38.0000	271.0000
25.0000	129.0000
32.0000	120.0000
21.0000	478.0000
61.0000	190.0000
26.0000	56.0000
22.0000	32.0000
31.0000	744.0000
24.0000	53.0000
46.0000	370.0000
22.0000	37.0000
23.0000	45.0000
51.0000	192.0000
22.0000	88.0000
33.0000	176.0000
29.0000	194.0000
23.0000	680.0000
34.0000	402.0000
24.0000	55.0000
44.0000	258.0000
24.0000	375.0000
51.0000	150.0000
34.0000	130.0000
43.0000	67.0000
21.0000	56.0000
21.0000	45.0000
25.0000	57.0000
23.0000	116.0000
22.0000	278.0000
39.0000	122.0000
37.0000	155.0000
51.0000	135.0000
34.0000	545.0000
29.0000	220.0000
26.0000	49.0000
33.0000	75.0000
21.0000	40.0000
25.0000	74.0000
31.0000	182.0000
24.0000	194.0000
28.0000	120.0000
29.0000	360.0000
24.0000	215.0000
46.0000	184.0000
25.0000	135.0000
35.0000	42.0000
29.0000	105.0000
47.0000	132.0000
21.0000	148.0000
25.0000	180.0000
30.0000	205.0000
22.0000	148.0000
27.0000	96.0000
25.0000	85.0000
26.0000	94.0000
30.0000	64.0000
28.0000	140.0000
31.0000	231.0000
43.0000	29.0000
24.0000	168.0000
30.0000	156.0000
23.0000	120.0000
37.0000	68.0000
25.0000	52.0000
22.0000	58.0000
26.0000	255.0000
33.0000	171.0000
22.0000	105.0000
36.0000	73.0000
49.0000	108.0000
22.0000	83.0000
26.0000	74.0000
24.0000	43.0000
28.0000	167.0000
48.0000	54.0000
29.0000	249.0000
29.0000	325.0000
30.0000	293.0000
30.0000	83.0000
22.0000	66.0000
45.0000	140.0000
25.0000	465.0000
21.0000	89.0000
21.0000	66.0000
25.0000	94.0000
28.0000	158.0000
58.0000	325.0000
22.0000	84.0000
22.0000	75.0000
35.0000	72.0000
24.0000	82.0000
21.0000	182.0000
25.0000	59.0000
25.0000	110.0000
24.0000	50.0000
58.0000	285.0000
28.0000	81.0000
42.0000	196.0000
21.0000	415.0000
37.0000	87.0000
25.0000	275.0000
39.0000	115.0000
35.0000	88.0000
26.0000	165.0000
28.0000	579.0000
25.0000	176.0000
22.0000	310.0000
21.0000	61.0000
21.0000	167.0000
22.0000	474.0000
28.0000	115.0000
26.0000	170.0000
21.0000	76.0000
21.0000	78.0000
36.0000	210.0000
31.0000	277.0000
38.0000	180.0000
26.0000	145.0000
43.0000	180.0000
38.0000	85.0000
22.0000	60.0000
22.0000	50.0000
24.0000	120.0000
25.0000	14.0000
28.0000	70.0000
26.0000	92.0000
22.0000	64.0000
26.0000	63.0000
23.0000	95.0000
25.0000	210.0000
24.0000	105.0000
24.0000	71.0000
51.0000	237.0000
81.0000	60.0000
48.0000	56.0000
39.0000	49.0000
21.0000	105.0000
22.0000	36.0000
25.0000	100.0000
27.0000	140.0000
29.0000	191.0000
31.0000	110.0000
39.0000	75.0000
35.0000	328.0000
28.0000	49.0000
23.0000	125.0000
24.0000	250.0000
21.0000	480.0000
58.0000	265.0000
24.0000	66.0000
