C1	C2	C3
7.9807	2.5612	1.0000
6.0523	1.8067	*
4.2961	0.9926	1.0000
4.9698	0.6707	1.0000
3.3752	1.2941	1.0000
4.1539	1.0363	1.0000
3.3358	1.6690	1.0000
3.0735	1.6917	1.0000
3.6767	5.2858	1.0000
5.1111	0.3906	1.0000
6.8276	1.9752	1.0000
5.0463	2.0326	1.0000
2.6787	1.1949	1.0000
2.8486	2.0758	1.0000
1.3858	1.3476	1.0000
7.5026	1.7988	1.0000
8.1839	3.0288	1.0000
7.5540	2.0877	1.0000
11.4294	2.9925	1.0000
8.6193	2.4763	*
8.7172	2.4809	*
8.6253	2.4678	*
8.3489	2.4394	*
7.9050	2.3977	*
7.3277	2.3475	*
6.6611	2.2938	*
5.9523	2.2409	*
5.2513	2.1922	*
4.6098	2.1506	*
4.0727	2.1176	*
3.6754	2.0943	*
3.4429	2.0806	*
3.3893	2.0744	*
3.5156	2.0735	*
3.8077	2.0749	*
4.2360	2.0735	*
4.7654	2.0667	*
8.8771	2.4137	1.0000
5.7363	1.8167	1.0000
4.8821	1.3822	1.0000
5.2561	1.3276	1.0000
7.3109	1.8696	*
3.1724	1.1692	1.0000
5.4026	1.5979	1.0000
8.6606	2.1683	1.0000
10.6028	2.7352	1.0000
8.3004	2.3013	1.0000
7.1780	1.9922	1.0000
6.4954	0.7255	1.0000
7.5204	1.5843	1.0000
4.5419	1.8268	1.0000
5.1328	0.6752	1.0000
3.1612	0.9812	1.0000
2.1416	0.6720	1.0000
3.1956	1.7960	*
1.8045	1.9539	*
3.4423	2.7921	1.0000
4.6853	3.0931	1.0000
2.9178	1.4940	1.0000
2.6065	2.4376	1.0000
2.9755	3.5855	1.0000
4.8643	2.7245	*
3.2465	1.7367	1.0000
4.3897	3.5440	1.0000
4.4809	1.9880	1.0000
5.5985	1.0140	1.0000
11.9914	3.5840	1.0000
9.8188	2.3266	1.0000
7.0440	2.0772	1.0000
0.4224	4.0943	1.0000
-0.7521	1.4193	1.0000
1.4744	1.5953	1.0000
4.4286	0.9754	1.0000
2.6688	0.6423	1.0000
3.2702	0.5892	1.0000
3.2246	0.0470	1.0000
2.5095	0.0213	1.0000
6.0902	0.9790	1.0000
4.0245	1.0890	1.0000
3.3634	1.8305	1.0000
2.3997	1.5432	1.0000
7.8476	1.4066	1.0000
13.4079	2.3381	1.0000
15.3795	2.7334	1.0000
17.0283	3.8006	1.0000
13.8990	3.7494	1.0000
11.1350	3.8066	1.0000
12.5325	1.9712	1.0000
14.6648	3.2250	1.0000
14.1509	2.4895	1.0000
11.6791	3.2151	1.0000
11.3819	4.1428	1.0000
9.4135	1.6660	1.0000
5.4542	1.2414	1.0000
5.7564	4.8229	1.0000
8.5212	2.5135	1.0000
10.1710	3.5368	1.0000
7.4228	1.8283	1.0000
7.4161	2.5829	1.0000
6.8660	2.9643	1.0000
7.3016	3.7717	1.0000
9.1355	3.3515	1.0000
12.0009	4.6753	1.0000
7.9815	2.0794	1.0000
13.4443	2.8071	1.0000
12.0543	2.1312	1.0000
9.6290	3.0903	1.0000
9.0744	1.9216	1.0000
10.4485	2.6002	1.0000
11.5960	4.2854	1.0000
11.1750	2.9618	1.0000
11.5333	3.0831	*
12.0884	3.3018	1.0000
11.4118	3.1198	*
14.2214	3.2040	1.0000
11.8646	3.7043	1.0000
9.6532	2.8394	1.0000
6.4316	3.5762	1.0000
6.5830	2.4014	1.0000
6.6518	2.2708	1.0000
10.4973	3.9020	1.0000
13.5235	4.0641	1.0000
17.6218	5.5688	1.0000
15.4071	5.4057	1.0000
12.7218	4.4473	1.0000
17.3159	3.9723	1.0000
16.9931	4.6722	1.0000
13.0192	4.4303	1.0000
12.7045	5.6923	1.0000
15.0514	4.7028	*
16.6033	3.2334	1.0000
15.3435	4.4498	*
11.8606	3.1501	1.0000
11.1738	2.5769	1.0000
16.5076	5.7278	1.0000
12.3656	3.0776	1.0000
16.0326	4.9168	1.0000
11.7537	2.1889	1.0000
12.7163	3.3170	1.0000
10.8153	0.6505	1.0000
13.1225	0.3839	1.0000
11.2778	2.3761	1.0000
8.9767	1.1746	1.0000
8.8867	0.2773	1.0000
9.6914	0.6341	1.0000
13.7653	0.6376	1.0000
12.8233	0.5810	1.0000
11.8640	0.2162	1.0000
6.7131	2.8662	1.0000
6.4977	2.3887	1.0000
8.4247	2.2885	1.0000
7.4776	2.2063	1.0000
10.9074	2.9869	*
10.8050	4.2085	1.0000
12.6075	4.3383	1.0000
8.9340	2.7095	1.0000
10.5300	4.0618	1.0000
14.8462	4.8812	*
17.3913	3.9657	1.0000
19.0983	7.6749	1.0000
19.9800	6.5858	1.0000
20.5700	5.0505	1.0000
16.7539	5.4966	*
19.0315	4.9358	1.0000
13.2083	4.8814	1.0000
16.2073	5.1852	*
12.5060	2.9279	1.0000
15.4238	4.8522	*
14.9961	4.6845	*
17.5590	6.5289	1.0000
14.3288	5.0687	1.0000
9.9467	4.4535	1.0000
13.1027	2.3964	1.0000
13.5750	4.9021	1.0000
16.7347	4.4813	1.0000
15.7712	5.5699	1.0000
12.3375	4.3431	1.0000
12.2440	3.7545	1.0000
12.9753	4.6460	1.0000
15.6800	3.9408	1.0000
18.2107	5.5589	1.0000
20.5850	4.3198	1.0000
21.0731	2.8511	1.0000
18.6899	5.3644	*
19.2008	5.4734	*
20.8817	9.0453	1.0000
19.9683	5.5730	*
16.5041	4.6332	1.0000
20.4271	5.5216	*
20.5645	5.4526	*
20.6536	5.3613	*
20.7125	5.2543	*
20.7579	5.1394	*
20.8068	5.0253	*
20.8738	4.9195	*
20.9661	4.8261	*
21.0854	4.7506	*
19.8670	4.2238	1.0000
22.3773	4.7095	1.0000
21.5529	4.2405	1.0000
23.7425	5.6396	1.0000
22.0238	5.8283	1.0000
19.3750	4.0725	1.0000
21.8241	4.6486	*
20.7147	4.8997	1.0000
23.5714	3.9017	1.0000
23.9591	1.3061	1.0000
20.8930	5.1379	1.0000
19.2544	4.0401	1.0000
20.2717	7.1960	1.0000
16.9594	3.0976	1.0000
19.5913	4.2041	1.0000
14.9839	5.1913	1.0000
12.5393	4.5683	1.0000
16.2683	4.0436	1.0000
16.7384	4.3415	1.0000
16.3515	4.5230	1.0000
17.4560	2.5414	1.0000
16.0621	5.0297	1.0000
14.4400	2.5334	1.0000
14.4025	3.0509	1.0000
13.6367	4.0620	*
10.7345	2.8508	1.0000
14.3660	4.4278	*
13.5867	3.6674	1.0000
14.8324	4.2773	1.0000
14.3460	5.0811	1.0000
15.7461	5.3239	1.0000
17.3511	8.7688	1.0000
16.4200	4.6902	1.0000
15.6944	5.3504	*
15.6668	5.3110	*
15.5755	5.2249	*
15.4338	5.0975	*
15.1536	6.7041	1.0000
15.0551	4.7448	*
14.8517	4.5395	*
14.6621	4.3315	*
15.0668	4.1843	1.0000
12.2853	2.6235	1.0000
11.3756	0.7762	1.0000
14.0233	1.9889	1.0000
15.5511	4.4050	1.0000
15.1200	4.5285	1.0000
18.4200	4.1708	1.0000
18.2648	6.0099	1.0000
16.1300	4.3931	1.0000
15.5369	3.8721	*
15.7922	3.9674	*
13.9086	3.1001	1.0000
11.2489	2.9963	1.0000
12.6579	3.0999	1.0000
16.6909	4.3225	*
16.5378	9.1313	1.0000
22.4800	4.5730	1.0000
17.0023	4.3682	*
19.4048	4.3317	*
18.9413	4.0357	1.0000
16.7460	0.9319	1.0000
16.3893	3.9287	1.0000
15.2022	2.7853	1.0000
12.3200	3.7651	1.0000
13.6121	4.3142	1.0000
18.6188	4.2073	1.0000
17.8233	5.0130	1.0000
19.2044	3.3645	1.0000
16.4857	6.0056	1.0000
15.8738	3.9458	1.0000
15.7018	3.8600	*
14.1900	3.1801	1.0000
14.6080	4.5573	1.0000
16.8648	4.3485	1.0000
14.8594	4.4292	1.0000
13.7753	3.5874	1.0000
13.8800	3.7861	1.0000
12.4615	2.9538	1.0000
10.6884	1.4690	1.0000
13.5196	3.0657	1.0000
13.7263	2.8080	1.0000
10.3718	2.6552	1.0000
9.5300	4.2397	1.0000
15.7900	5.0681	1.0000
13.6655	4.2376	1.0000
16.1923	3.9080	1.0000
14.1183	2.8719	1.0000
13.4386	3.5460	1.0000
10.0300	2.4108	1.0000
9.2550	2.5231	1.0000
9.9276	2.9281	1.0000
12.8800	3.3022	1.0000
13.3989	4.1830	1.0000
14.0882	3.6934	1.0000
14.2964	3.7906	1.0000
13.8200	3.4447	1.0000
15.6439	3.8277	1.0000
14.0152	3.3730	1.0000
10.5635	3.7372	1.0000
14.8452	3.4229	1.0000
15.5879	4.8753	1.0000
12.6087	2.2456	1.0000
15.7375	4.3771	1.0000
11.4083	3.5381	*
11.2307	2.3400	1.0000
10.4977	2.9070	1.0000
4.6588	3.2863	*
9.0048	3.2069	*
7.7483	5.4245	1.0000
8.4740	3.2053	1.0000
7.9468	3.0146	*
7.8029	2.9746	*
5.2174	2.7516	1.0000
10.5200	1.9938	1.0000
