C1	C2
116.0000	175.0000
176.0000	212.0000
123.0000	206.0000
139.0000	181.0000
148.0000	178.0000
124.0000	177.0000
144.0000	182.0000
155.0000	185.0000
135.0000	200.0000
123.0000	200.0000
143.0000	189.0000
159.0000	170.0000
124.0000	196.0000
141.0000	221.0000
155.0000	191.0000
172.0000	198.0000
187.0000	202.0000
198.0000	186.0000
154.0000	180.0000
136.0000	212.0000
150.0000	187.0000
159.0000	189.0000
190.0000	213.0000
166.0000	175.0000
145.0000	214.0000
172.0000	193.0000
154.0000	191.0000
189.0000	177.0000
195.0000	192.0000
134.0000	175.0000
150.0000	190.0000
166.0000	188.0000
194.0000	193.0000
127.0000	172.0000
140.0000	177.0000
153.0000	199.0000
175.0000	184.0000
198.0000	192.0000
158.0000	181.0000
178.0000	184.0000
153.0000	182.0000
190.0000	188.0000
152.0000	184.0000
188.0000	195.0000
198.0000	201.0000
164.0000	188.0000
193.0000	179.0000
160.0000	177.0000
150.0000	205.0000
176.0000	185.0000
195.0000	188.0000
128.0000	175.0000
151.0000	175.0000
127.0000	173.0000
155.0000	207.0000
176.0000	199.0000
146.0000	198.0000
168.0000	199.0000
143.0000	195.0000
181.0000	181.0000
195.0000	202.0000
202.0000	187.0000
148.0000	226.0000
135.0000	174.0000
121.0000	179.0000
147.0000	196.0000
123.0000	184.0000
138.0000	183.0000
160.0000	194.0000
131.0000	183.0000
132.0000	192.0000
158.0000	182.0000
173.0000	200.0000
197.0000	194.0000
204.0000	208.0000
148.0000	190.0000
170.0000	190.0000
119.0000	173.0000
143.0000	181.0000
168.0000	179.0000
197.0000	180.0000
155.0000	167.0000
195.0000	191.0000
204.0000	187.0000
196.0000	187.0000
172.0000	183.0000
197.0000	186.0000
171.0000	176.0000
153.0000	171.0000
182.0000	185.0000
201.0000	195.0000
133.0000	168.0000
161.0000	187.0000
176.0000	186.0000
197.0000	186.0000
175.0000	171.0000
187.0000	195.0000
197.0000	184.0000
164.0000	183.0000
182.0000	186.0000
195.0000	173.0000
174.0000	197.0000
201.0000	199.0000
192.0000	192.0000
203.0000	188.0000
186.0000	230.0000
158.0000	184.0000
179.0000	206.0000
202.0000	185.0000
