C1	C2	C3
7679.0000	1.0000	*
152.0000	1.0000	*
17232.0000	2.0000	*
28829.0000	2.0000	*
9188.0000	1.0000	*
18580.0000	2.0000	*
3885.0000	2.0000	*
280.0000	1.0000	*
16128.0000	1.0000	*
27366.0000	2.0000	*
13209.0000	1.0000	*
1228.0000	2.0000	*
12242.0000	2.0000	*
241.0000	1.0000	*
265.0000	1.0000	*
21118.0000	2.0000	*
259.0000	1.0000	*
16148.0000	1.0000	*
18742.0000	2.0000	*
11272.0000	1.0000	*
1793.0000	2.0000	*
12963.0000	1.0000	*
245.0000	1.0000	*
24104.0000	1.0000	*
9840.0000	1.0000	*
21180.0000	2.0000	*
1270.0000	2.0000	*
1889.0000	2.0000	*
8398.0000	1.0000	*
12053.0000	1.0000	*
192.0000	1.0000	*
14888.0000	1.0000	*
9964.0000	1.0000	*
11330.0000	1.0000	*
3419.0000	2.0000	*
13041.0000	1.0000	*
16432.0000	1.0000	*
592.0000	2.0000	*
11081.0000	1.0000	*
14771.0000	1.0000	*
669.0000	2.0000	*
2212.0000	2.0000	*
287.0000	1.0000	*
9706.0000	1.0000	*
14457.0000	2.0000	*
16712.0000	1.0000	*
3771.0000	2.0000	*
11883.0000	2.0000	*
15622.0000	1.0000	*
18765.0000	1.0000	*
22011.0000	2.0000	*
16537.0000	2.0000	*
1580.0000	2.0000	*
14936.0000	2.0000	*
63.0000	1.0000	*
141.0000	1.0000	*
12329.0000	1.0000	*
14011.0000	1.0000	*
158.0000	1.0000	*
15922.0000	2.0000	*
190.0000	1.0000	*
18186.0000	2.0000	*
12838.0000	2.0000	*
3540.0000	2.0000	*
11701.0000	1.0000	*
18079.0000	2.0000	*
75.0000	1.0000	*
26530.0000	2.0000	*
20494.0000	2.0000	*
25894.0000	2.0000	*
8428.0000	1.0000	*
2410.0000	2.0000	*
16831.0000	1.0000	*
47291.0000	2.0000	*
13955.0000	2.0000	*
195.0000	1.0000	*
16733.0000	2.0000	*
488.0000	2.0000	*
9841.0000	2.0000	*
24734.0000	2.0000	*
11467.0000	1.0000	*
2943.0000	2.0000	*
16411.0000	1.0000	*
18691.0000	2.0000	*
15883.0000	1.0000	*
13075.0000	2.0000	*
2196.0000	2.0000	*
15097.0000	2.0000	*
19781.0000	2.0000	*
10792.0000	2.0000	*
80.0000	1.0000	*
38559.0000	2.0000	*
12561.0000	1.0000	*
13573.0000	1.0000	*
16240.0000	1.0000	*
8550.0000	1.0000	*
2245.0000	2.0000	*
14934.0000	1.0000	*
11791.0000	2.0000	*
19284.0000	2.0000	*
1515.0000	2.0000	*
18665.0000	2.0000	*
2051.0000	2.0000	*
18823.0000	2.0000	*
14342.0000	2.0000	*
9062.0000	1.0000	*
193.0000	1.0000	*
1852.0000	2.0000	*
15234.0000	1.0000	*
19357.0000	2.0000	*
10406.0000	2.0000	*
7032.0000	2.0000	*
21914.0000	2.0000	*
28302.0000	2.0000	*
316.0000	1.0000	*
13996.0000	1.0000	*
14470.0000	1.0000	*
16410.0000	1.0000	*
5601.0000	2.0000	*
211.0000	1.0000	*
135.0000	1.0000	*
10932.0000	2.0000	*
2523.0000	2.0000	*
132.0000	1.0000	*
8906.0000	1.0000	*
12960.0000	1.0000	*
8926.0000	2.0000	*
166.0000	1.0000	*
910.0000	2.0000	*
16597.0000	1.0000	*
230.0000	1.0000	*
10281.0000	1.0000	*
13415.0000	1.0000	*
26863.0000	2.0000	*
12723.0000	1.0000	*
18931.0000	2.0000	*
13964.0000	1.0000	*
160.0000	1.0000	*
2673.0000	2.0000	*
76.0000	1.0000	*
22300.0000	2.0000	*
3575.0000	2.0000	*
10129.0000	1.0000	*
19399.0000	1.0000	*
27449.0000	2.0000	*
9062.0000	1.0000	*
16087.0000	1.0000	*
11940.0000	1.0000	*
163.0000	1.0000	*
186.0000	1.0000	*
11214.0000	2.0000	*
22895.0000	2.0000	*
16415.0000	1.0000	*
45591.0000	2.0000	*
23073.0000	2.0000	*
25039.0000	2.0000	*
2442.0000	2.0000	*
