C1	C2	C3	C4
109.7000	124.8000	127.4000	116.0000
109.9000	98.8000	79.6000	80.5000
106.9000	94.7000	86.8000	91.9000
97.4000	124.0000	104.6000	111.6000
76.6000	120.9000	76.0000	94.8000
81.2000	97.5000	124.3000	138.2000
94.2000	125.0000	201.6000	53.8000
44.4000	114.7000	187.6000	173.7000
104.0000	55.2000	106.5000	88.4000
40.3000	73.5000	57.2000	47.9000
37.5000	68.4000	76.5000	91.4000
138.5000	86.9000	74.0000	43.3000
113.3000	76.7000	54.8000	69.0000
54.1000	36.5000	27.2000	39.5000
44.7000	58.9000	89.7000	82.3000
93.6000	74.6000	71.7000	74.1000
55.3000	83.9000	83.8000	101.8000
117.4000	77.2000	80.1000	95.6000
113.9000	109.5000	139.3000	73.5000
125.4000	74.8000	33.3000	72.0000
44.1000	44.2000	91.6000	94.3000
98.2000	21.5000	53.5000	27.9000
73.1000	72.6000	71.8000	57.3000
78.6000	53.6000	44.5000	49.6000
31.9000	40.4000	71.8000	75.0000
49.4000	72.2000	36.6000	49.4000
15.8000	12.9000	13.5000	39.9000
28.2000	12.6000	27.5000	18.5000
17.1000	9.6000	28.2000	39.2000
20.3000	4.0000	34.6000	22.5000
1.1000	10.9000	11.8000	15.8000
9.6000	22.5000	28.3000	18.2000
4.0000	4.6000	7.1000	5.0000
30.8000	38.3000	11.6000	30.6000
24.2000	20.7000	4.4000	11.1000
36.9000	23.6000	13.1000	160.5300
67.4700	72.7500	79.6500	69.9400
54.1800	42.5300	52.5000	69.7100
59.0600	67.8000	55.7100	10.5600
38.7100	28.8800	95.6500	135.5900
101.8800	119.2400	30.2400	65.2900
49.1900	69.6900	62.8800	120.3000
113.0600	104.5000	99.0600	105.4400
120.8800	71.3500	73.8800	23.9400
92.8800	28.8200	53.2400	53.1200
26.2400	33.2900	52.6500	75.0000
109.5600	138.2500	92.8800	111.7500
154.4400	87.8100	50.4000	95.4100
110.8800	154.2400	169.4700	107.6700
89.4400	107.4400	115.5600	119.7500
164.6500	152.8800	133.7500	152.7600
71.7600	88.0000	65.1900	84.6900
127.9400	158.5000	144.5600	149.5000
87.2900	45.5000	90.8100	42.2500
70.7500	87.0000	82.5900	57.6900
51.1200	52.3500	77.9400	118.3500
137.5900	129.4100	144.1800	118.8800
131.5600	134.3800	27.0000	65.0000
66.9400	33.1400	88.7600	66.6500
90.3100	52.6900	53.6300	75.4400
24.5000	23.4400	39.4400	97.1800
94.7100	94.2500	73.2500	102.2300
63.5600	99.8100	73.0000	56.2400
25.2400	64.4700	60.4400	56.8800
29.7100	39.7500	68.8100	89.9400
33.5300	6.3100	47.6300	95.1300
