C1	C2	C3	C4	C5
307.0000	350.0000	318.0000	304.0000	302.0000
429.0000	454.0000	440.0000	455.0000	390.0000
383.0000	340.0000	400.0000	455.0000	113.0000
198.0000	199.0000	200.0000	97.0000	97.0000
110.0000	107.0000	104.0000	121.0000	199.0000
360.0000	307.0000	318.0000	304.0000	97.0000
140.0000	113.0000	232.0000	225.0000	250.0000
250.0000	232.0000	350.0000	400.0000	351.0000
318.0000	383.0000	400.0000	400.0000	258.0000
140.0000	250.0000	250.0000	122.0000	116.0000
79.0000	88.0000	71.0000	72.0000	97.0000
91.0000	113.0000	97.5000	97.0000	140.0000
122.0000	350.0000	400.0000	318.0000	351.0000
304.0000	429.0000	350.0000	350.0000	400.0000
70.0000	304.0000	307.0000	302.0000	318.0000
121.0000	121.0000	120.0000	96.0000	122.0000
97.0000	120.0000	98.0000	97.0000	350.0000
304.0000	350.0000	302.0000	318.0000	429.0000
400.0000	351.0000	318.0000	440.0000	455.0000
360.0000	225.0000	250.0000	232.0000	250.0000
198.0000	97.0000	400.0000	400.0000	360.0000
350.0000	232.0000	97.0000	140.0000	108.0000
70.0000	122.0000	155.0000	98.0000	350.0000
400.0000	68.0000	116.0000	114.0000	121.0000
318.0000	121.0000	156.0000	350.0000	198.0000
232.0000	250.0000	79.0000	122.0000	71.0000
140.0000	250.0000	258.0000	225.0000	302.0000
350.0000	318.0000	302.0000	304.0000	98.0000
79.0000	97.0000	76.0000	83.0000	90.0000
90.0000	116.0000	120.0000	108.0000	79.0000
225.0000	250.0000	250.0000	250.0000	400.0000
350.0000	318.0000	351.0000	231.0000	250.0000
258.0000	225.0000	231.0000	262.0000	302.0000
97.0000	140.0000	232.0000	140.0000	134.0000
90.0000	119.0000	171.0000	90.0000	232.0000
115.0000	120.0000	121.0000	121.0000	91.0000
107.0000	116.0000	140.0000	98.0000	101.0000
305.0000	318.0000	304.0000	351.0000	225.0000
250.0000	200.0000	232.0000	85.0000	98.0000
90.0000	91.0000	225.0000	250.0000	250.0000
258.0000	97.0000	85.0000	97.0000	140.0000
130.0000	318.0000	120.0000	156.0000	168.0000
350.0000	350.0000	302.0000	318.0000	98.0000
111.0000	79.0000	122.0000	85.0000	305.0000
260.0000	318.0000	302.0000	250.0000	231.0000
225.0000	250.0000	400.0000	350.0000	400.0000
351.0000	97.0000	151.0000	97.0000	140.0000
98.0000	98.0000	97.0000	97.0000	146.0000
121.0000	80.0000	90.0000	98.0000	78.0000
85.0000	91.0000	260.0000	318.0000	302.0000
231.0000	200.0000	200.0000	140.0000	225.0000
232.0000	231.0000	200.0000	225.0000	258.0000
305.0000	231.0000	302.0000	318.0000	98.0000
134.0000	119.0000	105.0000	134.0000	156.0000
151.0000	119.0000	131.0000	163.0000	121.0000
163.0000	89.0000	98.0000	231.0000	200.0000
140.0000	232.0000	225.0000	305.0000	302.0000
351.0000	318.0000	350.0000	351.0000	267.0000
360.0000	89.0000	86.0000	98.0000	121.0000
183.0000	350.0000	141.0000	260.0000	105.0000
105.0000	85.0000	91.0000	151.0000	173.0000
173.0000	151.0000	98.0000	89.0000	98.0000
86.0000	151.0000	140.0000	151.0000	225.0000
97.0000	134.0000	120.0000	119.0000	108.0000
86.0000	156.0000	85.0000	90.0000	90.0000
121.0000	146.0000	91.0000	97.0000	89.0000
168.0000	70.0000	122.0000	107.0000	135.0000
151.0000	156.0000	173.0000	135.0000	79.0000
86.0000	81.0000	97.0000	85.0000	89.0000
91.0000	105.0000	98.0000	98.0000	105.0000
107.0000	108.0000	119.0000	120.0000	141.0000
145.0000	168.0000	146.0000	231.0000	350.0000
200.0000	225.0000	112.0000	112.0000	112.0000
112.0000	135.0000	151.0000	140.0000	105.0000
91.0000	91.0000	105.0000	98.0000	120.0000
107.0000	108.0000	91.0000	91.0000	91.0000
181.0000	262.0000	156.0000	232.0000	144.0000
135.0000	151.0000	140.0000	97.0000	135.0000
120.0000	119.0000	130.0000	165.0000	150.0000
150.0000	140.0000	198.0000	220.0000	215.0000
225.0000	190.0000	170.0000	160.0000	150.0000
225.0000	95.0000	95.0000	97.0000	85.0000
88.0000	46.0000	87.0000	90.0000	95.0000
113.0000	90.0000	215.0000	200.0000	210.0000
193.0000	88.0000	90.0000	95.0000	100.0000
105.0000	100.0000	88.0000	100.0000	165.0000
175.0000	153.0000	150.0000	180.0000	170.0000
175.0000	110.0000	72.0000	100.0000	88.0000
86.0000	90.0000	70.0000	76.0000	65.0000
69.0000	60.0000	70.0000	95.0000	80.0000
54.0000	90.0000	86.0000	165.0000	175.0000
150.0000	153.0000	150.0000	208.0000	155.0000
160.0000	190.0000	97.0000	150.0000	130.0000
140.0000	150.0000	112.0000	76.0000	87.0000
69.0000	86.0000	92.0000	97.0000	80.0000
88.0000	175.0000	150.0000	145.0000	137.0000
150.0000	198.0000	150.0000	158.0000	150.0000
215.0000	225.0000	175.0000	105.0000	100.0000
100.0000	88.0000	95.0000	46.0000	150.0000
167.0000	170.0000	180.0000	100.0000	88.0000
