RIVER	LOCATION	ERECTED	PURPOSE	LENGTH	LANES	CLEAR-G	T-OR-D	MATERIAL	SPAN	REL-L	TYPE
M	3	CRAFTS	HIGHWAY	?	2	N	THROUGH	WOOD	SHORT	S	WOOD
A	25	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	SHORT	S	WOOD
A	39	CRAFTS	AQUEDUCT	?	1	N	THROUGH	WOOD	?	S	WOOD
A	29	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	SHORT	S	WOOD
M	23	CRAFTS	HIGHWAY	?	2	N	THROUGH	WOOD	?	S	WOOD
A	27	CRAFTS	HIGHWAY	SHORT	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
A	28	CRAFTS	AQUEDUCT	MEDIUM	1	N	THROUGH	IRON	SHORT	S	SUSPEN
M	3	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	IRON	SHORT	S	SUSPEN
A	39	CRAFTS	AQUEDUCT	?	1	N	DECK	WOOD	?	S	WOOD
A	29	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
A	39	CRAFTS	RR	?	2	N	DECK	WOOD	?	S	WOOD
M	6	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
A	33	CRAFTS	HIGHWAY	?	2	N	THROUGH	WOOD	?	S	WOOD
A	28	CRAFTS	RR	?	2	N	THROUGH	WOOD	?	S	WOOD
A	25	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	IRON	MEDIUM	S-F	SUSPEN
M	4	CRAFTS	RR	MEDIUM	2	N	THROUGH	IRON	MEDIUM	?	SIMPLE-T
A	28	CRAFTS	RR	MEDIUM	2	N	THROUGH	IRON	SHORT	S	SIMPLE-T
A	29	CRAFTS	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
A	32	EMERGING	HIGHWAY	MEDIUM	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
M	16	EMERGING	RR	?	2	?	THROUGH	IRON	?	?	SIMPLE-T
M	1	EMERGING	HIGHWAY	MEDIUM	?	?	THROUGH	STEEL	LONG	F	SUSPEN
A	24	EMERGING	HIGHWAY	MEDIUM	4	G	THROUGH	WOOD	SHORT	S	WOOD
O	45	EMERGING	RR	?	2	G	?	STEEL	?	?	SIMPLE-T
M	10	EMERGING	RR	?	2	G	?	STEEL	?	?	SIMPLE-T
A	39	EMERGING	RR	?	2	G	THROUGH	STEEL	?	F	SIMPLE-T
M	12	EMERGING	RR	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
A	31	EMERGING	RR	?	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
A	26	EMERGING	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	?	SUSPEN
M	3	EMERGING	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S	ARCH
A	30	EMERGING	HIGHWAY	?	2	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
M	8	EMERGING	RR	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
O	41	EMERGING	RR	LONG	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
M	19	EMERGING	HIGHWAY	MEDIUM	?	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
O	45	MATURE	HIGHWAY	?	2	G	THROUGH	IRON	SHORT	F	SIMPLE-T
A	27	MATURE	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
