raf	mek	plc	pip2	pip3	erk	akt	pka	pkc	p38	jnk	cd3_cd28	icam2	aktinhib	g0076	psitect	u0126	ly	pma	b2camp
3.5946	3.1442	2.9349	3.3429	4.2312	2.81	3.2958	6.0497	3.2958	4.0055	3.912	0.9932	0.007	-0.0095	-0.0142	-0.0231	-0.0187	0.0133	0.0004	-0.0067
3.8265	3.2771	3.1046	3.2884	2.8976	3.3534	3.7495	5.8916	2.593	3.2771	4.2697	0.9989	0.0052	-0.0031	0.0152	-0.0035	0.005	-0.0032	0.0042	0.013
4.2399	3.9908	3.2027	3.0057	3.1355	3.2149	3.7495	6.0234	3.0634	3.7353	3.3844	1.0179	0.0178	-0.0011	0.0071	0.007	0.0067	-0.0007	0.0096	-0.0068
4.4188	4.5304	3.4995	3.157	2.4239	2.7619	3.0819	6.2879	3.1655	3.6533	3.4995	1.0031	-0.0114	0.0088	-0.0153	-0.0031	0.0082	-0.0022	-0.0023	-0.0038
3.7773	3.3945	2.7206	2.9821	3.5496	3.4372	4.0271	5.7526	2.6851	3.5752	4.5142	1.0098	0.0019	-0.0062	0.0016	0.0036	-0.0014	-0.006	-0.0108	0.0162
3.3604	2.621	3.3178	3.4689	3.0397	3.0865	3.5752	6.4297	3.1655	4.0792	4.2166	0.9985	-0.0097	-0.0056	0.0073	0.0107	-0.0063	-0.0048	-0.0094	-0.0034
4.0055	3.8395	3.0155	4.9558	3.2696	2.9264	3.3286	6.7393	3.2189	3.8265	3.3358	1.0052	-0.0052	-0.0027	-0.0117	0.0033	-0.0087	0.0208	0.009	-0.0083
4.05	3.2189	3.2027	3.7013	3.3142	3.4078	4.0128	6.1654	2.7997	3.5381	3.4012	0.9889	-0.0079	-0.0071	0.0065	0.0072	-0.0031	0.0055	-0.0127	-0.0007
4.7362	4.2697	3.0253	3.4372	3.9474	3.0681	3.5115	6.1203	3.6687	4.2627	3.5639	1.0068	0.0077	0.0076	0.0073	0.0014	0.0068	0.0027	-0.0048	0.0075
3.4372	3.45	2.4749	5.3706	3.9834	3.1442	4.9767	5.4072	3.2027	3.6028	4.7095	0.9994	-0.0159	0.0049	0.0169	-0.0025	-0.0011	0.0129	0.0059	0.0084
3.2734	3.2734	3.1987	3.2958	3.054	3.4626	3.7977	6.1291	3.4144	4.0055	3.5293	0.9983	-0.0053	-0.0082	0.0159	0.0034	-0.0105	-0.001	0.0106	0.0059
4.4344	3.4935	2.8622	3.2387	3.5891	3.4308	3.8395	5.989	3.7353	4.3944	3.8177	0.983	-0.0002	0.0086	-0.0157	0.0062	0.0059	-0.0042	0.0053	0.0104
4.5549	3.904	2.9392	4.3162	3.0773	2.8136	3.1001	6.2879	3.3286	3.9908	4.852	0.994	-0.0128	-0.0063	-0.0144	0.0029	0.0127	0.0035	-0.0148	0.0055
3.8459	3.6687	2.7081	2.9476	3.2387	3.3286	3.3286	6.0162	3.2027	3.9396	5.0814	0.9982	0.0006	-0.0044	0.0046	0.0251	-0.0138	-0.0017	0.0087	-0.0209
3.6687	3.5293	3.0057	3.2581	4.036	2.9349	2.8467	6.2344	2.9821	3.3707	2.8854	1.0094	-0.0093	-0.012	0.0055	0.0077	0.0055	-0.0041	-0.0055	-0.0045
