raf	mek	plc	pip2	pip3	erk	akt	pka	pkc	p38	jnk
26.4000	13.2000	8.8200	18.3000	58.8000	6.6100	17.0000	414.0000	17.0000	44.9000	40.0000
35.9000	16.5000	12.3000	16.8000	8.1300	18.6000	32.5000	352.0000	3.3700	16.5000	61.5000
59.4000	44.1000	14.6000	10.2000	13.0000	14.9000	32.5000	403.0000	11.4000	31.9000	19.5000
73.0000	82.8000	23.1000	13.5000	1.2900	5.8300	11.8000	528.0000	13.7000	28.6000	23.1000
33.7000	19.8000	5.1900	9.7300	24.8000	21.1000	46.1000	305.0000	4.6600	25.7000	81.3000
18.8000	3.7500	17.6000	22.1000	10.9000	11.9000	25.7000	610.0000	13.7000	49.1000	57.8000
44.9000	36.5000	10.4000	132.0000	16.3000	8.6600	17.9000	835.0000	15.0000	35.9000	18.1000
47.4000	15.0000	14.6000	30.5000	17.5000	20.2000	45.3000	466.0000	6.4400	24.4000	20.0000
104.0000	61.5000	10.6000	21.1000	41.8000	11.5000	23.5000	445.0000	29.2000	61.0000	25.3000
21.1000	21.5000	1.8800	205.0000	43.7000	13.2000	135.0000	213.0000	14.6000	26.7000	101.0000
16.4000	16.4000	14.5000	17.0000	11.2000	21.9000	34.6000	449.0000	20.4000	44.9000	24.1000
74.3000	22.9000	7.5000	15.5000	26.2000	20.9000	36.5000	389.0000	31.9000	71.0000	35.5000
85.1000	39.6000	8.9000	64.9000	11.7000	6.6700	12.2000	528.0000	17.9000	44.1000	118.0000
36.8000	29.2000	5.0000	9.0600	15.5000	17.9000	17.9000	400.0000	14.6000	41.4000	151.0000
29.2000	24.1000	10.2000	16.0000	46.6000	8.8200	7.2300	500.0000	9.7300	19.1000	7.9100
50.0000	13.8000	11.9000	13.2000	11.3000	18.1000	27.9000	392.0000	56.2000	77.0000	1.0000
26.2000	26.7000	21.3000	10.9000	14.7000	9.0600	37.9000	89.0000	40.0000	65.5000	1.4200
39.6000	38.2000	10.5000	92.2000	22.7000	27.6000	31.3000	223.0000	16.5000	30.8000	7.6400
30.5000	19.8000	7.5000	133.0000	15.7000	19.1000	36.2000	319.0000	24.1000	37.2000	17.2000
49.1000	16.5000	13.3000	141.0000	25.7000	31.1000	62.1000	710.0000	14.2000	27.4000	22.1000
38.5000	8.9000	11.3000	85.8000	17.9000	12.1000	35.9000	843.0000	12.0000	28.4000	20.9000
31.6000	17.8000	14.5000	10.6000	4.9100	10.2000	23.9000	276.0000	13.8000	28.4000	12.7000
41.0000	27.9000	1.0000	137.0000	23.9000	30.2000	50.0000	965.0000	1.0000	84.3000	4.6100
70.4000	54.2000	15.4000	24.4000	12.9000	9.9100	27.9000	449.0000	35.9000	93.9000	48.3000
70.4000	42.2000	17.6000	20.9000	10.5000	59.4000	98.2000	1981.0000	35.9000	46.1000	17.8000
21.5000	1.0000	8.2800	181.0000	43.7000	18.8000	38.5000	644.0000	13.6000	29.2000	7.0400
39.2000	23.1000	18.6000	22.1000	10.6000	17.8000	32.2000	466.0000	10.5000	23.3000	6.9800
69.8000	20.4000	19.8000	18.4000	6.2600	10.4000	25.0000	500.0000	22.7000	48.3000	59.4000
