raf	mek	plc	pip2	pip3	erk	akt	pka	pkc	p38	jnk	cd3_cd28	icam2	aktinhib	g0076	psitect	u0126	ly	pma	b2camp
26.4	13.2	8.82	18.3	58.8	6.61	17	414	17	44.9	40	0.9932	0.007	-0.0095	-0.0142	-0.0231	-0.0187	0.0133	0.0004	-0.0067
35.9	16.5	12.3	16.8	8.13	18.6	32.5	352	3.37	16.5	61.5	0.9989	0.0052	-0.0031	0.0152	-0.0035	0.005	-0.0032	0.0042	0.013
59.4	44.1	14.6	10.2	13	14.9	32.5	403	11.4	31.9	19.5	1.0179	0.0178	-0.0011	0.0071	0.007	0.0067	-0.0007	0.0096	-0.0068
73	82.8	23.1	13.5	1.29	5.83	11.8	528	13.7	28.6	23.1	1.0031	-0.0114	0.0088	-0.0153	-0.0031	0.0082	-0.0022	-0.0023	-0.0038
33.7	19.8	5.19	9.73	24.8	21.1	46.1	305	4.66	25.7	81.3	1.0098	0.0019	-0.0062	0.0016	0.0036	-0.0014	-0.006	-0.0108	0.0162
18.8	3.75	17.6	22.1	10.9	11.9	25.7	610	13.7	49.1	57.8	0.9985	-0.0097	-0.0056	0.0073	0.0107	-0.0063	-0.0048	-0.0094	-0.0034
44.9	36.5	10.4	132	16.3	8.66	17.9	835	15	35.9	18.1	1.0052	-0.0052	-0.0027	-0.0117	0.0033	-0.0087	0.0208	0.009	-0.0083
47.4	15	14.6	30.5	17.5	20.2	45.3	466	6.44	24.4	20	0.9889	-0.0079	-0.0071	0.0065	0.0072	-0.0031	0.0055	-0.0127	-0.0007
104	61.5	10.6	21.1	41.8	11.5	23.5	445	29.2	61	25.3	1.0068	0.0077	0.0076	0.0073	0.0014	0.0068	0.0027	-0.0048	0.0075
21.1	21.5	1.88	205	43.7	13.2	135	213	14.6	26.7	101	0.9994	-0.0159	0.0049	0.0169	-0.0025	-0.0011	0.0129	0.0059	0.0084
16.4	16.4	14.5	17	11.2	21.9	34.6	449	20.4	44.9	24.1	0.9983	-0.0053	-0.0082	0.0159	0.0034	-0.0105	-0.001	0.0106	0.0059
74.3	22.9	7.5	15.5	26.2	20.9	36.5	389	31.9	71	35.5	0.983	-0.0002	0.0086	-0.0157	0.0062	0.0059	-0.0042	0.0053	0.0104
85.1	39.6	8.9	64.9	11.7	6.67	12.2	528	17.9	44.1	118	0.994	-0.0128	-0.0063	-0.0144	0.0029	0.0127	0.0035	-0.0148	0.0055
36.8	29.2	5	9.06	15.5	17.9	17.9	400	14.6	41.4	151	0.9982	0.0006	-0.0044	0.0046	0.0251	-0.0138	-0.0017	0.0087	-0.0209
29.2	24.1	10.2	16	46.6	8.82	7.23	500	9.73	19.1	7.91	1.0094	-0.0093	-0.012	0.0055	0.0077	0.0055	-0.0041	-0.0055	-0.0045
50	13.8	11.9	13.2	11.3	18.1	27.9	392	56.2	77	1	0.9928	0.0025	-0.0022	0.0044	-0.0068	0.0045	-0.013	0.0075	0.0076
26.2	26.7	21.3	10.9	14.7	9.06	37.9	89	40	65.5	1.42	1.0219	0.0152	-0.0095	0.0099	0.0109	-0.01	0.0157	-0.0041	-0.0096
39.6	38.2	10.5	92.2	22.7	27.6	31.3	223	16.5	30.8	7.64	0.9993	-0.0035	-0.0036	-0.0079	-0.0001	-0.0017	-0.0136	0.0009	0.0104
30.5	19.8	7.5	133	15.7	19.1	36.2	319	24.1	37.2	17.2	0.99	0.0107	-0.003	-0.0153	0.0067	0.005	0.0063	-0.0007	0.0013
49.1	16.5	13.3	141	25.7	31.1	62.1	710	14.2	27.4	22.1	1.0052	-0.0052	0.0072	0.0098	0.0036	-0.0193	-0.0122	0.0155	0
38.5	8.9	11.3	85.8	17.9	12.1	35.9	843	12	28.4	20.9	1.0019	0.0012	0.0029	-0.0006	0.0142	0.0082	-0.0097	0.0153	0.0083
31.6	17.8	14.5	10.6	4.91	10.2	23.9	276	13.8	28.4	12.7	1.0071	0.0025	-0.0013	-0.0063	-0.0014	-0.002	-0.0035	0.0161	0.0047
41	27.9	1	137	23.9	30.2	50	965	1	84.3	4.61	1.0084	-0.0042	0.0057	0.0063	-0.003	-0.0072	-0.0009	-0.0166	0.0089
70.4	54.2	15.4	24.4	12.9	9.91	27.9	449	35.9	93.9	48.3	1.0083	0.0042	-0.0023	-0.0089	-0.0074	-0.0019	0.017	-0.0012	0.0277
70.4	42.2	17.6	20.9	10.5	59.4	98.2	1981	35.9	46.1	17.8	1.0076	-0.0173	-0.0002	-0.0125	-0.0086	0.0113	0.0022	-0.0058	-0.0129
21.5	1	8.28	181	43.7	18.8	38.5	644	13.6	29.2	7.04	1.0072	0.005	-0.0012	0.0037	0.0058	-0.0199	0.0065	0.0093	-0.0157
39.2	23.1	18.6	22.1	10.6	17.8	32.2	466	10.5	23.3	6.98	1.0022	-0.0011	-0.0163	-0.0018	-0.0075	0.015	0.0084	0.0024	0.0128
69.8	20.4	19.8	18.4	6.26	10.4	25	500	22.7	48.3	59.4	1.0071	0.0004	-0.0046	0.0051	0.0071	-0.0117	0.0014	-0.0053	0.0091
34.9	22.3	17.2	50	23.1	34.3	51.4	308	13.2	38.9	196	1.0015	0.0007	0.0045	-0.0034	-0.0041	-0.0017	0.013	-0.0008	0.0019
40.7	24.8	13	62.6	38.2	5.14	14.7	673	28.1	41.8	23.1	0.9903	-0.011	-0.0087	0.0034	-0.001	-0.0065	-0.015	-0.0011	-0.0033
45.7	15.7	13.2	21.3	7.5	23.9	49.1	1382	19.5	38.5	20.9	1.0119	-0.0004	-0.0029	-0.0014	0.005	0.0022	0.0084	0.0069	-0.0166
43.7	29.2	14.5	17.6	13.1	8.58	12.5	621	34	67.9	28.1	1.0033	0.0053	0.0062	0.0095	-0.0045	-0.0013	-0.0153	0.0108	-0.0051
79.9	80.6	4.41	209	19.5	10.5	35.5	422	26.9	40.3	15.3	1.0033	0.0146	-0.0027	0.001	-0.0064	0.0163	0.0077	0.013	0.0077
56.7	17.3	21.7	18.1	12.7	9.22	22.9	552	38.5	59.9	17.9	1.0073	0.002	-0.0014	-0.0005	0.0137	-0.0002	-0.0111	-0.0083	0.0086
58.8	19.5	2.57	41.4	2.21	19.1	33.7	325	22.9	31.9	20.7	0.9979	0.0119	0.0132	0.002	-0.0168	0.0118	0.0004	0.0197	0.0056
53.8	12.7	10.9	12.4	30.8	20.2	37.9	403	22.5	38.5	20.9	1.0172	-0.0001	-0.0251	0.0063	-0.0138	-0.0133	0.0087	0.0054	0.0082
58.3	23.1	18.9	79.1	24.4	36.2	48.7	429	14.7	28.9	12.6	0.9924	0.0104	-0.0138	-0.0092	-0.009	-0.0167	-0.0044	-0.0043	-0.0138
160	28.1	7.1	115	16.1	4.96	12.4	1241	2.46	31.3	83.5	1.0065	-0.0062	-0.0092	0	-0.0082	0.0016	-0.0071	0.0028	0.0026
45.3	9.39	12.2	53.8	27.6	4.29	27.6	599	38.2	80.6	139	0.99	0.0035	-0.0017	-0.0082	0.012	-0.0112	-0.0129	-0.01	-0.0055
54.7	28.4	8.35	9.39	20.7	38.5	59.9	898	12.7	23.7	13.5	1.0126	0.0053	-0.0062	0.0025	-0.0091	0	0.0101	-0.0119	0.0089
85.1	26.9	25.3	47.8	22.9	13.6	14.2	396	4.74	8.98	43.3	0.9918	0.0069	0.0074	-0.0301	-0.0024	0.0003	-0.001	0.0153	-0.0009
109	43.7	9.47	343	60.4	27.1	42.6	319	14.9	37.9	17.8	1.0102	0.029	-0.0006	0.0101	0.0058	0.0196	0.0037	0.01	-0.0035
25.7	15.3	1	120	23.7	2.69	18.9	10.2	4.96	40.3	221	0.9877	-0.0012	0.0011	0.0076	-0.0103	0.0086	-0.0062	-0.0003	0.0034
50.5	28.1	27.6	28.9	13.8	14.7	24.8	382	15.3	20	7.7	0.9962	-0.0104	0.0051	0.002	0.0021	-0.0041	0.0001	-0.0046	-0.022
69.2	17.8	17.8	62.1	23.1	2.71	13.3	562	4.45	20	105	0.9998	-0.0056	0.0223	-0.0142	0.0087	0.0104	0.0203	-0.003	0.002
62.6	19.3	8.51	20.9	39.2	4.49	24.8	474	23.5	48.7	22.5	0.9826	-0.0059	-0.008	0.0047	-0.0047	-0.0077	0.0068	0.008	0.0086
67.9	43.7	11.4	19.3	15.8	17.8	38.5	1433	31.9	66.7	40	0.9973	-0.0121	0.0024	0.0053	-0.008	-0.0083	0.0035	0.0287	0.0054
75	57.8	4.91	15.4	24.6	21.9	36.2	233	21.3	46.1	17	1.0022	-0.0026	-0.0083	0.0035	0.0139	0.0012	-0.0066	0.0104	-0.0086
50.9	42.2	7.57	122	48.3	6.26	36.2	1027	12.5	32.8	108	1.0031	-0.0132	-0.0045	-0.0148	-0.0099	0.0074	0.0055	-0.0045	0.011
79.9	20.4	24.1	22.5	20	8.82	24.1	466	19.1	34.9	6.15	0.9944	0.0032	-0.0085	0.0055	-0.0024	-0.0016	-0.0118	-0.0084	0.0106
62.6	21.7	21.9	22.1	3.82	39.2	75.7	1310	8.74	22.7	11.7	0.9807	-0.0144	0.0078	0.0009	-0.0023	0.0058	0.0097	-0.0035	-0.0007
50.9	25.3	6.38	76.4	17.2	9.06	15.4	673	4.66	26.9	173	0.9999	0.0176	-0.0112	0.0191	0.0057	0.0118	-0.0097	-0.0019	-0.0002
75	30.5	13.6	51.4	42.2	25.3	35.5	466	20.4	43.7	10.1	1.0066	-0.0067	-0.0108	0.0161	0.0126	0.0011	0.009	0.0174	-0.0079
59.4	25.3	11.7	20.7	27.9	3.62	12.4	29.7	17.2	32.5	10.5	1.0256	0.0039	0.01	0.0009	-0.0061	-0.0034	0.0071	0.0009	-0.0098
181	37.9	1	292	49.6	6.38	13.1	573	20.9	38.2	17.6	0.9901	0.0002	0.0016	0.0153	-0.0063	0.0057	-0.0014	-0.0134	-0.0067
69.8	33.1	12.7	67.3	1.91	4.07	27.1	973	85.8	121	32.5	1.0008	-0.0005	-0.0096	-0.0088	-0.0021	-0.0112	0.0036	-0.0109	-0.0038
57.3	19.1	11.1	42.2	6.61	5.83	13.5	547	44.9	80.6	71.7	1.0137	-0.0065	0.0169	0.0209	0.0046	0.0003	0.0091	-0.0144	0.0167
82.8	30.5	13.9	18.6	6.92	23.5	37.5	418	6.55	16.7	95.6	0.9956	-0.009	-0.0053	-0.0159	-0.0095	0.0156	-0.0054	-0.0166	0.0113
35.5	24.6	15.7	35.5	11.9	21.9	45.7	322	6.79	23.3	11.9	1.0126	0.0024	-0.0153	-0.0058	0.0099	0.0117	-0.0185	-0.0037	-0.0005
80.6	27.9	17.9	42.6	17.3	2.84	20.7	188	20.7	33.1	17.5	1.0078	0.0007	0.0101	-0.0119	-0.0002	0.0024	-0.0119	0.0031	0.0071
113	45.7	10.8	154	58.3	13.1	21.5	337	5.47	20	9.39	0.9929	0.0132	0.0075	-0.0023	0.006	-0.0041	-0.0154	-0.0115	0.0136
8.9	10.1	10.3	89	29.4	181	355	1731	24.1	42.2	20.7	0.9884	0.0048	-0.0041	0.0176	0.0043	0.0151	0.0112	0.0017	0.0055
35.2	14.1	7.1	20.2	32.2	12.9	22.5	583	37.5	47.4	9.47	0.9891	0.0056	0.0104	0.0016	0.0119	0.0116	-0.0106	-0.0122	0.0047
24.1	12.3	12.7	62.6	26.7	9.14	16.5	547	25.7	59.9	80.6	1.0191	0.0159	-0.0126	0.001	-0.0126	-0.0078	-0.0143	0.0004	0.0022
164	33.1	5.78	28.6	13.7	16.3	24.1	319	22.5	35.5	12.4	1.0039	0.0092	0.0071	-0.016	0.0104	-0.0006	-0.0058	0.0099	-0.0012
57.8	27.1	15.5	57.3	19.5	25.9	34.6	382	3.05	27.1	78.4	1.0057	-0.0184	0.0001	0.0013	0.0027	-0.0094	-0.0072	-0.008	0.0021
90.6	27.4	40	97.3	71	10.9	18.9	429	4.45	42.9	80.6	0.9971	0.0108	-0.0189	-0.0237	0.0073	0.0018	-0.0063	-0.0017	-0.0036
38.5	12.7	4.37	22.7	23.7	4.22	10.8	578	1.86	7.37	3.43	0.9935	-0.0028	-0.0038	0.0139	0.001	-0.0011	-0.0195	0.018	-0.0023
51.4	36.8	12.7	40.3	21.7	12.7	25.9	667	2.5	14.9	64.9	0.9985	-0.0195	-0.0036	0.0206	-0.0145	-0.0131	0.0135	0.0006	0.0104
26.9	15.1	18.6	20.5	8.43	20.4	38.5	437	11.7	24.4	15.4	1.0012	-0.0041	-0.0036	-0.0152	-0.0178	0.0117	-0.0003	0.0012	-0.0013
56.2	21.1	12.7	21.1	57.8	14.1	19.8	474	25.9	39.6	75.7	0.9961	0.0026	-0.0088	-0.0067	0.011	0.0132	0.0028	0.0005	-0.0082
70.4	35.5	18.4	45.7	47.8	18.8	31.6	418	10	22.3	6.67	0.9972	0.011	-0.0132	0.0029	-0.0048	0.0041	0.0087	0.0123	0.0026
58.8	35.2	12.2	16.5	24.1	18.4	33.7	362	16.3	19.8	10.4	1.0163	0.0194	0.0008	0.0165	-0.0111	0.0078	0.0091	0.0164	-0.0105
69.2	35.5	17.3	50	19.8	8.51	18.6	151	12	31.1	27.6	1.0033	0.0067	-0.0095	0.002	-0.0248	0.006	0.0024	0.0069	0.0016
69.8	47	25.5	276	77	32.8	51.4	799	19.6	47.8	16.4	1.0024	0.0005	0.0049	0.0028	-0.0046	-0.0087	-0.0017	-0.0107	0.0081
105	59.9	20	19.6	15.1	6.85	23.1	1065	1.67	48.3	4.66	0.9958	-0.0089	-0.0107	-0.0098	-0.0077	0.0299	0.0117	-0.0032	0.0045
62.1	51.9	13.6	30.2	10.6	14.3	37.9	692	6.49	25	91.4	1.0114	-0.0074	0.0045	0.0017	0.0143	-0.0048	-0.0044	-0.0073	0.018
75	33.4	1	31.6	1	19.8	27.6	505	18.6	31.1	7.64	1.0229	0.0066	-0.0009	0.0014	-0.0133	-0.0158	-0.02	0.022	-0.0051
20.4	15.1	7.99	101	35.9	9.14	22.9	400	11.7	22.7	6.85	0.9811	-0.0079	-0.0122	-0.0002	-0.0086	0.0069	0.0011	0.0068	-0.0066
47.8	19.6	17.5	33.1	82	17.9	35.2	956	22.5	43.3	20	1.0153	0.0157	0	0.0213	0.0126	0.0002	0.0106	-0.0037	-0.0064
59.9	53.3	11.8	77.7	12.9	11.1	37.9	1407	18.8	29.4	16.8	1.009	-0.013	-0.0095	0.0075	0.0087	0.0009	-0.0106	0.0007	0.0071
46.6	27.1	12.4	109	21.9	21.5	38.2	207	11	31.3	12	1.005	0.0084	0.0047	0.0073	-0.0104	-0.0062	-0.0101	-0.0166	0.0097
51.9	21.3	49.1	58.8	10.8	58.8	200	3051	15.3	39.2	15.7	0.999	0.023	0.0046	0.0117	0.0144	-0.0009	-0.0078	0	-0.0057
31.9	23.9	15.1	12.7	4.61	6.73	15	562	1	68.5	8.2	0.9977	0.0009	-0.0097	0.008	0.0137	0.0172	-0.0064	0.0025	0.0164
93.9	27.4	67.3	138	30.8	28.1	46.1	906	2.69	6.98	71	0.9835	-0.0029	-0.0186	0.0094	0.0014	0.0052	-0.011	-0.0023	-0.012
64.9	23.3	15.3	12.6	9.06	19.6	35.2	806	2.37	20	7.91	1.0058	-0.0101	-0.0017	-0.0071	-0.0141	-0.001	-0.0029	-0.0019	0.0095
153	123	12	34.6	63.8	8.58	26.2	470	1	12	9.91	0.9972	-0.0119	0.0033	-0.0017	0.006	0.0146	0.0021	-0.0004	-0.0088
16.7	12.4	7.04	235	34.9	44.9	64.9	1843	23.5	36.2	30.5	1.0025	0.0142	-0.013	-0.0071	0.0147	0.0013	0.0092	0.0044	-0.0079
71.7	25.5	13.1	12	43.3	12.2	31.3	655	7.7	16.4	49.1	1.0143	-0.0023	-0.0009	-0.0114	-0.0064	-0.0081	-0.0014	-0.0088	-0.0064
35.5	23.7	2.89	4.26	12.9	13	22.7	470	7.77	33.4	16.3	0.997	-0.0036	0.007	-0.0037	0.0016	-0.0062	0.0038	0.0086	-0.0139
83.5	61.5	13	34.6	12.3	3.46	19.5	239	2.53	2.69	6.1	1.0151	0.0125	0.0014	0.0011	0.0035	0.0041	-0.0116	0.0229	-0.0136
31.9	8.82	12.9	154	56.7	16.8	16	433	9.56	48.7	54.2	0.9793	-0.0019	0.0048	-0.0008	-0.0034	0.0164	-0.0106	-0.0038	0.0049
29.4	20.2	7.7	125	27.4	89	150	799	2.71	15.4	49.1	0.9954	-0.0003	0.009	0.0024	0.0099	0.0176	-0.0067	-0.0002	-0.0043
302	325	17.6	25.7	10.7	29.2	38.2	313	10.8	36.5	17.2	0.9974	0.0163	-0.0058	0.0001	0.0046	0.0003	-0.0004	-0.0014	0.0005
40.3	16.5	11.5	505	67.3	19.3	29.7	483	2.92	15.3	89	0.9984	-0.0007	-0.0003	0.0026	-0.0003	-0.0127	0.0036	0.0009	-0.0063
29.2	15.4	9.73	23.1	71	6.38	47	557	20	24.6	7.7	1.016	0.007	0.0025	0.0074	0.0142	0.0001	0.0036	-0.0012	0.0036
46.1	25.7	12.7	24.4	37.2	16.8	35.9	375	5.47	39.2	95.6	0.9982	0.0116	-0.0184	0.0118	0.0051	-0.012	0.0022	0.0057	0.0092
52.3	21.5	27.1	155	67.9	7.23	23.9	820	3.59	25	93.1	0.9954	-0.002	-0.0083	-0.0015	0.0044	-0.0112	0.0006	0.0034	0.0017
48.7	36.5	18.6	10.6	13.9	6.1	25.9	1009	10.2	22.7	15.3	1.012	-0.0124	0.0197	-0.0162	-0.0009	0.0008	-0.0092	-0.0084	-0.0047
85.8	82	120	325	79.1	6.61	10.9	723	12.1	21.9	5.42	1.0024	-0.0103	-0.0289	-0.0105	-0.0213	0.0164	-0.0002	-0.0141	0.0019
75.7	25.9	21.5	64.4	45.3	8.28	28.4	583	15.7	36.8	13.7	0.9864	0.012	-0.0002	-0.011	0.0065	0.0015	-0.0234	0.0015	0.0003
58.3	21.9	14.9	18.4	30.2	5.47	17.2	982	16.3	21.5	15.5	0.9811	-0.0032	-0.0047	-0.0021	0.0009	0.0006	0.0049	0.0083	-0.0059
58.8	34.9	13.3	82.8	38.2	22.5	27.9	379	6.55	18.4	48.7	0.9896	-0.0017	-0.0097	-0.0034	0.003	-0.0027	-0.0106	-0.0036	-0.0159
112	27.6	28.4	67.9	30.5	10.8	16.7	403	17.8	29.7	7.77	0.9922	-0.0005	0.0093	0.0023	0.0056	0.0087	0.0067	0.0079	-0.0105
66.7	29.2	2.39	10.9	32.2	22.9	32.2	379	14.3	30.8	17.6	0.9832	-0.0004	0.0065	-0.0027	0.0077	-0.0074	0.0146	0.0081	-0.0074
39.6	23.9	6.61	137	20.4	22.7	38.2	313	16.1	20	10.5	0.9867	-0.0067	-0.0185	0.012	-0.0135	-0.0026	0.0084	-0.002	0.009
36.5	15.5	2.55	8.35	40	15.8	34.6	281	21.3	28.6	13.9	1.013	0.0003	-0.0009	-0.0095	0.0018	0.0108	-0.0074	-0.0015	0.0034
38.2	25.7	32.2	59.4	138	24.1	36.5	331	38.5	67.9	16.3	0.9969	0.0069	-0.0043	0.002	-0.0056	0.0046	0.0043	0	0.0037
41.8	21.3	9.39	7.91	32.5	13.3	61	858	2.81	17.3	64.4	0.9896	-0.0171	0.0272	0.0117	-0.0246	0.003	-0.0055	-0.0016	0.0004
62.1	18.1	24.8	113	25.5	17	34.6	604	4.26	13.5	72.3	1.0128	-0.0011	0.0017	-0.0187	0.0075	0.0007	-0.0029	-0.0098	0.0178
167	79.1	9.65	111	20.2	28.4	89	1472	20.4	29.2	12.9	1.0156	-0.0037	-0.002	0.0168	0.0117	-0.0182	0.0108	0.0039	-0.0015
55.7	28.6	25.9	51.9	64.9	7.5	17.6	271	2.21	4.45	9.73	1.0122	-0.0028	0.0063	0.003	-0.0022	-0.0005	0.0173	-0.0045	0.0127
84.3	71.7	12.9	93.1	36.5	8.9	17.8	906	9.06	25	42.2	0.9977	0.011	-0.0154	-0.0196	0.0079	0.0078	0.0074	0.0074	-0.0096
60.4	25.3	19.1	27.4	44.5	44.5	64.9	1197	20.9	49.6	17.5	0.9889	-0.0033	0.0091	-0.0039	-0.0047	0.0123	-0.0187	0.0018	-0.0075
57.3	21.9	38.2	38.5	81.3	5.83	12.9	274	16	21.5	14.9	1.0047	0.0061	-0.0019	0.0076	-0.004	0.0109	-0.0052	-0.0055	0.0039
76.4	32.8	30	60.4	49.6	5.47	14.3	87.4	11.1	27.4	7.43	0.9862	0.0021	0.0021	0.0015	0.0034	0.0087	-0.02	0.0003	-0.0074
96.5	119	15.5	71	13.9	19.5	32.2	500	50.9	75	26.9	0.9898	-0.0207	-0.0051	0.0081	0.0078	-0.0188	-0.0195	-0.0039	-0.0071
38.5	17.8	32.2	115	61	10.6	21.3	965	5	20.4	34.9	0.9934	-0.0006	-0.0008	-0.0245	0.0046	-0.0009	0.003	0.0072	-0.003
66.1	46.6	7.7	19.6	75.7	15.7	17.8	519	12	13.8	14.9	1.0045	-0.0001	0.0108	0.0049	-0.0057	-0.0159	-0.0088	-0.0001	-0.0037
112	79.1	7.37	15	35.9	10.6	32.2	382	14.9	31.1	12	0.9937	-0.001	0.0045	0.0028	-0.003	0.0046	-0.0037	0.0056	0.0037
47	22.3	12.2	73	24.1	3.49	11.4	340	5.62	13.9	93.9	1.0032	-0.0063	-0.0045	-0.0122	-0.013	0.0036	0.0082	-0.02	-0.0145
87.4	54.7	19.6	8.58	24.8	15.8	33.1	757	24.6	40.7	25	0.9997	-0.0069	0.0011	-0.0091	0.0132	-0.0111	-0.0035	0.0037	-0.0082
57.8	19.1	22.9	19.1	11.3	18.8	57.3	743	8.66	8.35	24.4	0.9869	-0.0055	-0.0011	0.003	-0.0133	0.0047	-0.0085	0.0138	0.0099
92.2	31.1	18.9	22.3	34.3	13.6	29.4	385	7.23	17.6	7.99	1.0104	0.0026	-0.008	0.0175	-0.0205	0.0082	-0.0002	0.0158	0.0006
93.1	28.9	9.56	11.4	23.1	20.4	24.8	319	4.14	20.2	122	0.9984	0.0007	0.0056	-0.0041	-0.0051	-0.0008	0.0063	0.0158	0.0003
107	36.8	16	38.9	29.2	18.8	28.1	276	1.83	25.5	97.3	0.9985	-0.0122	-0.0044	0.0051	-0.0094	0.0142	-0.0024	0.0053	0.0142
80.6	56.7	16.1	27.6	4.03	5.28	5.88	491	3.52	5.57	24.4	0.9938	0.0076	-0.0017	0.0096	-0.0045	0.0144	-0.0003	-0.006	-0.0211
44.9	25.3	1	158	12.3	14.2	26.2	514	6.55	16.1	33.7	0.9877	-0.0036	-0.0182	-0.0146	-0.0036	-0.0125	-0.0118	-0.0038	0.0154
27.4	18.8	9.65	13.2	9.73	18.6	54.7	286	1.88	19.8	88.2	1.0016	0.0038	-0.004	0.0065	-0.0035	0.0042	-0.0017	-0.017	-0.0054
31.6	25.7	24.6	35.2	25.7	14.1	25.7	284	20.4	28.4	48.3	1.0114	-0.0048	0.0105	0.0142	-0.0085	0.0034	0.0107	-0.0012	0.0014
52.3	33.4	8.13	25.5	5.73	30.5	42.9	305	34.9	68.5	20.4	0.9853	0.0067	-0.0001	0.017	-0.0074	0.015	0.022	0.0041	-0.0068
71.7	27.4	8.82	18.3	23.1	14.1	27.4	649	3.82	20.2	53.8	1.0061	0.0153	0.0051	-0.0058	0.0001	-0.0111	-0.0057	0.017	-0.0068
44.5	26.9	15.5	87.4	12.5	4.53	16	379	3.68	32.5	77	1.0259	0.0085	-0.001	-0.006	0.0003	0.0051	-0.0005	-0.0149	0.011
