raf	mek	plc	pip2	pip3	erk	akt	pka	pkc	p38	jnk
3.5946	3.1442	2.9349	3.3429	4.2312	2.8100	3.2958	6.0497	3.2958	4.0055	3.9120
3.8265	3.2771	3.1046	3.2884	2.8976	3.3534	3.7495	5.8916	2.5930	3.2771	4.2697
4.2399	3.9908	3.2027	3.0057	3.1355	3.2149	3.7495	6.0234	3.0634	3.7353	3.3844
4.4188	4.5304	3.4995	3.1570	2.4239	2.7619	3.0819	6.2879	3.1655	3.6533	3.4995
3.7773	3.3945	2.7206	2.9821	3.5496	3.4372	4.0271	5.7526	2.6851	3.5752	4.5142
3.3604	2.6210	3.3178	3.4689	3.0397	3.0865	3.5752	6.4297	3.1655	4.0792	4.2166
4.0055	3.8395	3.0155	4.9558	3.2696	2.9264	3.3286	6.7393	3.2189	3.8265	3.3358
4.0500	3.2189	3.2027	3.7013	3.3142	3.4078	4.0128	6.1654	2.7997	3.5381	3.4012
4.7362	4.2697	3.0253	3.4372	3.9474	3.0681	3.5115	6.1203	3.6687	4.2627	3.5639
3.4372	3.4500	2.4749	5.3706	3.9834	3.1442	4.9767	5.4072	3.2027	3.6028	4.7095
3.2734	3.2734	3.1987	3.2958	3.0540	3.4626	3.7977	6.1291	3.4144	4.0055	3.5293
4.4344	3.4935	2.8622	3.2387	3.5891	3.4308	3.8395	5.9890	3.7353	4.3944	3.8177
4.5549	3.9040	2.9392	4.3162	3.0773	2.8136	3.1001	6.2879	3.3286	3.9908	4.8520
3.8459	3.6687	2.7081	2.9476	3.2387	3.3286	3.3286	6.0162	3.2027	3.9396	5.0814
3.6687	3.5293	3.0057	3.2581	4.0360	2.9349	2.8467	6.2344	2.9821	3.3707	2.8854
4.0943	3.1697	3.0865	3.1442	3.0587	3.3358	3.6350	5.9965	4.1927	4.4659	2.3979
3.5891	3.6028	3.4436	3.0397	3.2068	2.9476	3.8691	4.5951	3.9120	4.3241	2.4354
3.9040	3.8754	3.0204	4.6269	3.4874	3.6270	3.7209	5.4510	3.2771	3.7087	2.8702
3.7013	3.3945	2.8622	4.9628	3.2465	3.3707	3.8330	5.7961	3.5293	3.8544	3.3032
4.0792	3.2771	3.1485	5.0173	3.5752	3.7160	4.2781	6.5793	3.1864	3.6217	3.4689
3.8816	2.9392	3.0587	4.5623	3.3286	3.0956	3.8265	6.7488	3.0910	3.6481	3.4308
3.7281	3.3250	3.1987	3.0253	2.7020	3.0057	3.5234	5.6560	3.1697	3.6481	3.1224
3.9318	3.6350	2.3979	4.9904	3.5234	3.6939	4.0943	6.8824	2.3979	4.5465	2.6817
4.3870	4.1620	3.2347	3.5381	3.1311	2.9912	3.6350	6.1291	3.8265	4.6434	4.0656
4.3870	3.9551	3.3178	3.4308	3.0204	4.2399	4.6840	7.5964	3.8265	4.0271	3.3250
3.4500	2.3979	2.9058	5.2523	3.9834	3.3604	3.8816	6.4831	3.1612	3.6687	2.8356
3.8959	3.4995	3.3534	3.4689	3.0253	3.3250	3.7424	6.1654	3.0204	3.5056	2.8320
4.3795	3.4144	3.3945	3.3464	2.7887	3.0155	3.5553	6.2344	3.4874	4.0656	4.2399
3.8044	3.4751	3.3032	4.0943	3.4995	3.7910	4.1174	5.7621	3.1442	3.8898	5.3279
3.9259	3.5496	3.1355	4.2850	3.8754	2.7173	3.2068	6.5265	3.6402	3.9474	3.4995
4.0200	3.2465	3.1442	3.4436	2.8622	3.5234	4.0792	7.2385	3.3844	3.8816	3.4308
3.9834	3.6687	3.1987	3.3178	3.1398	2.9221	3.1135	6.4473	3.7842	4.3554	3.6402
4.4987	4.5065	2.6679	5.3891	3.3844	3.0204	3.8177	6.0684	3.6082	3.9180	3.2308
4.2002	3.3069	3.4563	3.3358	3.1224	2.9560	3.4935	6.3315	3.8816	4.2471	3.3286
4.2312	3.3844	2.5313	3.9396	2.5023	3.3707	3.7773	5.8141	3.4935	3.7353	3.4243
4.1558	3.1224	3.0397	3.1091	3.7087	3.4078	3.8691	6.0234	3.4812	3.8816	3.4308
4.2239	3.4995	3.3638	4.4898	3.5381	3.8330	4.0724	6.0845	3.2068	3.6610	3.1179
5.1358	3.6402	2.8391	4.8283	3.2619	2.7054	3.1091	7.1317	2.5225	3.7209	4.5380
4.0128	2.9648	3.1001	4.1558	3.6270	2.6596	3.6270	6.4118	3.8754	4.5065	5.0039
4.1698	3.6481	2.9096	2.9648	3.4243	3.8816	4.2471	6.8112	3.1224	3.5175	3.1570
4.5549	3.6082	3.5639	4.0570	3.4935	3.1612	3.1864	6.0064	2.6906	2.9434	3.9759
4.7791	3.9834	2.9689	5.8665	4.2542	3.6136	3.9627	5.7961	3.2149	3.8691	3.3250
3.5752	3.2308	2.3979	4.8675	3.5175	2.5408	3.3638	3.0057	2.7054	3.9180	5.4424
4.1026	3.6402	3.6270	3.6610	3.1697	3.2068	3.5496	5.9713	3.2308	3.4012	2.8736
4.3720	3.3250	3.3250	4.2781	3.4995	2.5424	3.1485	6.3491	2.6707	3.4012	4.7449
4.2850	3.3776	2.9183	3.4308	3.8959	2.6735	3.5496	6.1821	3.5115	4.0724	3.4812
4.3554	3.9834	3.0634	3.3776	3.2504	3.3250	3.8816	7.2745	3.7353	4.3399	3.9120
4.4427	4.2166	2.7020	3.2347	3.5439	3.4626	3.8330	5.4931	3.4436	4.0271	3.2958
4.1092	3.9551	2.8662	4.8828	4.0656	2.7887	3.8330	6.9441	3.1135	3.7565	4.7707
