X1	X2	X3	X4	X5
-2.056101	-0.210226	-3.302990	-2.414993	-2.519705
-1.624724	-2.751368	-1.753269	-3.118489	-3.489318
-1.788507	-2.059052	-2.115085	-2.513144	-2.675246
-0.094349	-1.545679	-4.888837	-2.011559	-3.240591
-0.591351	-1.493950	-1.803027	-3.393234	-2.673255
-2.633313	-1.575367	-1.065552	-3.452669	-3.300238
-0.969234	0.054769	-1.658411	-1.072466	-2.210742
0.453686	-2.377242	0.201295	-0.818623	0.634531
-0.902154	-1.835602	2.121168	1.063158	1.918380
-1.103754	-2.458412	4.587809	2.656377	1.606503
-0.895413	-1.313272	4.524518	1.425134	1.489599
-0.102732	-0.137284	4.598796	1.968029	1.856366
0.112990	1.917650	4.606744	3.637962	1.943304
-1.840848	2.415732	5.159164	3.601732	0.233711
0.409555	3.623958	2.289655	3.450139	-0.261614
-1.216902	4.374229	-0.167581	0.443483	0.300627
-1.321118	3.952143	-1.275543	0.137365	1.389234
-0.490694	3.640000	-0.291431	1.029083	2.273706
0.385671	-0.321201	2.335257	1.318738	3.442741
0.705777	0.413138	5.764422	3.162529	-0.162562
0.296324	0.044518	4.223365	3.179058	2.308196
1.014211	-0.323063	2.999186	1.904822	0.074714
1.446439	2.693894	-0.335013	1.801924	4.278692
-2.166092	2.610789	0.967569	2.369262	4.181229
1.717218	1.593222	0.107433	1.756837	3.224522
-0.171732	1.733890	-0.635520	1.188848	2.511673
3.086060	0.138294	1.201110	-0.986804	2.824279
4.070592	0.608933	0.127526	-1.432119	3.334441
4.602265	0.192506	0.298128	0.056503	6.721657
5.833779	0.404413	1.556518	-1.390338	3.416827
2.925234	2.192052	1.685896	2.296858	4.208350
3.047830	1.971124	0.379664	0.923191	3.052526
3.978266	1.583728	1.304622	1.519962	0.354553
1.268844	2.141063	1.602973	-1.284730	-0.519968
0.955362	0.042929	-1.440584	0.462316	-0.002639
0.528522	0.645225	-0.947846	-1.539600	-2.849159
0.438822	0.020451	-1.630213	-1.071777	-1.406529
1.962563	0.377406	-1.631382	-3.137117	1.799450
0.808444	-0.915610	-2.532854	-1.753817	0.472779
1.535766	-1.989597	0.459873	3.313121	0.976956
-0.291271	-0.845957	0.285600	4.020998	1.197882
-1.170467	-2.162290	1.750129	4.155415	0.245156
-1.881123	-1.105595	-0.315539	3.821572	0.430978
-1.757639	1.662927	-0.165204	2.222369	-1.430352
0.041185	-0.517425	0.224937	-0.987094	-2.415034
0.532950	0.776550	-3.566916	-3.949516	-3.023269
-0.339445	1.005950	-0.220561	-3.036997	-2.275557
-1.698301	-1.240824	0.083303	0.344763	3.612403
-1.590616	-0.928873	0.014277	0.134065	3.673410
-1.346092	-1.133497	-2.522538	-0.586591	3.870565
-1.685429	0.150304	-0.849140	-2.163604	-0.050933
-1.362126	-3.642570	0.332971	-1.612775	-1.684484
-1.634484	-0.211420	-3.325302	-0.738002	-2.660387
0.138197	-0.914146	-2.349859	-2.140086	-3.962242
-2.821084	-0.539848	-2.226599	-0.967526	-3.459549
-0.494226	-1.565025	-1.321720	3.347479	1.047591
-1.790329	0.083421	1.949479	2.015529	0.199280
-0.504395	-0.530709	2.777700	3.534923	-0.805982
-1.211123	-0.009315	-0.526358	4.042564	1.074404
-0.863913	4.189902	1.852909	2.843251	0.023340
-1.578666	3.888043	0.579800	4.305585	-0.959174
-2.110682	2.754207	-1.451183	0.008365	-2.002439
0.077739	2.351895	-3.413439	-1.424406	-2.748953
-0.404405	-0.060494	-3.203666	-4.964430	-1.540916
-1.358212	1.269541	-3.731063	-4.292105	-1.049728
0.842617	0.948199	-2.722929	-3.729032	-1.368588
-1.764320	-1.344119	-3.769764	-3.706208	-2.425395
-0.802921	-2.010313	-1.859265	-3.806435	-2.649849
-0.000788	-1.613484	-0.869432	-1.253712	-2.486150
-1.433921	-2.245332	-1.887263	0.316163	-0.942496
0.817880	-2.991255	-1.727958	-2.032411	-2.163887
0.431014	-0.297655	-3.315314	-2.572034	-1.635822
-1.210219	-1.203830	-1.992732	-1.770603	-4.730101
-0.163220	-1.064681	-0.618010	-1.088720	-0.267623
-1.277789	-2.394708	-1.709246	-2.881384	-0.119686
-2.806326	-0.430610	-4.146740	-3.644093	2.551909
-2.161933	-0.955888	-2.875790	-0.887049	1.297564
0.330891	0.286459	-4.263996	-2.393749	0.113479
-2.305355	-1.072269	-2.463756	-3.037294	-2.706644
0.622428	0.466829	-0.679669	-4.856282	-3.826804
-0.711061	-0.127348	-1.848734	-4.565315	-4.209001
-1.586621	-2.047600	-1.240251	-2.113790	-2.336534
-0.971553	0.978175	2.481783	0.032092	-1.931202
-0.214959	2.416076	4.434168	3.398632	-0.675103
-1.192938	2.121103	2.217304	3.808431	0.010464
-2.282691	3.703657	0.970994	0.546389	-2.196801
-1.854219	0.653738	-2.125962	0.282606	-2.363896
-1.254223	-0.046654	-3.334863	-2.601417	-2.116521
-1.037103	0.702282	-2.576209	-3.103379	-2.151173
-0.300060	0.787146	-2.592497	-2.370380	-2.299352
-1.343494	-1.955962	-2.316827	-2.070919	-1.491757
-1.429106	-0.967742	-1.954798	-2.208597	-3.404686
-1.289897	-2.618193	-0.853509	-0.693212	0.271361
-0.293368	-2.762314	3.879441	-0.572863	1.517287
-3.590820	-1.264906	2.721152	0.924849	0.574593
-3.108352	-1.550769	3.909026	0.201125	0.159779
0.109134	-1.370801	-1.745336	0.732665	4.244348
-0.509063	-2.292402	-2.555134	0.977171	1.493900
3.978357	-1.351273	-1.413066	-1.301558	2.751137
6.375193	-2.612212	-1.522533	-0.462721	1.708360
4.931643	-2.077419	3.714168	-0.268817	0.027371
5.206909	-2.246595	0.065736	1.680654	-0.305429
3.700587	-0.813238	0.827574	-0.029908	-2.169038
3.031978	-0.262648	1.656080	1.380398	-4.007654
1.046881	-1.373026	0.609157	3.178873	-0.923977
-0.506705	-0.341869	-0.016495	2.477417	-0.324905
-1.615381	-0.266579	0.425625	-0.078470	-3.212436
-0.239447	-0.084154	-0.722182	-0.531687	-2.502269
1.924995	-1.550294	-1.869216	-0.133334	-0.294801
1.650944	0.111101	1.259124	0.490790	4.531667
7.326900	1.479531	5.321939	4.124685	5.336439
6.228463	2.279198	5.522129	6.042252	4.897016
5.677730	1.613000	5.344696	5.155491	5.096400
5.374801	0.330440	3.868140	3.946302	0.808691
4.377275	-0.133383	2.497762	0.683587	0.398892
3.976152	1.008032	1.003561	-0.200455	-0.366195
2.337731	2.394184	3.513440	3.801176	0.848031
-0.327490	2.960175	4.910698	6.779982	0.933672
-1.562812	3.503805	6.161537	5.006463	3.457529
-3.227734	0.642974	3.170357	1.857718	2.015205
-0.553159	-0.197317	0.289758	-0.014250	-1.135299
-1.825387	-1.031668	-2.451359	-2.921743	-2.511081
-2.592318	-1.145678	-4.040793	-6.414960	-1.464840
-1.773655	0.066552	-4.356043	-6.844100	-4.898573
-0.177497	-0.362276	-4.960410	-6.359563	-4.289078
1.047854	-0.091563	-2.449192	-2.366048	-2.150655
1.670898	-0.209407	-2.575990	-0.724456	-0.387300
1.227333	-0.445409	1.192299	1.571215	-1.672913
0.452660	-1.350168	0.827273	3.017964	-1.625891
0.441575	-3.571184	-0.026266	2.663892	-1.566133
1.114380	-3.531756	0.100782	1.306600	-0.623737
0.254273	-2.263184	-0.552882	1.265687	-3.083400
0.761253	-2.384067	-1.063558	-1.387746	-2.260121
-0.621180	0.125194	-1.741045	-2.503098	-1.995698
-2.227228	-1.731199	-2.443543	-3.541270	-0.852430
-0.551792	0.497253	1.679849	-2.420960	-1.014914
-1.290672	-1.136749	3.858931	0.340931	0.174652
1.028231	-2.758804	4.344103	3.700704	1.192870
-0.373284	-1.853613	4.507667	4.938159	2.495140
0.651782	-0.631475	2.779422	4.053696	2.480566
1.509429	-0.820189	1.658468	2.313016	-1.331050
0.499655	-0.529956	1.060508	0.251820	-2.045308
1.957860	-1.272774	-0.495160	0.134606	1.137695
1.995142	-3.401445	2.098565	-0.565923	0.022262
4.222602	1.489534	3.034284	1.854131	-1.095407
2.741638	2.487062	3.881597	2.058370	-0.026909
1.817650	1.643439	-0.632395	1.180593	-0.550742
1.691236	1.522466	0.328507	-1.818898	-2.836704
0.034197	2.019843	-2.206395	-1.078005	-4.899294
-0.582169	-0.529530	-4.714602	-3.382925	-3.544909
-2.807163	-1.119852	-3.961512	-1.993960	-3.545648
-3.110585	-1.701624	-1.200626	-2.676309	-3.027209
-1.954635	-1.415843	-2.737543	-2.936472	-2.677589
-0.207715	-1.064412	-2.696663	-4.648648	-2.612488
-1.132126	-1.594429	-2.551485	-4.705137	1.093198
-0.957967	-0.511193	-2.069610	-1.967338	-0.072630
-3.091939	-2.538705	-3.154136	-0.720653	-0.389370
-1.789544	-1.677065	-1.439363	0.282121	1.574079
0.124918	-0.701872	0.831109	1.489383	-1.738379
0.661448	0.044174	1.415180	3.145232	0.009956
-1.359657	-2.157326	1.854851	3.659571	-0.636614
-1.135296	-0.932973	-0.147777	0.869498	-0.553387
-1.794871	0.762734	-1.944406	-3.738186	-2.507560
-1.523480	0.366895	-3.292933	-3.958880	-2.757032
-2.191826	-0.799289	-1.897859	-5.470785	1.663199
-1.146909	-1.357619	-2.662484	-4.383300	3.378134
-0.511028	1.300505	-1.151206	0.394375	5.471676
-2.222585	2.715885	4.592973	1.184841	4.447027
-1.423680	4.209820	3.430156	1.651997	2.650287
0.276886	2.608410	2.871641	1.890043	3.516960
-1.740386	3.705955	-0.042170	1.283081	-0.501753
0.250303	3.691057	-0.839278	0.005910	-3.289951
-1.132948	-0.858486	-1.928881	-2.819169	-4.980332
-0.683939	0.003427	-3.487081	-2.465457	-0.511193
0.277930	0.431596	1.191925	1.970148	1.025567
1.804159	1.464722	2.451436	2.287344	1.553449
0.360047	2.767305	0.986252	4.215933	-0.269444
-1.490707	2.722844	1.471774	1.914515	-0.805811
-2.165201	4.346740	0.997202	4.595189	-1.332950
-2.085337	2.555993	1.628437	4.532157	-0.232560
-1.007915	0.797803	3.566779	3.064118	-1.246039
-2.144034	-2.375629	0.604827	1.965973	-1.794584
0.828404	1.297996	-1.091216	-0.004579	0.512804
0.268900	1.488279	-2.790651	-1.766236	4.016729
-1.536946	-0.959081	-1.900378	-2.631200	0.508791
-2.300934	-0.122282	-2.137297	-2.543568	3.186893
0.034035	0.595174	0.113694	1.904157	4.034536
1.854161	2.915789	-0.196005	1.386578	1.959621
3.103546	5.509061	1.562505	2.586094	1.057450
1.577287	3.984492	1.346226	1.495106	2.460224
0.425786	3.199682	1.364857	2.917013	0.205845
-1.303957	0.560830	3.531899	2.066115	1.580815
-1.191043	1.898637	3.039153	2.805214	3.444635
-0.602371	1.543003	2.713319	4.171609	4.593706
2.000859	-0.452772	2.040096	3.126801	3.077330
3.016747	-1.443789	0.967687	2.090189	1.047208
1.913492	-1.801646	0.180591	-0.427926	-0.250558
3.260297	-1.532544	-3.298492	-1.250644	0.343433
-1.153241	-2.061582	-2.326361	-4.135764	3.483582
-0.964820	0.748239	-4.104116	-4.352887	1.136290
-1.408240	-1.868280	-0.973556	-5.669613	0.518260
-2.472600	-2.089140	-2.643581	-3.200240	-1.722008
-1.704601	-0.975340	-0.781690	-0.237569	-0.577413
-2.863443	-0.983180	-0.539984	-1.582399	-3.221754
-2.054524	-0.857260	0.110339	0.015469	0.668172
-3.162045	-2.772280	-1.042121	-2.489464	0.099865
-1.180305	-0.594740	-2.119464	-1.079198	-0.675674
