X1	X2	X3	X4	X5
-0.939877	-1.600193	0.795765	-3.369467	-1.540853
0.100763	-3.532843	1.804005	-1.957338	0.107472
0.149038	-0.684155	3.804247	-1.660462	-1.083130
-0.589452	-2.243928	3.876995	-0.387641	0.528541
0.569594	0.868637	3.749353	-0.778479	-1.231917
-0.365525	0.502841	1.142825	-1.872975	-1.093204
0.978692	0.097083	0.138313	-0.295532	-1.843021
-2.104054	1.100564	0.419622	-2.906952	-0.971769
-1.203665	0.509882	0.977154	-1.500436	-1.014348
-1.230940	-1.091061	3.433114	-3.675086	0.217141
0.841122	-4.492866	3.851805	0.041596	0.535897
-1.702880	-1.687433	6.937230	-0.224491	2.886619
-0.165845	-1.721162	6.166894	1.422951	0.858408
0.534227	1.696646	6.728898	-0.283280	0.732461
-0.424366	1.847091	2.547648	0.125315	0.458880
-0.551921	3.192874	1.666047	-0.774667	-3.317737
0.598860	2.393294	1.072797	-0.704026	-3.358791
-0.102122	1.458251	-2.879797	-2.057565	0.551018
-0.580467	0.084545	-0.278332	-2.282185	-0.205510
0.631024	-0.904625	-0.446904	-2.894187	-0.710476
2.406452	-2.928359	1.433890	0.785526	2.402520
1.890416	-3.897758	1.172453	1.334452	3.575276
2.688017	-0.978120	-0.049911	2.375691	4.903593
3.865255	-2.528448	1.747602	2.766741	6.247671
3.307328	0.737759	2.829995	2.109899	2.344709
1.257538	-1.685899	1.955072	-0.099335	0.913105
-0.377915	-2.266123	2.154735	-2.938963	-0.599738
-0.291833	-2.705313	0.942089	-3.177288	0.800377
0.153385	-0.392671	1.237837	-3.282110	1.423350
0.308339	1.039105	0.485883	-2.986531	3.172882
-1.821372	-0.280587	1.040529	-2.708053	2.042071
0.683253	-0.459447	0.940679	0.330023	1.262319
0.520213	-0.829276	-0.385363	1.047595	-0.214576
0.269309	0.665526	-1.734494	2.564161	-4.669714
-1.551361	-1.824341	-4.406911	2.593920	-2.773795
-1.949096	0.998921	-2.749109	1.723371	-1.100918
0.100203	3.325913	-6.161886	5.033311	-4.663385
-2.047764	2.470833	-8.784939	2.445440	-5.072895
-1.678397	1.172781	-9.947364	4.300255	-2.725248
-1.017896	1.137457	-8.607957	2.382756	-3.956045
-0.847161	1.982059	-9.969216	2.910440	-2.816385
-0.798094	3.873487	-12.894237	2.374306	-0.930569
0.114207	2.315840	-10.693916	4.505053	2.265404
-1.569260	3.369119	-12.019651	3.125779	4.741533
-0.237295	3.358821	-11.686838	4.346183	3.660819
-1.473498	3.683646	-11.662774	3.649163	-0.000438
-0.466069	3.883393	-7.899655	1.106118	0.163762
-1.962009	3.981462	-1.317579	3.587646	-1.095082
-3.238818	1.542651	5.096958	-0.121855	-1.863969
-1.519897	1.690961	7.421159	-0.312184	0.702002
0.119655	0.622589	6.130228	0.032455	0.191930
-0.672163	-1.949765	3.843466	-2.692838	0.021915
-1.358752	-2.886601	3.407179	-2.342666	-0.168642
-0.985711	-3.408622	1.816568	-2.767028	0.453060
-1.482742	-1.699627	1.350237	-1.800527	-2.515081
-1.987744	-0.270517	0.482189	-2.262664	0.112837
1.179282	-1.764495	0.829527	-2.316440	0.559714
-1.524065	-3.093060	2.271254	0.985343	-0.577450
-1.559285	-1.858214	4.711873	0.100584	0.795946
0.090323	-0.523357	6.201287	-0.351318	0.726702
-0.632144	-1.769492	6.812400	-0.068965	2.977217
-1.832384	1.060082	7.300313	1.458043	4.343794
1.082301	1.603462	4.827331	-1.420597	3.342632
-0.023388	-0.725252	2.759955	0.651714	1.756731
-0.730853	-0.997961	-2.025010	0.842676	2.327893
-1.354794	-2.447566	-4.621763	0.229087	3.934217
-0.104211	-2.803569	-7.321600	1.739046	1.970904
0.051696	-5.575372	-5.703318	-0.168249	0.549354
-0.638474	-1.838574	-3.773715	0.646602	-2.166431
-0.684022	-1.894778	-2.323688	0.073797	-2.644752
-1.189748	-3.071584	-0.954534	-2.337165	-2.845007
1.707148	-2.855994	0.236350	-3.905386	-2.282496
1.591266	-0.228210	2.673466	-2.457365	1.234081
3.276304	-1.785432	3.765417	-2.263405	-0.890175
3.439162	0.131538	4.130306	0.492794	0.685737
4.522240	3.702699	3.963135	0.856330	-0.097983
4.327338	1.084750	1.798008	-0.290798	-1.427433
2.431355	-1.298112	0.660826	-0.467790	0.275986
0.180191	-2.101787	0.250592	-2.613849	2.120976
0.003245	-1.290577	1.557509	0.531126	5.136237
-1.306584	-2.347182	3.451779	1.044433	5.181170
-2.470295	0.493294	2.314304	2.604771	3.002075
-1.477790	1.118951	1.763288	0.724339	0.112155
-3.448167	4.519088	-1.824567	0.681436	-1.311192
-1.453929	5.497103	-2.859060	0.904961	-5.101163
-1.272375	4.248594	-2.415187	1.191614	-3.422459
-2.775106	5.543961	-4.168747	-1.908207	-2.025977
-0.253823	3.342200	-1.252137	-1.296703	-0.614818
0.921776	0.373512	1.201446	-1.671275	-1.458081
2.435188	-1.457406	1.591803	-1.340023	1.045235
2.888114	-1.474255	3.052936	0.841852	3.893332
5.390252	-2.504537	3.862549	3.134748	2.308510
4.633404	-0.808853	2.487142	5.607566	0.632869
4.855868	2.063594	0.191819	3.845404	-0.331088
6.603044	5.124405	-3.466219	3.465061	-2.321462
2.725032	4.026076	-5.253770	3.648836	-5.390451
0.850931	4.289006	-9.159632	2.504130	-6.477855
-0.546059	2.510495	-10.777503	2.850741	-6.918072
-1.857138	5.098839	-12.268580	3.903867	-3.926002
-0.981207	3.494437	-12.374762	3.008210	-3.118744
1.784633	3.461389	-7.922147	3.023067	-3.179496
3.226983	2.095091	-1.718033	1.848039	-2.149158
4.924643	0.100043	1.703181	1.507724	0.044171
3.453311	-0.091057	1.584798	-3.012778	-0.139607
-0.425512	-0.489511	2.915619	-5.494968	0.648207
-1.581727	-3.306120	1.590446	-3.457046	-1.154084
-0.640234	-3.500387	2.343880	-5.451513	-0.589780
0.011066	-2.192313	1.299124	-4.429469	1.767120
-1.446526	-2.616899	0.734579	-3.430716	-2.165883
0.171589	0.050053	-0.203154	-1.514253	-0.998488
1.328011	2.866941	2.313628	0.959018	-2.319594
1.149740	3.827063	1.437324	0.590698	-2.126200
3.551474	4.222318	4.800738	2.788385	-1.532905
1.374615	3.371704	3.567570	3.389180	-0.910008
0.605262	2.977020	2.090122	-0.085818	-1.167308
0.564714	2.606963	-1.298605	0.509090	-2.098404
-1.082029	4.150832	-0.511309	-1.270596	-1.108895
-0.849366	2.704526	-1.451889	0.494223	0.299219
-2.778199	-0.628857	-1.227845	-1.717652	0.367741
-0.137526	-1.025820	-0.345273	-2.440922	2.617770
-0.741850	-2.417263	-0.498575	-1.986289	3.749709
-2.358268	-2.019988	2.052552	-4.072651	2.323957
-2.040783	-1.805397	1.370509	-3.360709	0.991516
-0.263794	-1.517292	1.894197	-2.604364	0.452886
1.461600	-1.254174	1.127817	-1.494016	-2.446730
0.157996	-0.437644	1.725570	-3.672465	-1.816333
-0.480803	-1.516806	2.078057	-3.733011	3.379578
0.636101	-2.076959	1.346778	-2.691855	4.406805
-2.079192	-2.515005	0.573336	-2.407997	2.469448
-0.557781	-0.250548	-0.104770	-3.133937	-0.116191
-0.772968	1.998313	0.358861	0.707524	-2.763712
-2.280551	3.108376	0.933831	1.430087	-0.589814
-1.303632	1.136039	1.930840	1.907951	-2.463296
-0.925010	2.009800	3.559889	1.861117	-2.011857
-0.790085	1.529158	-0.753221	0.101383	-3.358697
0.441043	3.006411	0.624209	2.589351	-0.806613
2.110373	2.780358	-2.422418	0.817119	-1.645906
-1.656194	5.409797	-2.696603	0.393687	-1.662275
-0.824258	3.304627	-3.928346	-2.030143	0.006281
-1.799020	2.813847	2.246056	0.238827	-0.596037
-1.152980	-1.063346	4.576701	-1.302203	0.233772
0.822863	-0.509753	6.941391	0.974768	1.660309
-0.035592	-0.481774	5.403926	0.653839	2.346374
0.105655	-2.395612	6.485106	0.891311	0.929668
-1.811895	0.828232	8.557832	-0.006817	0.287191
-1.282743	-1.753044	2.634404	-0.432145	1.171946
-1.524688	-0.988840	-0.300477	-0.393372	2.721332
-1.877231	-3.726058	-1.488513	1.210202	3.683649
0.869828	1.294600	-5.557301	-0.257524	1.946400
-0.617210	1.264634	-2.195242	1.017051	2.161383
-0.897746	2.803442	1.139864	0.765926	1.588701
0.382121	-0.398178	4.167018	1.451702	1.101854
0.311990	-0.613627	4.180619	2.269479	1.336942
-1.649138	-0.145406	5.138167	-0.536542	0.803065
-0.044863	-3.056115	1.544164	1.394837	-2.144574
-2.439386	-1.385557	-2.433792	1.234317	-2.075777
-2.239006	-3.062633	-6.482701	2.747700	-3.349642
1.339376	-0.875044	-6.127961	1.942483	-5.401869
-1.466738	-2.141790	-7.147074	2.647969	-4.777457
-0.243050	-2.301474	-6.539040	1.213456	-0.650906
-1.157459	-1.052896	-5.459658	3.540546	-1.630115
-2.257664	0.073843	-5.500729	2.440338	1.098516
-1.898767	2.581941	-4.761053	0.244732	1.786388
-2.071166	3.093298	-5.663329	0.627629	1.313901
-3.253262	2.574413	-3.374260	0.137130	-0.543045
-1.119454	4.352783	-0.604443	2.290633	3.266851
-1.055943	0.450810	3.847020	0.981240	2.899189
-0.900129	1.033091	5.440928	0.772451	3.552870
-1.393111	-0.087675	6.109182	-0.157334	3.891594
-0.328989	-1.211388	6.842082	2.123085	0.122561
-0.828664	-1.163449	6.792826	1.080509	0.009472
-0.955634	-1.952560	3.406015	1.864237	1.476626
-0.830501	-3.243520	3.285248	0.341071	-2.148275
0.177837	-0.787332	-0.027375	-0.038791	-0.677532
-1.172222	-0.593995	-1.056155	-3.337746	-1.983244
0.123024	-1.518210	-1.388593	-3.351295	-3.143912
-1.313726	-0.645679	0.233912	-3.137838	-2.843035
-1.483571	-2.615701	2.826359	-3.620375	-1.713013
-1.349112	-1.079179	0.033448	-4.031104	0.767555
-1.234748	-1.988111	-0.928323	0.331373	-1.606232
-2.008479	-0.989100	-1.828754	1.346359	0.399926
1.101794	-0.693146	-3.521045	1.854852	1.240830
-1.304428	-2.425048	-2.218398	-0.512747	6.100679
1.671955	-0.439209	0.466989	0.699863	6.298574
1.795844	-2.183328	2.700313	-1.973018	5.717414
2.879037	-1.587007	5.029474	-1.434090	4.176101
2.634235	0.380055	0.250072	-3.725852	3.849332
0.895539	-0.612843	2.488206	-3.746905	4.398610
0.719148	-0.773501	-0.029325	-4.943747	3.841832
-0.052537	-2.784221	-0.352822	-2.819279	0.970601
-1.780317	-0.506502	-0.289584	-1.339100	-0.855086
-1.674092	-2.031345	0.750986	-3.497609	-2.236327
-0.174060	-1.706351	0.321289	-3.008407	-3.020824
-1.534323	-1.145119	-1.452577	0.049007	-3.818675
-1.081081	0.520050	-0.687611	1.127033	-1.895682
1.296867	0.031056	2.204184	-0.427328	0.616256
1.695022	-0.513202	4.314509	2.666224	-0.061561
1.718682	1.045676	4.985663	0.573589	1.349565
2.783047	-0.744010	5.557245	0.007967	0.705635
