X1	X2	X3	X4	X5
-0.626041	-4.285199	-1.923078	-1.114455	-1.615013
-0.729842	-1.245202	-0.159405	-2.236537	-2.535463
0.321044	-2.123003	-1.989620	-1.773511	-0.544677
-2.144883	1.076596	-2.770023	-0.017078	-1.117657
-1.292323	0.098892	-1.855315	-0.819738	-1.015004
-4.159075	1.621884	-1.081795	-0.882492	-0.545118
0.545062	-1.872030	-1.304463	-3.344541	-1.214702
-0.028513	-0.192052	-0.005019	-2.145185	-1.308455
-1.077197	-0.245484	1.797938	-0.496725	1.140221
-0.968492	-1.415929	3.163006	-1.794062	0.511224
0.224703	-4.709887	4.731187	0.689405	1.682055
0.441189	-2.729862	3.219281	1.287773	1.725711
0.258566	-2.593355	2.774787	3.123142	1.638292
-2.049565	-2.082068	3.956305	2.025312	1.695497
-1.434904	-0.888702	4.927935	1.095882	-0.167275
-1.438751	-0.781961	3.493878	-1.197348	-0.813226
-1.933306	-1.583245	0.476934	-1.013180	-1.530856
-0.590167	-3.560256	-3.436598	-2.438515	-2.175066
0.878965	-0.797697	-5.010118	-0.134752	-3.998558
-0.818010	-1.133469	-3.405125	2.672407	-3.743731
2.711009	1.578625	-1.970820	0.251361	-2.025289
5.197623	2.529185	0.826397	3.442110	-1.448530
3.826431	3.361508	-1.349674	1.522653	-1.496856
3.674133	4.266593	-1.534932	2.516989	3.089931
3.724330	4.061538	-0.783979	1.446218	2.567431
3.870823	2.400040	3.662786	0.259638	3.935743
5.172510	0.958399	-0.147937	-2.146651	4.852266
0.755893	1.617713	-0.823449	-2.621650	3.732200
0.107472	0.694779	1.021851	-0.974960	4.001542
1.487146	-2.011203	1.424161	-3.211782	1.089993
0.662616	-2.963836	1.560183	-1.577616	0.124151
-0.903118	-2.009321	0.475116	-1.543363	-1.815685
-1.839357	-1.068160	-1.105841	-1.421524	-2.638315
0.162401	-0.093154	-1.423688	-2.828801	-2.255040
-1.221245	1.288695	-1.748124	-0.270894	-1.207961
-2.929395	4.990386	-2.381450	0.869997	1.038721
-1.898448	4.981516	-1.030567	1.111570	4.308305
-2.231006	3.233685	3.461525	3.057725	5.652190
-0.577868	1.591490	3.311127	1.593560	6.870476
-1.622133	0.958531	2.340337	1.692775	4.250061
-1.425903	-1.543694	2.149156	-1.460531	1.476346
-1.143876	-0.764787	-0.775718	-1.020460	-1.475772
-2.704554	-2.444849	-2.019683	-1.778311	-3.199592
-0.612636	-2.965482	-0.060241	-3.381586	-4.072115
-2.269823	-0.072986	-0.049992	2.006914	2.342157
-3.671714	0.204436	1.380364	2.140288	2.919424
-0.656310	3.849283	3.661026	3.209835	3.258485
-0.248710	2.588855	2.630494	1.610155	1.199040
-1.342416	0.688049	2.514268	0.934247	1.196188
-1.608827	0.144664	0.674446	-0.795991	-1.539772
-1.554943	1.122399	-4.142670	-2.118560	-1.104640
-1.608865	0.290252	-3.313183	-1.083760	-3.729018
-2.410194	2.280123	-4.391691	-0.091792	-2.193706
-2.643028	1.222211	-2.540897	0.947843	-4.507705
-0.557270	4.491413	-3.604999	-0.193257	-2.584915
-1.570618	1.359728	-3.155199	2.730408	-3.839837
-1.701673	3.085257	-1.204497	1.351838	-1.449371
-2.270236	-0.637004	-1.661094	0.984129	-3.441019
-2.140807	1.089946	-2.940690	-0.485817	-1.891781
-1.855186	1.468704	-1.060185	-0.009102	0.017743
-2.316173	0.464771	-1.687381	1.276573	0.753252
-2.039070	-1.325056	-1.350577	-2.853893	4.352945
-2.030077	-0.241077	-1.863374	-1.671401	3.807322
-1.175693	-0.839994	-2.729574	0.038648	4.977882
0.452480	-0.240807	0.247425	0.969453	4.885825
0.431843	0.097882	0.527220	0.234713	4.562049
3.843194	-2.899227	4.209012	1.155427	2.208756
4.176733	-2.990435	1.581301	1.950294	-1.972457
2.579461	-0.563344	1.207184	1.268914	-3.929589
1.389575	-3.923755	-2.374038	-1.943015	-3.127541
-1.118924	-1.302368	0.500235	-0.415194	-4.531614
-2.079937	0.974116	-3.756099	-1.144024	-2.994907
-0.333664	4.711195	-3.884840	2.090695	-1.987622
