X1	X2	X3	X4	X5	X6	X7	X8
1.027908	-0.371886	-3.046750	-2.805857	-0.742869	-2.460935	-3.029374	-1.796134
0.721180	-0.623794	-1.145396	-3.688636	-2.008666	-2.007775	-1.928438	-2.579668
-0.472203	-1.618751	-2.032937	-4.468011	-2.981322	-2.966255	-3.092246	-2.585052
-1.004638	-1.198158	-4.578573	-3.946486	-4.225739	-1.782977	-1.567500	-2.567888
-1.225528	-0.804213	-2.668005	-3.305363	-1.585918	-2.024243	-3.534104	-1.733278
-1.568871	-0.714818	-0.969434	-3.085145	-3.424661	-1.782555	-2.078258	-3.090024
-0.403667	-0.798872	-0.893561	-1.372536	-3.464469	-1.061316	-3.574066	-4.041328
-0.371716	0.324424	-1.182588	-3.619938	-3.316844	-1.072728	-2.843230	-3.653192
-0.369217	-0.017829	-2.212015	-3.465053	-1.459686	-1.780992	-3.504851	-4.806218
-0.341271	-0.444532	1.146457	-0.686685	-0.644999	-2.558512	-0.994433	-1.354706
1.235822	-0.337784	6.697127	-0.017237	-1.370882	-1.552288	-0.871076	1.602640
0.458463	0.425613	4.516494	2.747090	0.877963	0.095375	-2.347784	3.279318
-0.170649	-1.090039	2.758856	4.162192	2.120933	-1.014822	1.619042	1.213228
-1.856113	-0.087242	4.653713	2.137167	1.169828	-2.265084	1.608799	0.840867
-2.157029	0.441305	4.765864	3.970011	0.539046	-1.093611	1.759386	1.312234
1.361503	-2.245897	0.211308	0.561024	0.061986	0.160793	-0.936399	-1.369675
-0.685817	1.048549	-1.775656	0.638301	-1.765554	-1.016474	-1.589358	-2.938959
-2.173690	0.074746	-5.821129	-2.903459	-1.564676	-2.178712	-1.749393	-4.185822
-1.597016	-0.381108	-6.515013	-5.480760	-3.336380	-2.941126	0.701495	-4.183465
-0.067893	-0.387112	-4.316407	-3.120003	-3.617068	-3.301917	0.498303	-2.125490
-0.995624	1.923734	-0.166514	-2.460591	-3.732243	-1.992987	3.276929	-2.624999
1.551993	0.841429	-1.899133	-1.201226	-1.261204	-2.365139	6.114673	-1.253694
0.089258	2.937273	0.117933	1.662289	-2.498454	-1.366974	2.658932	-2.078076
-0.826631	0.065367	-2.389715	0.289552	-4.129695	0.968904	0.135106	-2.313648
-0.304374	-0.450189	-2.470879	-1.038839	-1.528327	-1.170905	-0.012609	-2.604011
-0.877969	-1.863497	-0.580959	4.029513	0.027448	-1.251605	-2.330312	-1.230467
-1.510219	-1.558154	0.167942	3.392807	1.742228	-1.174897	-2.742007	0.514882
-1.467722	0.557437	1.583825	5.871240	4.882012	0.746016	-0.325393	1.659934
0.156020	-0.657521	2.195989	6.550609	2.653298	2.052931	1.357628	4.861087
-0.884393	0.410869	-0.292768	5.197714	3.066785	1.103748	2.485253	3.455439
-0.378960	-1.139091	0.990053	2.814551	0.563272	0.459764	2.239283	3.364389
-0.711783	-1.162602	-2.995947	1.018719	-0.490744	0.173175	1.631915	1.121634
-1.051862	-2.318863	-2.512671	-3.223785	-3.590763	-1.877719	2.289249	-0.565126
-0.185297	-1.368775	-2.496218	-6.798462	-3.897687	-0.803521	4.293683	-1.642595
-2.335588	-1.796538	-0.889191	-2.848813	-1.090618	-0.468333	5.189217	-0.944674
-0.474237	-2.432751	1.520711	4.224158	3.511643	0.043343	2.745148	3.859135
-0.880043	-1.824714	2.022486	6.183150	3.228094	-0.491796	4.440777	4.313430
-0.466307	0.326372	2.776533	5.647261	3.959635	0.370849	4.588602	5.413810
-1.337329	-2.130693	1.411652	5.924990	4.781762	2.413974	5.116322	6.292273
-3.449411	-2.934008	0.632742	5.128235	2.338276	-0.593221	3.590036	2.531116
-1.012153	-0.394273	2.097002	0.440893	2.812974	-0.355540	2.066044	1.944237
-1.707255	2.317311	0.783531	0.805664	2.701955	1.883617	0.279844	2.371236
-0.860217	4.885245	4.666428	-0.121354	3.912517	4.194646	-0.847364	2.985910
-1.630142	6.073028	0.820193	0.274837	2.552360	3.605845	0.788819	-0.734443
-3.574328	6.614061	0.901425	-0.610665	3.215280	4.889213	0.932893	1.186376
0.592723	3.641844	1.439722	1.860040	0.810578	1.309447	-0.992644	-0.409237
-2.203090	4.630677	0.914784	1.593149	1.046651	1.573345	-1.855891	-0.595681
-1.247967	4.916959	0.270411	2.146061	-2.236702	1.220305	-1.721951	1.748740
-0.196510	2.675492	-1.320599	0.103876	-4.330082	2.238025	-2.578122	2.517825
1.147282	0.430874	-0.346347	1.381990	-0.977092	4.604703	-2.315505	4.436172
4.175408	-3.253694	-0.684632	-2.266596	-1.159032	3.813337	0.572098	4.935780
4.783066	-3.767512	0.208244	0.130715	1.520896	3.574924	0.940788	4.941646
4.850356	-3.016080	0.636081	-1.693977	4.364890	1.541363	-0.322835	2.955868
3.266777	-3.113697	0.509177	-1.553773	3.560949	-0.200448	2.850427	0.582745
2.214028	-1.059765	-1.952468	-0.476175	2.416571	1.231889	1.573676	-0.597826
1.531508	-1.315282	-1.392454	-3.253485	-0.634444	3.474071	1.172509	-1.952345
0.190716	-2.021050	2.216917	-1.827202	-2.404999	2.854997	-2.003672	-0.533715
0.805752	-1.868467	4.468045	-0.310328	0.776804	1.948564	0.865532	-0.084038
-0.228185	-0.937833	6.021129	1.557536	2.369766	2.220971	0.396320	0.567784
-2.119497	-1.601650	5.602569	1.942988	2.306683	3.490816	1.554694	0.252250
-3.109984	0.484684	-0.535136	1.996929	1.216054	2.336596	-0.469848	-4.152542
-1.245248	0.706769	0.530213	1.027657	-0.682221	-0.188490	-0.189705	-0.705395
-0.752989	3.454703	1.379515	2.408671	-0.290245	-0.474444	-2.445577	0.434591
0.468191	4.620189	2.928571	5.867771	2.326381	1.412232	-2.403064	1.453113
1.437592	4.572024	2.091178	5.034455	2.920355	-1.105464	0.186033	2.040069
5.114312	2.199211	0.898338	2.782824	2.249876	-0.531534	1.763516	0.293958
5.564751	-0.955452	0.343849	1.212675	2.545243	0.185020	4.053883	1.881478
5.819207	-3.192365	2.574310	0.980910	2.559554	2.035797	5.484237	2.045827
5.715580	-4.282827	2.039021	3.521426	2.935407	0.055894	3.161475	1.702803
4.302868	-2.316838	0.543782	0.904023	1.443302	2.562310	4.835800	-1.555095
1.517469	-1.747298	-0.965509	-1.546198	-1.183365	0.685243	1.737911	-0.994270
-1.511116	-0.163308	-4.423151	-1.687039	-1.753393	0.190291	-3.361692	-1.183123
-0.098690	-0.362867	-3.507646	-2.840901	-3.235984	-2.825847	-3.410208	-4.353956
0.655547	1.557424	-0.471893	-2.772983	-0.823141	-1.912474	-3.366837	-1.768771
0.485393	1.487867	0.153906	-1.463386	-1.001764	0.887308	-5.716578	-2.918070
0.552147	3.318860	-1.271948	0.313690	-1.593054	3.102699	-1.383631	-2.006653
-0.411791	2.159604	1.075643	-1.449956	-1.519814	4.732396	-1.424096	-1.414824
0.471176	3.232898	1.502879	-0.883624	-2.386745	2.562198	-1.686771	-1.884884
0.851947	4.867344	0.376060	0.460086	0.030752	2.154902	-1.620857	1.320166
0.165222	3.501640	-0.385114	0.606173	1.170275	0.520108	1.336448	1.949623
