X1	X2	X3	X4	X5	X6
-0.794048	-3.621535	-1.378263	-4.497312	-3.573318	-3.005519
-0.932518	-1.788099	-2.549865	-1.942944	-2.033220	-0.799136
-1.982459	-2.087926	-2.995104	-2.253436	0.364193	0.502502
-1.628972	0.188282	-2.274081	-2.876989	-0.210582	1.357695
-0.905860	2.541724	0.506202	-1.081605	0.646754	3.577343
-1.643823	3.367199	-0.425757	-1.181986	-0.393704	1.913545
-1.899863	3.284206	0.229339	0.626764	-0.566157	-0.077099
-2.271283	3.994643	-0.260010	0.277745	0.189091	-0.757089
-0.718285	5.614210	1.128092	3.450353	1.609539	-1.387725
-2.172369	3.562604	1.808345	4.581186	-0.166017	2.098092
-1.036839	1.701326	0.225146	3.911043	1.815920	2.409462
-1.299296	-2.753628	-0.158808	4.077221	1.465748	4.723685
-1.875941	-1.287657	-0.842216	3.562718	1.672064	2.484360
-1.961377	-2.516862	1.642617	3.220231	1.511465	2.419488
-0.468005	-3.327146	-0.902209	1.502958	0.583448	2.755467
-1.064528	-1.812309	-1.895896	-0.355402	-1.116589	1.142498
-0.305348	-2.545053	-2.087046	-2.402253	-2.639450	-0.138019
-1.537466	-2.885378	-1.712361	-3.001097	-3.140137	-1.946186
-1.684685	-3.794187	-2.210344	-3.463235	-2.830752	-1.765602
-1.539106	-2.814479	0.180905	-1.874371	-2.009100	-1.719168
-0.893831	-2.219757	3.102184	1.705994	-2.041982	-1.232184
-1.066263	-2.726621	2.060090	4.143558	0.252198	-0.700551
-2.154903	-4.139272	4.623121	3.586717	-0.577261	-1.782568
-3.655154	-2.946812	2.981377	-0.919129	1.290236	-1.014336
-0.527018	0.199657	0.556855	1.460316	-2.690614	-1.876156
0.225004	0.508536	-1.189546	-2.776050	-0.293811	-3.184628
2.045010	3.833623	-0.086428	-2.347328	-2.490161	-0.540052
2.876097	4.673416	-0.472494	-3.167522	-2.998665	-1.306029
6.161163	1.336316	-0.066744	-1.027333	-2.507027	-2.758259
3.078506	-0.644281	-0.674080	-0.966163	-4.206749	-0.687742
2.150524	-2.824274	0.061295	0.416185	-1.584934	-2.685679
0.364015	-3.576364	-3.846119	-2.702192	2.143716	0.054030
-2.284423	-1.398353	-2.857624	-3.269294	1.725596	-0.739215
