X1	X2	X3	X4	X5	X6	X7	X8
-0.856689	-2.932328	-4.182023	-3.119899	-0.550510	-2.669425	-0.897515	-2.806014
-1.583994	-3.459767	-2.683314	-1.280603	-3.749735	-5.121245	-0.545483	-1.012096
-1.559399	-3.023526	-3.604350	-3.372149	-4.347044	-0.133468	-1.424919	-2.055931
0.310498	-3.709506	-3.757136	-1.947837	-5.046937	0.282508	-1.507824	-1.575021
-0.099906	-6.410607	-4.355072	-2.949969	-5.237417	2.077482	-3.600999	-1.629366
0.795589	-3.241031	-3.201163	-1.970348	-3.521584	4.192153	-5.734645	-3.513367
-1.007317	-0.903280	-4.059110	-3.765274	-1.063140	2.250322	-2.475264	-2.627726
-2.139925	-0.230254	-2.318316	-1.465750	4.640213	1.044887	-1.043858	-0.695243
1.311963	1.550244	-3.419684	2.115022	3.814375	0.092349	-1.041727	-1.147620
-1.779951	4.399813	-0.258917	4.320342	7.621143	1.110306	-1.330774	-1.959358
-1.860171	3.634852	2.013084	1.777707	6.011017	1.201159	1.424602	-0.283257
-0.654695	6.387760	2.301815	2.960915	5.129396	0.882407	4.020298	0.721281
-1.442325	2.832736	1.848174	-0.286336	1.180277	0.083950	5.307513	-0.752745
-0.357861	0.246277	-0.316042	-0.759146	0.446159	-1.508713	3.968546	-0.269135
0.511695	-1.525118	-1.077235	-1.875419	-5.716258	-4.108083	2.998697	-1.246892
-2.450156	-5.758549	-0.180607	-2.324555	-7.613777	-1.648760	2.298664	-2.829115
0.558783	-2.109719	-1.028362	-2.397758	-3.456798	-2.008544	2.014047	-2.854606
-0.922286	-2.052429	2.701899	0.406573	1.111876	-1.408237	2.179443	-0.447866
0.084734	-0.037579	2.132773	0.083634	3.933746	-2.420238	0.284254	-0.088396
-2.134657	-1.290973	4.096658	1.863023	-0.048491	2.009852	1.119776	2.044103
-1.406259	0.863690	2.089850	-0.209660	-1.276436	-0.190269	-0.754889	-1.461769
0.468326	-1.226892	1.502549	0.218881	-4.303690	-1.803300	-2.088243	-0.321915
-0.758602	1.592178	-2.327450	-0.377754	-4.930254	-2.876043	1.382713	-0.306035
1.195856	-0.536799	-1.375447	-2.911868	-1.018231	-2.577298	1.152879	1.160171
