X1	X2	X3	X4	X5	X6	X7	X8	X9
-1.528194	-4.479714	-3.458243	-4.338943	-3.870597	-3.800095	-1.959949	-3.804183	-4.742175
-0.989525	-4.663473	-4.365485	-2.979087	-3.619244	-3.180787	-3.248772	-2.158608	-4.502155
-0.078506	-4.998943	-3.930802	-1.249528	-2.582362	-2.762516	-3.193500	-2.965897	-3.635568
-1.612139	-3.369825	-3.043496	-2.504068	-3.715951	-2.525484	-2.503834	-2.929153	-3.029019
-0.351425	-2.128623	-2.478468	-3.768611	-2.647615	-2.044195	-0.501679	-3.245180	-3.145313
-1.144065	-3.853138	-2.102919	-2.332259	-3.645955	-2.591052	-2.502038	-3.515480	-7.506154
0.015639	-4.080673	-2.838552	-3.196115	-1.886472	-3.922958	-1.686315	-2.866056	-3.435045
-0.512114	-2.392631	-1.549967	-1.338682	-2.303768	-3.106317	-1.038212	-0.267710	-3.377292
0.369374	1.469987	1.669834	0.559737	-0.229945	-0.362231	-2.173432	3.379754	-3.711298
3.492702	1.668878	2.884649	1.374140	0.918095	-1.088403	-0.488781	2.791934	-1.280268
1.637169	2.433839	3.416478	-0.731376	-1.386248	-0.796537	-0.507759	5.215927	-2.492905
-0.866727	0.702669	1.991018	0.113986	-1.922078	0.090464	-2.063272	1.555631	-4.349415
-3.060887	1.819565	-0.620332	-3.217876	-1.405994	-0.155103	-2.031723	-1.980458	-2.951501
-3.545112	2.272525	0.656527	-1.467366	-3.401899	-1.812741	-0.701613	-1.361742	-2.883467
-3.855605	1.940947	1.762593	-0.838586	-2.090594	-0.026052	-2.252149	-0.931024	-2.616018
-2.936866	0.648429	-0.638635	-3.231239	-3.081281	-2.638641	-2.206431	-1.815806	-1.036359
-2.639096	-2.003232	-1.007959	-2.071627	-0.067362	-4.305510	-3.189765	-1.995392	1.260608
0.202903	-0.622738	-1.092880	-2.506453	1.269663	-3.253762	-3.159152	-2.159583	2.470077
-0.389370	-0.213790	1.207101	-3.721420	3.444791	-3.846600	-4.038398	-3.074482	1.553144
-3.040717	1.645609	0.332782	-2.201429	4.926122	-3.421127	-2.814104	-3.325193	-0.837394
-0.320538	0.953158	0.350262	-2.854385	3.917754	-2.465747	-2.968075	-1.223116	0.304158
-0.980636	1.566754	-0.923661	0.087411	5.135485	-2.334362	-2.874313	-4.282756	-1.313305
-2.292710	1.543495	-1.794688	0.123555	1.921113	-1.057975	-1.637423	-2.832614	-1.293786
-0.605063	0.308980	-0.149220	3.351846	3.571039	0.910111	-0.144307	-0.714494	0.009710
0.598905	0.464507	-0.361459	1.177781	1.028460	0.738693	-1.295369	0.946204	1.321579
2.162491	0.232973	0.392394	0.794958	1.152474	-0.627133	-0.588413	-1.306725	2.423617
5.050396	0.690477	1.130337	1.982073	-0.180619	2.088732	1.404359	1.135218	4.067120
3.644517	1.186617	2.049670	4.251425	1.119779	3.497583	1.653543	5.088931	1.943284
6.174154	1.278292	1.496290	1.883011	2.276567	4.873019	2.936136	5.140310	4.558205
2.821606	1.666500	1.614097	4.555028	4.229043	4.795036	3.981733	4.957554	-0.820523
1.113671	1.999538	-0.365310	4.431474	1.370107	3.540531	4.245833	6.585060	1.526498
0.416448	0.111105	1.235666	5.274347	3.889257	4.915302	3.339232	5.705526	2.659464
-0.207864	2.623501	3.919325	5.871945	3.655691	3.443445	-0.505374	4.960750	4.228069
2.472934	4.165322	4.313565	4.098464	2.749509	1.367958	2.015312	-0.306871	2.951810
5.825142	1.254667	4.204185	2.770203	3.465609	1.547638	1.665886	0.772362	3.586984
6.348157	2.212136	2.823184	-0.365840	1.561990	-1.437317	-1.605154	-5.063755	1.168785
5.896079	2.390926	0.204160	-4.414469	0.257651	0.227788	0.347789	-3.562422	-0.080290
0.905807	-0.183965	-4.964587	0.860516	-1.614709	0.941652	0.711910	-2.633443	-0.335846
