X1	X2	X3	X4	X5	X6	X7	X8	X9
-0.004613	-2.248079	-3.695674	-3.753749	-2.419221	-3.831533	-2.185759	-0.372835	-2.526409
-0.899915	-2.201122	-2.580643	-2.826177	-3.060554	-3.371245	-3.840754	0.442411	-2.654432
0.813215	-2.947163	-2.091819	-1.926656	-3.101389	-3.786530	-2.195450	1.679650	-2.479332
-0.227323	-2.550001	0.075994	-0.152888	-1.401527	-2.359290	-1.792247	-0.173621	-2.773911
-0.264129	0.586062	1.856095	1.696724	0.710330	-1.522023	-1.808346	-0.755905	-2.138868
-1.517103	2.791925	2.459883	4.411777	2.162882	2.440669	0.049653	-0.765307	-0.140904
-1.061745	0.156487	1.103254	2.350470	4.649227	1.878985	-0.278849	-1.501429	0.691880
-0.498655	1.623546	0.460008	0.552199	2.300564	1.731826	0.377648	-1.235475	-0.416317
-0.340934	-3.449299	-2.156158	-1.356137	0.457992	1.858991	0.165944	0.204553	-0.744895
-1.191882	-3.119549	-3.325246	-4.038442	-4.765891	2.741379	-0.014061	-2.118950	0.116745
-0.938099	-3.789804	-4.420458	-0.943519	-3.293286	2.601190	0.728333	-2.930986	-0.335697
-1.454885	-1.049367	-4.259696	-4.708768	-4.133993	2.953924	5.203427	-5.405258	2.296677
-1.683040	-3.620238	-3.745861	-4.187494	-1.412615	1.357179	4.562919	-5.224170	3.336867
-1.767665	-0.450520	-2.602157	-3.619598	-0.984053	2.585956	2.888111	-4.340125	3.306872
-0.935561	0.450988	-1.782084	-1.184083	1.415393	2.008453	1.321101	-3.728426	2.289893
-0.840826	-0.983716	-1.044345	1.408248	4.623620	2.814971	2.161691	-0.104476	-0.590373
-0.916862	3.284566	-0.298042	-0.869807	5.168729	3.807409	0.829480	0.937022	1.424975
-1.636769	0.378534	-0.521676	-0.620250	3.804617	2.962466	1.793268	1.903465	1.231536
-1.635446	-0.357614	-1.951051	-2.047884	0.493583	1.048341	-1.104346	-1.037250	0.193710
-1.694395	-2.237979	-3.847767	-1.803512	-3.124873	-4.118565	-3.229660	-2.291226	-3.647105
-2.364016	-3.506263	-0.933128	-2.112436	-2.163854	-4.021553	-2.553775	0.405933	-3.786409
0.562892	-2.729766	-3.512534	-2.606958	-4.075459	-4.377425	-1.646592	-0.338573	-3.816402
-1.882373	-2.179890	-1.448988	-3.469482	-5.528992	-5.570680	-2.626211	-0.388150	-0.345385
-1.688110	-3.394737	-0.423492	-2.701609	-3.200951	-4.463619	-1.635631	-0.182299	0.850342
-0.889120	-2.625506	-1.084248	0.705759	-3.591940	-1.371943	-3.736553	2.158677	1.298977
-2.952203	-2.518100	1.290042	1.274718	-1.287659	-2.053153	-2.871177	0.379175	4.879621
-1.584159	-0.003421	1.835676	1.234966	0.274592	-1.501748	-3.446303	-0.638607	4.288272
-1.266990	-0.919268	2.942053	0.836501	1.763409	0.692570	-1.822832	1.633427	2.695431
1.475806	1.004856	3.329969	2.829321	3.156894	0.339401	-0.919064	-1.669124	-0.269603
2.185027	2.295951	5.559423	2.808822	0.824244	1.213244	-0.350099	0.061436	-0.074832
4.945973	3.875614	2.992614	1.159604	2.353958	0.155898	-1.077037	0.802405	-1.227454
4.989344	4.822746	3.147538	2.741362	1.662235	1.639963	0.545021	4.237281	-1.072272
3.822239	0.727243	2.933694	2.108595	-0.519126	-1.026761	1.485276	3.336062	-0.399285
1.920559	-0.473694	4.857481	2.808801	-0.150826	2.760723	0.460126	4.354744	0.472507
0.891001	1.699832	4.092595	2.608977	2.117233	3.779117	-1.064929	5.503026	0.208001
-0.128833	0.749822	3.828536	2.440120	4.014051	0.889819	1.637311	3.511405	2.177599
-2.092544	-0.419028	1.850300	1.393829	2.690527	-1.142172	2.246945	-0.357121	0.163500
-2.124833	0.576682	0.330687	-0.989198	0.495659	-2.162356	1.149074	-0.846354	3.115202
